time,x_pos,y_pos,velocity,rotation,action
0.00010,5.10396,5.10590,0.00000,-2.09440,0
0.00020,5.10396,5.10590,0.21707,-2.09440,0
0.07230,5.09824,5.11906,0.30698,-2.09625,0
0.12329,5.09236,5.13213,0.37597,-2.09980,0
0.16492,5.08631,5.14511,0.43413,-2.10407,0
0.20097,5.08011,5.15800,0.48537,-2.10877,0
0.23322,5.07374,5.17080,0.53170,-2.11376,0
0.26265,5.06722,5.18351,0.57430,-2.11896,0
0.28991,5.06054,5.19613,0.61395,-2.12432,0
0.31540,5.05370,5.20867,0.65120,-2.12982,0
0.33943,5.04671,5.22111,0.68642,-2.13543,0
0.36223,5.03956,5.23347,0.71992,-2.14112,0
0.38397,5.03227,5.24574,0.75194,-2.14690,0
0.40479,5.02482,5.25792,0.78264,-2.15275,0
0.42479,5.01722,5.27002,0.81218,-2.15866,0
0.44406,5.00947,5.28203,0.84069,-2.16463,0
0.46267,5.00157,5.29395,0.86826,-2.17064,0
0.48070,4.99352,5.30579,0.89498,-2.17670,0
0.49819,4.98533,5.31755,0.92093,-2.18280,0
0.51518,4.97700,5.32923,0.94617,-2.18893,0
0.53172,4.96852,5.34082,0.97075,-2.19510,0
0.54785,4.95990,5.35233,0.99472,-2.20130,0
0.56358,4.95113,5.36375,1.01813,-2.20753,0
0.57895,4.94223,5.37510,1.04101,-2.21379,0
0.59399,4.93319,5.38636,1.06340,-2.22007,0
0.60871,4.92401,5.39754,1.08533,-2.22638,0
0.62313,4.91469,5.40865,1.10682,-2.23271,0
0.63727,4.90524,5.41967,1.12791,-2.23906,0
0.65115,4.89565,5.43062,1.14860,-2.24543,0
0.66477,4.88593,5.44148,1.16893,-2.25182,0
0.67816,4.87608,5.45227,1.18892,-2.25822,0
0.69133,4.86609,5.46298,1.20857,-2.26465,0
0.70428,4.85598,5.47362,1.22791,-2.27108,0
0.71702,4.84573,5.48418,1.24695,-2.27754,0
0.72957,4.83536,5.49466,1.26570,-2.28401,0
0.74194,4.82486,5.50507,1.28418,-2.29049,0
0.75413,4.81424,5.51540,1.30239,-2.29699,0
0.76614,4.80349,5.52565,1.32036,-2.30350,0
0.77800,4.79262,5.53584,1.33808,-2.31002,0
0.78970,4.78163,5.54595,1.35557,-2.31655,0
0.80124,4.77051,5.55599,1.37284,-2.32310,0
0.81264,4.75928,5.56595,1.38990,-2.32965,0
0.82390,4.74793,5.57585,1.40674,-2.33622,0
0.83503,4.73646,5.58567,1.42339,-2.34279,0
0.84602,4.72487,5.59542,1.43985,-2.34938,0
0.85689,4.71317,5.60510,1.45612,-2.35597,0
0.86764,4.70135,5.61471,1.47221,-2.36258,0
0.87827,4.68942,5.62425,1.48813,-2.36919,0
0.88879,4.67738,5.63373,1.50387,-2.37581,0
0.89920,4.66523,5.64313,1.51946,-2.38244,0
0.90950,4.65297,5.65247,1.53488,-2.38908,0
0.91970,4.64060,5.66174,1.55016,-2.39573,0
0.92979,4.62812,5.67094,1.56528,-2.40238,0
0.93979,4.61554,5.68008,1.58026,-2.40904,0
0.94970,4.60285,5.68915,1.59510,-2.41571,0
0.95951,4.59006,5.69815,1.60980,-2.42238,0
0.96923,4.57716,5.70710,1.62437,-2.42906,0
0.97887,4.56416,5.71597,1.63881,-2.43575,0
0.98842,4.55106,5.72478,1.65312,-2.44244,0
0.99788,4.53787,5.73354,1.66731,-2.44914,0
1.00727,4.52457,5.74222,1.68138,-2.45585,0
1.01658,4.51118,5.75085,1.69534,-2.46256,0
1.02581,4.49769,5.75941,1.70917,-2.46928,0
1.03497,4.48411,5.76791,1.72290,-2.47600,0
1.04405,4.47043,5.77636,1.73652,-2.48273,0
1.05307,4.45666,5.78474,1.75004,-2.48947,0
1.06201,4.44280,5.79306,1.76345,-2.49621,0
1.07089,4.42885,5.80132,1.77676,-2.50295,0
1.07969,4.41481,5.80953,1.78997,-2.50970,0
1.08844,4.40068,5.81767,1.80308,-2.51646,0
1.09712,4.38646,5.82576,1.81610,-2.52322,0
1.10574,4.37216,5.83379,1.82903,-2.52998,0
1.11429,4.35778,5.84177,1.84186,-2.53675,0
1.12279,4.34331,5.84969,1.85461,-2.54352,0
1.13123,4.32875,5.85755,1.86727,-2.55030,0
1.13961,4.31412,5.86536,1.87984,-2.55708,0
1.14794,4.29941,5.87312,1.89233,-2.56387,0
1.15621,4.28461,5.88081,1.90474,-2.57066,0
1.16443,4.26974,5.88846,1.91707,-2.57745,0
1.17259,4.25480,5.89605,1.92932,-2.58425,0
1.18070,4.23977,5.90359,1.94149,-2.59105,0
1.18876,4.22468,5.91108,1.95359,-2.59786,0
1.19678,4.20951,5.91852,1.96561,-2.60467,0
1.20474,4.19426,5.92591,1.97756,-2.61148,0
1.21265,4.17895,5.93324,1.98944,-2.61830,0
1.22052,4.16357,5.94053,2.00000,-2.62512,0
1.22834,4.14811,5.94777,2.00000,-2.63194,0
1.23617,4.13259,5.95495,2.00000,-2.63882,0
1.24400,4.11701,5.96209,2.00000,-2.64573,0
1.25182,4.10135,5.96918,2.00000,-2.65269,0
1.25965,4.08564,5.97623,2.00000,-2.65969,0
1.26747,4.06986,5.98322,2.00000,-2.66674,0
1.27530,4.05402,5.99018,2.00000,-2.67383,0
1.28312,4.03812,5.99708,2.00000,-2.68096,0
1.29095,4.02215,6.00394,2.00000,-2.68814,0
1.29878,4.00613,6.01075,2.00000,-2.69536,0
1.30660,3.99006,6.01752,2.00000,-2.70263,0
1.31443,3.97392,6.02425,2.00000,-2.70993,0
1.32225,3.95773,6.03093,2.00000,-2.71729,0
1.33008,3.94149,6.03757,2.00000,-2.72468,0
1.33790,3.92519,6.04417,2.00000,-2.73212,0
1.34573,3.90884,6.05073,2.00000,-2.73960,0
1.35355,3.89245,6.05724,2.00000,-2.74713,0
1.36138,3.87600,6.06372,2.00000,-2.75470,0
1.36921,3.85950,6.07015,2.00000,-2.76231,0
1.37703,3.84296,6.07654,2.00000,-2.76997,0
1.38486,3.82637,6.08290,2.00000,-2.77767,0
1.39268,3.80973,6.08921,2.00000,-2.78541,0
1.40051,3.79305,6.09549,2.00000,-2.79320,0
1.40833,3.77633,6.10173,2.00000,-2.80103,0
1.41616,3.75957,6.10793,2.00000,-2.80891,0
1.42399,3.74277,6.11410,2.00000,-2.81683,0
1.43181,3.72592,6.12023,2.00000,-2.82479,0
1.43964,3.70904,6.12632,2.00000,-2.83280,0
1.44746,3.69212,6.13238,2.00000,-2.84085,0
1.45529,3.67517,6.13840,2.00000,-2.84894,0
1.46311,3.65818,6.14439,2.00000,-2.85708,0
1.47094,3.64116,6.15035,2.00000,-2.86526,0
1.47876,3.62411,6.15627,2.00000,-2.87349,0
1.48659,3.60702,6.16216,2.00000,-2.88175,0
1.49442,3.58990,6.16802,2.00000,-2.89007,0
1.50224,3.57276,6.17385,2.00000,-2.89842,0
1.51007,3.55559,6.17964,2.00000,-2.90682,0
1.51789,3.53839,6.18541,2.00000,-2.91526,0
1.52572,3.52116,6.19114,2.00000,-2.92375,0
1.53354,3.50391,6.19685,2.00000,-2.93228,0
1.54137,3.48664,6.20252,2.00000,-2.94085,0
1.54920,3.46934,6.20817,2.00000,-2.94947,0
1.55702,3.45202,6.21379,2.00000,-2.95813,0
1.56485,3.43469,6.21938,2.00000,-2.96684,0
1.57267,3.41733,6.22495,2.00000,-2.97558,0
1.58050,3.39996,6.23048,2.00000,-2.98438,0
1.58832,3.38257,6.23600,2.00000,-2.99321,0
1.59615,3.36516,6.24148,2.00000,-3.00209,0
1.60397,3.34774,6.24694,2.00000,-3.01101,0
1.61180,3.33031,6.25238,2.00000,-3.01998,0
1.61963,3.31286,6.25779,2.00000,-3.02899,0
1.62745,3.29541,6.26318,2.00000,-3.03805,0
1.63528,3.27794,6.26855,2.00000,-3.04714,0
1.64310,3.26047,6.27389,2.00000,-3.05628,0
1.65093,3.24299,6.27921,2.00000,-3.06547,0
1.65875,3.22550,6.28451,2.00000,-3.07470,0
1.66658,3.20800,6.28979,2.00000,-3.08397,0
1.67441,3.19051,6.29505,2.00000,-3.09329,0
1.68223,3.17301,6.30029,2.00000,-3.09797,0
1.69006,3.15550,6.30551,2.00000,-3.09801,0
1.69788,3.13800,6.31071,2.00000,-3.09810,0
