time,x_pos,y_pos,velocity,rotation,action
0.00010,7.58000,4.04000,0.00000,-3.14159,0
0.00020,7.58000,4.04000,0.21672,-3.14159,0
0.07231,7.58131,4.01555,0.30649,-3.14125,0
0.12329,7.58251,3.99122,0.37537,-3.14059,0
0.16492,7.58359,3.96701,0.43344,-3.13980,0
0.20098,7.58455,3.94290,0.48461,-3.13894,0
0.23322,7.58540,3.91892,0.53086,-3.13801,0
0.26266,7.58613,3.89504,0.57339,-3.13705,0
0.28991,7.58675,3.87128,0.61298,-3.13606,0
0.31541,7.58725,3.84763,0.65017,-3.13505,0
0.33944,7.58764,3.82409,0.68534,-3.13401,0
0.36224,7.58791,3.80067,0.71879,-3.13296,0
0.38399,7.58807,3.77735,0.75075,-3.13189,0
0.40480,7.58812,3.75415,0.78140,-3.13081,0
0.42480,7.58805,3.73106,0.81090,-3.12972,0
0.44407,7.58788,3.70809,0.83936,-3.12861,0
0.46269,7.58759,3.68522,0.86689,-3.12750,0
0.48071,7.58718,3.66246,0.89357,-3.12638,0
0.49820,7.58667,3.63982,0.91947,-3.12526,0
0.51520,7.58605,3.61728,0.94467,-3.12412,0
0.53174,7.58532,3.59486,0.96921,-3.12298,0
0.54786,7.58447,3.57255,0.99314,-3.12184,0
0.56360,7.58352,3.55034,1.01652,-3.12068,0
0.57897,7.58246,3.52825,1.03936,-3.11953,0
0.59401,7.58128,3.50626,1.06172,-3.11837,0
0.60873,7.58000,3.48438,1.08361,-3.11720,0
0.62315,7.57862,3.46261,1.10507,-3.11603,0
0.63729,7.57712,3.44095,1.12612,-3.11486,0
0.65117,7.57552,3.41940,1.14678,-3.11368,0
0.66479,7.57380,3.39796,1.16708,-3.11250,0
0.67818,7.57199,3.37662,1.18704,-3.11132,0
0.69135,7.57006,3.35539,1.20666,-3.11013,0
0.70430,7.56804,3.33427,1.22596,-3.10894,0
0.71704,7.56590,3.31326,1.24497,-3.10775,0
0.72960,7.56366,3.29235,1.26370,-3.10655,0
0.74196,7.56132,3.27155,1.28214,-3.10535,0
0.75415,7.55887,3.25085,1.30033,-3.10415,0
0.76617,7.55631,3.23026,1.31827,-3.10295,0
0.77802,7.55366,3.20978,1.33596,-3.10175,0
0.78972,7.55090,3.18940,1.35343,-3.10054,0
0.80127,7.54804,3.16913,1.37067,-3.09933,0
0.81267,7.54507,3.14896,1.38770,-3.09812,0
0.82393,7.54201,3.12889,1.40452,-3.09690,0
0.83505,7.53884,3.10893,1.42114,-3.09569,0
0.84605,7.53557,3.08908,1.43757,-3.09447,0
0.85692,7.53220,3.06933,1.45382,-3.09325,0
0.86767,7.52873,3.04968,1.46988,-3.09203,0
0.87830,7.52516,3.03014,1.48577,-3.09081,0
0.88882,7.52148,3.01070,1.50149,-3.08959,0
0.89923,7.51771,2.99136,1.51705,-3.08836,0
0.90953,7.51384,2.97212,1.53246,-3.08714,0
0.91972,7.50988,2.95299,1.54770,-3.08591,0
0.92982,7.50581,2.93396,1.56280,-3.08468,0
0.93982,7.50165,2.91503,1.57776,-3.08345,0
0.94973,7.49739,2.89621,1.59257,-3.08221,0
0.95954,7.49303,2.87748,1.60725,-3.08098,0
0.96926,7.48857,2.85886,1.62180,-3.07975,0
0.97890,7.48402,2.84033,1.63621,-3.07851,0
0.98845,7.47937,2.82191,1.65051,-3.07727,0
0.99791,7.47463,2.80359,1.66467,-3.07604,0
1.00730,7.46979,2.78537,1.67872,-3.07480,0
1.01661,7.46486,2.76725,1.69265,-3.07356,0
1.02584,7.45983,2.74923,1.70647,-3.07231,0
1.03500,7.45471,2.73130,1.72018,-3.07107,0
1.04409,7.44950,2.71348,1.73378,-3.06983,0
1.05310,7.44419,2.69576,1.74727,-3.06858,0
1.06204,7.43879,2.67813,1.76066,-3.06734,0
1.07092,7.43330,2.66060,1.77395,-3.06609,0
1.07973,7.42771,2.64318,1.78713,-3.06484,0
1.08847,7.42204,2.62585,1.80023,-3.06360,0
1.09715,7.41627,2.60861,1.81323,-3.06235,0
1.10577,7.41041,2.59148,1.82613,-3.06110,0
1.11433,7.40446,2.57444,1.83895,-3.05985,0
1.12283,7.39842,2.55750,1.85167,-3.05859,0
1.13126,7.39229,2.54065,1.86431,-3.05734,0
1.13965,7.38607,2.52391,1.87687,-3.05609,0
1.14797,7.37976,2.50725,1.88934,-3.05483,0
1.15624,7.37336,2.49070,1.90173,-3.05358,0
1.16446,7.36688,2.47424,1.91404,-3.05232,0
1.17263,7.36031,2.45787,1.92627,-3.05107,0
1.18074,7.35365,2.44161,1.93842,-3.04981,0
1.18880,7.34690,2.42543,1.95050,-3.04855,0
1.19681,7.34006,2.40935,1.96250,-3.04729,0
1.20477,7.33314,2.39337,1.97443,-3.04604,0
1.21269,7.32614,2.37748,1.98629,-3.04478,0
1.22056,7.31904,2.36168,1.99808,-3.04352,0
1.22838,7.31187,2.34598,2.00000,-3.04225,0
1.23619,7.30460,2.33037,2.00000,-3.04099,0
1.24400,7.29726,2.31485,2.00000,-3.03971,0
1.25182,7.28983,2.29943,2.00000,-3.03843,0
1.25963,7.28231,2.28410,2.00000,-3.03713,0
1.26745,7.27471,2.26886,2.00000,-3.03584,0
1.27526,7.26703,2.25372,2.00000,-3.03453,0
1.28307,7.25927,2.23866,2.00000,-3.03321,0
1.29089,7.25142,2.22370,2.00000,-3.03189,0
1.29870,7.24350,2.20883,2.00000,-3.03055,0
1.30651,7.23549,2.19405,2.00000,-3.02921,0
1.31433,7.22740,2.17937,2.00000,-3.02787,0
1.32214,7.21923,2.16477,2.00000,-3.02651,0
1.32995,7.21098,2.15026,2.00000,-3.02515,0
1.33777,7.20265,2.13585,2.00000,-3.02377,0
1.34558,7.19424,2.12152,2.00000,-3.02239,0
1.35339,7.18575,2.10729,2.00000,-3.02100,0
1.36121,7.17718,2.09314,2.00000,-3.01961,0
1.36902,7.16854,2.07908,2.00000,-3.01820,0
1.37683,7.15981,2.06511,2.00000,-3.01679,0
1.38465,7.15101,2.05123,2.00000,-3.01537,0
1.39246,7.14213,2.03744,2.00000,-3.01394,0
1.40027,7.13318,2.02374,2.00000,-3.01250,0
1.40809,7.12414,2.01013,2.00000,-3.01106,0
1.41590,7.11504,1.99660,2.00000,-3.00961,0
1.42371,7.10585,1.98316,2.00000,-3.00815,0
1.43153,7.09659,1.96981,2.00000,-3.00668,0
1.43934,7.08726,1.95654,2.00000,-3.00520,0
1.44715,7.07785,1.94337,2.00000,-3.00372,0
1.45497,7.06837,1.93028,2.00000,-3.00222,0
1.46278,7.05881,1.91727,2.00000,-3.00072,0
1.47059,7.04918,1.90435,2.00000,-2.99921,0
1.47841,7.03948,1.89152,2.00000,-2.99770,0
1.48622,7.02971,1.87877,2.00000,-2.99617,0
1.49404,7.01986,1.86611,2.00000,-2.99464,0
1.50185,7.00994,1.85353,2.00000,-2.99310,0
1.50966,6.99995,1.84104,2.00000,-2.99155,0
1.51748,6.98989,1.82863,2.00000,-2.98999,0
1.52529,6.97976,1.81631,2.00000,-2.98842,0
1.53310,6.96956,1.80407,2.00000,-2.98685,0
1.54092,6.95928,1.79191,2.00000,-2.98527,0
