time,x_pos,y_pos,velocity,rotation,action
0.00010,7.57134,4.02732,0.00000,-3.14159,0
0.00020,7.57134,4.02732,0.21677,-3.14159,0
0.07231,7.57098,4.04873,0.30656,3.14122,0
0.12331,7.57049,4.07003,0.37545,3.14050,0
0.16494,7.56986,4.09124,0.43354,3.13964,0
0.20100,7.56911,4.11235,0.48471,3.13869,0
0.23325,7.56823,4.13337,0.53097,3.13769,0
0.26269,7.56722,4.15429,0.57352,3.13664,0
0.28995,7.56609,4.17512,0.61312,3.13556,0
0.31544,7.56482,4.19586,0.65031,3.13445,0
0.33948,7.56343,4.21650,0.68548,3.13332,0
0.36228,7.56191,4.23704,0.71894,3.13217,0
0.38403,7.56027,4.25749,0.75091,3.13101,0
0.40485,7.55850,4.27785,0.78157,3.12983,0
0.42485,7.55660,4.29812,0.81107,3.12863,0
0.44412,7.55459,4.31829,0.83954,3.12743,0
0.46274,7.55244,4.33837,0.86708,3.12622,0
0.48077,7.55018,4.35835,0.89376,3.12500,0
0.49826,7.54779,4.37824,0.91967,3.12377,0
0.51526,7.54528,4.39804,0.94487,3.12253,0
0.53180,7.54264,4.41775,0.96942,3.12129,0
0.54792,7.53989,4.43737,0.99336,3.12004,0
0.56366,7.53701,4.45689,1.01674,3.11878,0
0.57904,7.53401,4.47632,1.03959,3.11752,0
0.59407,7.53090,4.49566,1.06195,3.11625,0
0.60879,7.52766,4.51491,1.08384,3.11498,0
0.62322,7.52430,4.53407,1.10531,3.11370,0
0.63736,7.52083,4.55314,1.12636,3.11242,0
0.65124,7.51724,4.57211,1.14703,3.11114,0
0.66487,7.51353,4.59100,1.16734,3.10985,0
0.67826,7.50970,4.60980,1.18729,3.10856,0
0.69142,7.50576,4.62851,1.20692,3.10727,0
0.70437,7.50170,4.64712,1.22623,3.10597,0
0.71712,7.49752,4.66565,1.24524,3.10467,0
0.72968,7.49323,4.68409,1.26397,3.10336,0
0.74204,7.48882,4.70244,1.28242,3.10205,0
0.75423,7.48430,4.72070,1.30061,3.10074,0
0.76625,7.47967,4.73887,1.31855,3.09943,0
0.77811,7.47492,4.75695,1.33625,3.09812,0
0.78981,7.47006,4.77494,1.35372,3.09680,0
0.80135,7.46509,4.79285,1.37097,3.09548,0
0.81276,7.46001,4.81067,1.38800,3.09416,0
0.82402,7.45481,4.82840,1.40482,3.09283,0
0.83515,7.44951,4.84604,1.42145,3.09151,0
0.84614,7.44409,4.86360,1.43788,3.09018,0
0.85701,7.43856,4.88107,1.45413,3.08885,0
0.86776,7.43293,4.89845,1.47020,3.08752,0
0.87840,7.42719,4.91575,1.48609,3.08619,0
0.88892,7.42133,4.93296,1.50182,3.08485,0
0.89933,7.41537,4.95008,1.51738,3.08351,0
0.90963,7.40931,4.96711,1.53279,3.08218,0
0.91983,7.40313,4.98407,1.54804,3.08084,0
0.92992,7.39685,5.00093,1.56314,3.07949,0
0.93992,7.39046,5.01771,1.57810,3.07815,0
0.94983,7.38397,5.03441,1.59292,3.07681,0
0.95964,7.37738,5.05102,1.60760,3.07546,0
0.96937,7.37067,5.06754,1.62215,3.07411,0
0.97900,7.36387,5.08398,1.63657,3.07277,0
0.98856,7.35696,5.10034,1.65086,3.07142,0
0.99802,7.34995,5.11661,1.66503,3.07007,0
1.00741,7.34284,5.13280,1.67908,3.06871,0
1.01672,7.33562,5.14891,1.69302,3.06736,0
1.02596,7.32830,5.16493,1.70684,3.06601,0
1.03511,7.32088,5.18087,1.72055,3.06465,0
1.04420,7.31336,5.19672,1.73415,3.06329,0
