time,x_pos,y_pos,velocity,rotation,action
0.00010,7.57268,4.03897,0.00000,-3.14159,0
0.00020,7.57268,4.03897,0.21694,-3.14159,0
0.07228,7.57262,4.01740,0.30680,-3.14121,0
0.12325,7.57242,3.99593,0.37576,-3.14048,0
0.16487,7.57209,3.97456,0.43389,-3.13960,0
0.20091,7.57162,3.95329,0.48510,-3.13863,0
0.23315,7.57102,3.93211,0.53140,-3.13760,0
0.26258,7.57028,3.91103,0.57398,-3.13653,0
0.28982,7.56941,3.89005,0.61361,-3.13543,0
0.31531,7.56841,3.86916,0.65083,-3.13429,0
0.33934,7.56727,3.84837,0.68603,-3.13314,0
0.36213,7.56600,3.82768,0.71952,-3.13197,0
0.38387,7.56460,3.80708,0.75151,-3.13078,0
0.40468,7.56307,3.78657,0.78220,-3.12957,0
0.42467,7.56141,3.76616,0.81173,-3.12835,0
0.44393,7.55962,3.74585,0.84022,-3.12712,0
0.46255,7.55770,3.72563,0.86777,-3.12589,0
0.48057,7.55564,3.70551,0.89448,-3.12464,0
0.49805,7.55347,3.68548,0.92041,-3.12338,0
0.51504,7.55116,3.66554,0.94563,-3.12212,0
0.53158,7.54872,3.64570,0.97020,-3.12085,0
0.54770,7.54616,3.62595,0.99416,-3.11957,0
0.56343,7.54347,3.60629,1.01755,-3.11828,0
0.57879,7.54066,3.58673,1.04042,-3.11700,0
0.59382,7.53772,3.56726,1.06280,-3.11570,0
0.60854,7.53465,3.54789,1.08472,-3.11440,0
0.62296,7.53146,3.52861,1.10620,-3.11310,0
0.63709,7.52815,3.50942,1.12727,-3.11179,0
0.65096,7.52471,3.49032,1.14796,-3.11048,0
0.66459,7.52115,3.47131,1.16828,-3.10916,0
0.67797,7.51747,3.45240,1.18825,-3.10784,0
0.69113,7.51367,3.43357,1.20789,-3.10652,0
0.70408,7.50974,3.41484,1.22722,-3.10519,0
0.71682,7.50570,3.39620,1.24624,-3.10386,0
0.72937,7.50153,3.37765,1.26499,-3.10253,0
0.74173,7.49725,3.35919,1.28345,-3.10119,0
0.75392,7.49284,3.34083,1.30166,-3.09986,0
0.76593,7.48832,3.32255,1.31961,-3.09851,0
0.77778,7.48367,3.30436,1.33733,-3.09717,0
0.78948,7.47891,3.28626,1.35481,-3.09582,0
0.80102,7.47404,3.26825,1.37207,-3.09448,0
0.81242,7.46904,3.25033,1.38911,-3.09313,0
0.82367,7.46393,3.23251,1.40595,-3.09177,0
0.83480,7.45871,3.21476,1.42259,-3.09042,0
0.84579,7.45337,3.19711,1.43904,-3.08906,0
0.85666,7.44791,3.17955,1.45530,-3.08770,0
0.86740,7.44234,3.16207,1.47138,-3.08634,0
0.87803,7.43666,3.14469,1.48729,-3.08498,0
0.88854,7.43086,3.12739,1.50303,-3.08362,0
0.89895,7.42495,3.11018,1.51860,-3.08225,0
0.90925,7.41893,3.09305,1.53402,-3.08088,0
0.91944,7.41280,3.07602,1.54928,-3.07951,0
0.92953,7.40656,3.05907,1.56440,-3.07814,0
0.93953,7.40020,3.04221,1.57937,-3.07677,0
0.94943,7.39374,3.02543,1.59420,-3.07540,0
0.95924,7.38717,3.00874,1.60889,-3.07402,0
0.96896,7.38049,2.99214,1.62345,-3.07265,0
0.97859,7.37369,2.97562,1.63789,-3.07127,0
0.98814,7.36680,2.95919,1.65219,-3.06989,0
0.99761,7.35979,2.94284,1.66637,-3.06851,0
1.00699,7.35268,2.92658,1.68044,-3.06713,0
1.01630,7.34546,2.91041,1.69438,-3.06574,0
1.02553,7.33813,2.89432,1.70821,-3.06436,0
1.03468,7.33071,2.87831,1.72193,-3.06297,0
1.04376,7.32317,2.86239,1.73555,-3.06159,0
1.05277,7.31553,2.84655,1.74905,-3.06020,0
1.06171,7.30779,2.83080,1.76246,-3.05881,0
1.07059,7.29994,2.81513,1.77576,-3.05742,0
1.07939,7.29199,2.79955,1.78896,-3.05603,0
1.08814,7.28394,2.78405,1.80207,-3.05464,0
1.09681,7.27579,2.76863,1.81508,-3.05325,0
1.10543,7.26754,2.75329,1.82800,-3.05185,0
1.11398,7.25918,2.73804,1.84082,-3.05046,0
1.12248,7.25073,2.72287,1.85356,-3.04906,0
1.13092,7.24217,2.70778,1.86622,-3.04767,0
1.13929,7.23352,2.69277,1.87878,-3.04627,0
1.14762,7.22477,2.67785,1.89127,-3.04487,0
1.15589,7.21592,2.66301,1.90367,-3.04347,0
1.16410,7.20697,2.64825,1.91599,-3.04207,0
1.17226,7.19793,2.63357,1.92823,-3.04067,0
1.18037,7.18879,2.61897,1.94040,-3.03927,0
1.18843,7.17955,2.60445,1.95249,-3.03787,0
1.19644,7.17022,2.59001,1.96450,-3.03647,0
1.20440,7.16079,2.57566,1.97645,-3.03506,0
1.21231,7.15127,2.56138,1.98832,-3.03366,0
1.22018,7.14165,2.54719,2.00000,-3.03225,0
1.22800,7.13194,2.53307,2.00000,-3.03085,0
1.23582,7.12214,2.51903,2.00000,-3.02943,0
1.24364,7.11225,2.50507,2.00000,-3.02801,0
1.25146,7.10226,2.49120,2.00000,-3.02658,0
1.25927,7.09218,2.47740,2.00000,-3.02514,0
1.26709,7.08201,2.46367,2.00000,-3.02368,0
1.27491,7.07175,2.45003,2.00000,-3.02222,0
1.28273,7.06141,2.43647,2.00000,-3.02076,0
1.29055,7.05097,2.42298,2.00000,-3.01928,0
1.29837,7.04044,2.40957,2.00000,-3.01779,0
1.30619,7.02983,2.39624,2.00000,-3.01630,0
1.31401,7.01912,2.38299,2.00000,-3.01479,0
1.32183,7.00834,2.36981,2.00000,-3.01328,0
1.32965,6.99746,2.35671,2.00000,-3.01175,0
1.33747,6.98650,2.34369,2.00000,-3.01022,0
1.34528,6.97545,2.33075,2.00000,-3.00868,0
1.35310,6.96432,2.31788,2.00000,-3.00713,0
1.36092,6.95310,2.30508,2.00000,-3.00557,0
1.36874,6.94179,2.29237,2.00000,-3.00401,0
1.37656,6.93041,2.27972,2.00000,-3.00243,0
1.38438,6.91894,2.26716,2.00000,-3.00084,0
1.39220,6.90739,2.25467,2.00000,-2.99925,0
1.40002,6.89576,2.24225,2.00000,-2.99765,0
1.40784,6.88404,2.22991,2.00000,-2.99603,0
1.41566,6.87225,2.21764,2.00000,-2.99441,0
1.42348,6.86037,2.20545,2.00000,-2.99278,0
1.43129,6.84841,2.19333,2.00000,-2.99114,0
1.43911,6.83638,2.18129,2.00000,-2.98949,0
1.44693,6.82427,2.16932,2.00000,-2.98784,0
1.45475,6.81207,2.15742,2.00000,-2.98617,0
1.46257,6.79980,2.14560,2.00000,-2.98450,0
1.47039,6.78745,2.13385,2.00000,-2.98281,0
1.47821,6.77503,2.12217,2.00000,-2.98112,0
1.48603,6.76253,2.11057,2.00000,-2.97942,0
1.49385,6.74995,2.09904,2.00000,-2.97770,0
1.50167,6.73730,2.08758,2.00000,-2.97598,0
1.50949,6.72457,2.07619,2.00000,-2.97425,0
1.51730,6.71177,2.06487,2.00000,-2.97252,0
1.52512,6.69889,2.05363,2.00000,-2.97077,0
1.53294,6.68595,2.04245,2.00000,-2.96901,0
1.54076,6.67292,2.03135,2.00000,-2.96725,0
1.54858,6.65983,2.02032,2.00000,-2.96547,0
1.55640,6.64667,2.00936,2.00000,-2.96369,0
1.56422,6.63343,1.99847,2.00000,-2.96190,0
1.57204,6.62012,1.98765,2.00000,-2.96010,0
1.57986,6.60675,1.97690,2.00000,-2.95829,0
1.58768,6.59330,1.96622,2.00000,-2.95647,0
1.59549,6.57978,1.95561,2.00000,-2.95464,0
1.60331,6.56620,1.94507,2.00000,-2.95280,0
1.61113,6.55255,1.93460,2.00000,-2.95096,0
1.61895,6.53883,1.92420,2.00000,-2.94910,0
1.62677,6.52504,1.91387,2.00000,-2.94724,0
1.63459,6.51119,1.90360,2.00000,-2.94537,0
1.64241,6.49727,1.89341,2.00000,-2.94348,0
1.65023,6.48328,1.88328,2.00000,-2.94159,0
