time,x_pos,y_pos,velocity,rotation,action
0.00010,7.57500,4.02500,0.00000,-3.14159,1
0.00020,7.57500,4.02500,0.35675,-3.14159,0
0.04435,7.55707,4.02500,0.50452,-3.14159,0
0.07557,7.53927,4.02500,0.61791,-3.14159,0
0.10105,7.52160,4.02500,0.71351,-3.14159,0
0.12313,7.50405,4.02500,0.79772,-3.14159,0
0.14287,7.48663,4.02500,0.87386,-3.14159,0
0.16090,7.46933,4.02500,0.94388,-3.14159,0
0.17758,7.45215,4.02500,1.00905,-3.14159,0
0.19319,7.43509,4.02500,1.07026,-3.14159,0
0.20791,7.41814,4.02500,1.12815,-3.14159,0
0.22187,7.40130,4.02500,1.18322,-3.14159,0
0.23518,7.38457,4.02500,1.23583,-3.14159,0
0.24792,7.36794,4.02500,1.28629,-3.14159,0
0.26017,7.35142,4.02500,1.33485,-3.14159,0
0.27197,7.33500,4.02500,1.38170,-3.14159,0
0.28337,7.31867,4.02500,1.42701,-3.14159,0
0.29440,7.30244,4.02500,1.47093,-3.14159,0
0.30511,7.28630,4.02500,1.51357,-3.14159,0
0.31552,7.27025,4.02500,1.55505,-3.14159,0
0.32564,7.25428,4.02500,1.59545,-3.14159,0
0.33552,7.23840,4.02500,1.63485,-3.14159,0
0.34515,7.22260,4.02500,1.67332,-3.14159,0
0.35456,7.20688,4.02500,1.71093,-3.14159,0
0.36377,7.19123,4.02500,1.74773,-3.14159,0
0.37278,7.17566,4.02500,1.78377,-3.14159,0
0.38161,7.16016,4.02500,1.81909,-3.14159,0
0.39027,7.14472,4.02500,1.85374,-3.14159,0
0.39876,7.12935,4.02500,1.88776,-3.14159,0
0.40711,7.11404,4.02500,1.92117,-3.14159,0
0.41531,7.09879,4.02500,1.95402,-3.14159,0
0.42337,7.08360,4.02500,1.98632,-3.14159,0
0.43130,7.06846,4.02500,2.01810,-3.14159,0
0.43910,7.05337,4.02500,2.04939,-3.14159,0
0.44678,7.03834,4.02500,2.08021,-3.14159,0
0.45436,7.02334,4.02500,2.11058,-3.14159,0
0.46182,7.00839,4.02500,2.14052,-3.14159,0
0.46918,6.99348,4.02500,2.17004,-3.14159,0
0.47643,6.97861,4.02500,2.19917,-3.14159,0
0.48360,6.96378,4.02500,2.22792,-3.14159,0
0.49067,6.94897,4.02500,2.25630,-3.14159,0
0.49765,6.93420,4.02500,2.28433,-3.14159,0
0.50454,6.91945,4.02500,2.31202,-3.14159,0
0.51135,6.90473,4.02500,2.33939,-3.14159,0
0.51809,6.89003,4.02500,2.36643,-3.14159,0
0.52474,6.87535,4.02500,2.39317,-3.14159,0
0.53132,6.86068,4.02500,2.41962,-3.14159,0
0.53783,6.84603,4.02500,2.44578,-3.14159,0
0.54427,6.83139,4.02500,2.47166,-3.14159,0
0.55064,6.81675,4.02500,2.49727,-3.14159,0
0.55695,6.80212,4.02500,2.47166,-3.14159,0
0.56332,6.78750,4.02500,2.44578,-3.14159,0
0.56976,6.77287,4.02500,2.41962,-3.14159,0
0.57627,6.75825,4.02500,2.39317,-3.14159,0
0.58285,6.74361,4.02500,2.36643,-3.14159,0
0.58951,6.72897,4.02500,2.33939,-3.14159,0
0.59624,6.71432,4.02500,2.31202,-3.14159,0
0.60305,6.69965,4.02500,2.28433,-3.14159,0
0.60995,6.68497,4.02500,2.25630,-3.14159,0
0.61693,6.67027,4.02500,2.22792,-3.14159,0
0.62400,6.65555,4.02500,2.19917,-3.14159,0
0.63116,6.64080,4.02500,2.17004,-3.14159,0
0.63842,6.62603,4.02500,2.14052,-3.14159,0
0.64578,6.61122,4.02500,2.11058,-3.14159,0
0.65324,6.59639,4.02500,2.08021,-3.14159,0
0.66081,6.58152,4.02500,2.04939,-3.14159,0
0.66849,6.56661,4.02500,2.01810,-3.14159,0
0.67630,6.55166,4.02500,1.98632,-3.14159,0
0.68423,6.53666,4.02500,1.95402,-3.14159,0
0.69229,6.52163,4.02500,1.92117,-3.14159,0
0.70049,6.50654,4.02500,1.88776,-3.14159,0
0.70883,6.49140,4.02500,1.85374,-3.14159,0
0.71733,6.47621,4.02500,1.81909,-3.14159,0
0.72598,6.46096,4.02500,1.78377,-3.14159,0
0.73481,6.44565,4.02500,1.74773,-3.14159,0
0.74383,6.43028,4.02500,1.71093,-3.14159,0
0.75303,6.41484,4.02500,1.67332,-3.14159,0
0.76244,6.39934,4.02500,1.63485,-3.14159,0
0.77208,6.38377,4.02500,1.59545,-3.14159,0
0.78195,6.36812,4.02500,1.55505,-3.14159,0
0.79208,6.35240,4.02500,1.51357,-3.14159,0
0.80248,6.33660,4.02500,1.47093,-3.14159,0
0.81319,6.32072,4.02500,1.42701,-3.14159,0
0.82423,6.30475,4.02500,1.38170,-3.14159,0
0.83563,6.28870,4.02500,1.33485,-3.14159,0
0.84743,6.27256,4.02500,1.28629,-3.14159,0
0.85967,6.25633,4.02500,1.23583,-3.14159,0
0.87242,6.24000,4.02500,1.18322,-3.14159,0
0.88573,6.22358,4.02500,1.12815,-3.14159,0
0.89969,6.20706,4.02500,1.07026,-3.14159,0
0.91440,6.19043,4.02500,1.00905,-3.14159,0
0.93001,6.17370,4.02500,0.94388,-3.14159,0
0.94670,6.15686,4.02500,0.87386,-3.14159,0
0.96472,6.13991,4.02500,0.79772,-3.14159,0
0.98447,6.12285,4.02500,0.71351,-3.14159,0
1.00654,6.10567,4.02500,0.61791,-3.14159,0
1.03203,6.08837,4.02500,0.50452,-3.14159,0
1.06325,6.07095,4.02500,0.35675,-3.14159,0
1.10739,6.05340,4.02500,0.00000,-3.14159,2
