time,x_pos,y_pos,velocity,rotation,action
0.00010,7.57500,4.02500,0.00000,-3.14159,0
0.00020,7.57500,4.02500,0.35545,-3.14159,0
0.04432,7.55973,4.02499,0.50268,-3.14159,0
0.07552,7.54445,4.02496,0.61565,-3.14159,0
0.10099,7.52914,4.02492,0.71090,-3.14159,0
0.12305,7.51382,4.02486,0.79481,-3.14159,0
0.14278,7.49847,4.02478,0.87067,-3.14159,0
0.16079,7.48310,4.02468,0.94043,-3.14159,0
0.17747,7.46772,4.02456,1.00536,-3.14159,0
0.19306,7.45231,4.02443,1.06634,-3.14159,0
0.20777,7.43689,4.02429,1.12403,-3.14159,0
0.22172,7.42145,4.02412,1.17889,-3.14159,0
0.23503,7.40599,4.02394,1.23131,-3.14159,0
0.24776,7.39051,4.02375,1.28159,-3.14159,0
0.26000,7.37502,4.02354,1.32996,-3.14159,0
0.27179,7.35951,4.02332,1.37664,-3.14159,0
0.28318,7.34398,4.02308,1.42179,-3.14159,0
0.29421,7.32844,4.02282,1.46555,-3.14159,0
0.30491,7.31288,4.02256,1.50804,-3.14159,0
0.31531,7.29731,4.02227,1.54936,-3.14159,0
0.32543,7.28172,4.02198,1.58961,-3.14159,0
0.33530,7.26612,4.02167,1.62887,-3.14159,0
0.34493,7.25050,4.02135,1.66720,-3.14159,0
0.35433,7.23487,4.02101,1.70467,-3.14159,0
0.36353,7.21923,4.02067,1.74133,-3.14159,0
0.37254,7.20357,4.02031,1.77724,-3.14159,0
0.38136,7.18790,4.01993,1.81244,-3.14159,0
0.39001,7.17222,4.01955,1.84696,-3.14159,0
0.39850,7.15652,4.01916,1.88085,-3.14159,0
0.40684,7.14082,4.01875,1.91415,-3.14159,0
0.41503,7.12510,4.01833,1.94687,-3.14159,0
0.42309,7.10937,4.01790,1.97905,-3.14159,0
0.43101,7.09364,4.01746,2.01072,-3.14159,0
0.43881,7.07789,4.01701,2.04189,-3.14159,0
0.44649,7.06213,4.01656,2.07260,-3.14159,0
0.45406,7.04636,4.01609,2.10286,-3.14159,0
0.46152,7.03059,4.01561,2.13269,-3.14159,0
0.46887,7.01480,4.01512,2.16211,-3.14159,0
0.47612,6.99901,4.01463,2.19113,-3.14159,0
0.48328,6.98320,4.01412,2.21977,-3.14159,0
0.49035,6.96740,4.01361,2.24805,-3.14159,0
0.49732,6.95158,4.01308,2.27598,-3.14159,0
0.50421,6.93575,4.01255,2.30357,-3.14159,0
0.51102,6.91992,4.01202,2.33083,-3.14159,0
0.51775,6.90409,4.01147,2.35778,-3.14159,0
0.52440,6.88825,4.01092,2.38442,-3.14159,0
0.53098,6.87240,4.01036,2.41077,-3.14159,0
0.53748,6.85655,4.00980,2.43683,-3.14159,0
0.54392,6.84069,4.00923,2.46262,-3.14159,0
0.55028,6.82483,4.00865,2.48814,-3.14159,0
0.55659,6.80897,4.00807,2.51340,-3.14159,0
0.56283,6.79310,4.00748,2.53841,-3.14159,0
0.56900,6.77722,4.00688,2.56317,-3.14159,0
0.57512,6.76135,4.00629,2.58770,-3.14159,0
0.58118,6.74547,4.00568,2.61200,-3.14159,0
0.58719,6.72959,4.00507,2.63607,-3.14159,0
0.59314,6.71371,4.00446,2.65993,-3.14159,0
0.59903,6.69783,4.00385,2.68357,-3.14159,0
0.60487,6.68195,4.00323,2.70701,-3.14159,0
0.61067,6.66606,4.00260,2.70701,-3.14159,0
0.61646,6.65018,4.00198,2.68357,-3.14159,0
0.62230,6.63429,4.00135,2.65993,-3.14159,0
0.62820,6.61841,4.00072,2.63607,-3.14159,0
0.63415,6.60252,4.00008,2.61200,-3.14159,0
0.64015,6.58664,3.99945,2.58770,-3.14159,0
0.64621,6.57076,3.99881,2.56317,-3.14159,0
0.65233,6.55488,3.99817,2.53841,-3.14159,0
0.65851,6.53900,3.99753,2.51340,-3.14159,0
0.66475,6.52313,3.99688,2.48814,-3.14159,0
0.67105,6.50726,3.99624,2.46262,-3.14159,0
0.67742,6.49139,3.99560,2.43683,-3.14159,0
0.68386,6.47552,3.99496,2.41077,-3.14159,0
0.69036,6.45966,3.99431,2.38442,-3.14159,0
0.69694,6.44381,3.99367,2.35778,-3.14159,0
0.70359,6.42796,3.99303,2.33083,-3.14159,0
0.71032,6.41211,3.99238,2.30357,-3.14159,0
0.71712,6.39627,3.99174,2.27598,-3.14159,0
0.72401,6.38043,3.99110,2.24805,-3.14159,0
0.73099,6.36461,3.99047,2.21977,-3.14159,0
0.73806,6.34878,3.98983,2.19113,-3.14159,0
0.74521,6.33297,3.98920,2.16211,-3.14159,0
0.75247,6.31716,3.98856,2.13269,-3.14159,0
0.75982,6.30136,3.98794,2.10286,-3.14159,0
0.76728,6.28557,3.98731,2.07260,-3.14159,0
0.77484,6.26978,3.98669,2.04189,-3.14159,0
0.78252,6.25401,3.98607,2.01072,-3.14159,0
0.79032,6.23824,3.98545,1.97905,-3.14159,0
0.79825,6.22249,3.98484,1.94687,-3.14159,0
0.80630,6.20674,3.98423,1.91415,-3.14159,0
0.81449,6.19100,3.98363,1.88085,-3.14159,0
0.82283,6.17528,3.98303,1.84696,-3.14159,0
0.83132,6.15956,3.98244,1.81244,-3.14159,0
0.83998,6.14386,3.98185,1.77724,-3.14159,0
0.84880,6.12817,3.98127,1.74133,-3.14159,0
0.85781,6.11249,3.98069,1.70467,-3.14159,0
0.86700,6.09682,3.98012,1.66720,-3.14159,0
0.87641,6.08117,3.97956,1.62887,-3.14159,0
0.88604,6.06552,3.97900,1.58961,-3.14159,0
0.89590,6.04990,3.97845,1.54936,-3.14159,0
0.90603,6.03428,3.97790,1.50804,-3.14159,0
0.91642,6.01868,3.97737,1.46555,-3.14159,0
0.92713,6.00310,3.97684,1.42179,-3.14159,0
0.93815,5.98753,3.97632,1.37664,-3.14159,0
0.94955,5.97197,3.97581,1.32996,-3.14159,0
0.96134,5.95643,3.97530,1.28159,-3.14159,0
0.97357,5.94091,3.97481,1.23131,-3.14159,0
0.98631,5.92540,3.97432,1.17889,-3.14159,0
0.99961,5.90991,3.97384,1.12403,-3.14159,0
1.01356,5.89444,3.97338,1.06634,-3.14159,0
1.02827,5.87898,3.97292,1.00536,-3.14159,0
1.04387,5.86354,3.97247,0.94043,-3.14159,0
1.06055,5.84812,3.97203,0.87067,-3.14159,0
1.07856,5.83272,3.97161,0.79481,-3.14159,0
1.09829,5.81734,3.97119,0.71090,-3.14159,0
1.12035,5.80198,3.97078,0.61565,-3.14159,0
1.14582,5.78663,3.97039,0.50268,-3.14159,0
1.17702,5.77131,3.97001,0.35545,-3.14159,0
1.26526,5.72546,3.96893,0.00000,-3.14159,4112
1.26536,5.72546,3.96893,0.35545,-3.14159,0
1.31057,5.69029,3.96908,0.50268,-3.14159,0
1.34255,5.66230,3.97097,0.61565,-3.14159,0
1.36865,5.64104,3.97421,0.70792,-3.14159,0
1.39136,5.62606,3.97839,0.61222,-3.14159,0
1.41761,5.61691,3.98310,0.49846,-3.14159,0
1.44986,5.61312,3.98795,0.34946,-3.14159,0
1.49585,5.61424,3.99252,0.40040,-3.14159,0
1.53599,5.61981,3.99641,0.53541,-3.14159,0
1.56601,5.62939,3.99921,0.64265,-3.14159,0
1.59102,5.64251,4.00053,0.73440,-3.14159,0
1.63479,5.69860,3.99148,0.81590,-3.14159,83968
1.65396,5.69860,3.99148,0.88996,-3.14123,0
1.67154,5.71592,3.98578,0.95832,-3.14025,0
1.68786,5.73289,3.97996,1.02212,-3.13879,0
1.70317,5.74952,3.97403,1.08216,-3.13694,0
1.71762,5.76580,3.96798,1.13904,-3.13476,0
1.73136,5.78173,3.96181,1.19321,-3.13230,0
1.74446,5.79733,3.95552,1.24503,-3.12961,0
1.75703,5.81259,3.94911,1.29477,-3.12671,0
1.76911,5.82751,3.94259,1.34268,-3.12362,0
1.78076,5.84211,3.93596,1.38893,-3.12037,0
1.79202,5.85637,3.92920,1.43369,-3.11697,0
1.80293,5.87031,3.92234,1.47709,-3.11343,0
1.81352,5.88392,3.91536,1.51926,-3.10977,0
1.82382,5.89721,3.90827,1.56029,-3.10600,0
1.83384,5.91018,3.90107,1.60026,-3.10213,0
1.84362,5.92284,3.89376,1.63926,-3.09815,0
1.85316,5.93519,3.88633,1.67736,-3.09409,0
1.86249,5.94722,3.87880,1.71460,-3.08995,0
1.87161,5.95895,3.87115,1.75106,-3.08573,0
1.88054,5.97037,3.86340,1.78677,-3.08143,0
1.88930,5.98148,3.85554,1.82178,-3.07707,0
