time,x_pos,y_pos,velocity,rotation,action
0.00010,7.57500,4.02500,0.00000,-3.14159,0
0.00020,7.57500,4.02500,0.35458,-3.14159,0
0.04447,7.55858,4.02501,0.50145,-3.14159,0
0.07578,7.54234,4.02502,0.61415,-3.14159,0
0.10134,7.52629,4.02504,0.70916,-3.14159,0
0.12348,7.51041,4.02507,0.79287,-3.14159,0
0.14328,7.49469,4.02512,0.86854,-3.14159,0
0.16135,7.47915,4.02517,0.93813,-3.14159,0
0.17808,7.46376,4.02522,1.00291,-3.14159,0
0.19374,7.44853,4.02529,1.06374,-3.14159,0
0.20849,7.43345,4.02537,1.12128,-3.14159,0
0.22249,7.41851,4.02545,1.17601,-3.14159,0
0.23584,7.40372,4.02554,1.22831,-3.14159,0
0.24862,7.38906,4.02564,1.27846,-3.14159,0
0.26090,7.37454,4.02575,1.32672,-3.14159,0
0.27274,7.36014,4.02587,1.37329,-3.14159,0
0.28417,7.34586,4.02599,1.41833,-3.14159,0
0.29523,7.33170,4.02612,1.46198,-3.14159,0
0.30597,7.31765,4.02626,1.50436,-3.14159,0
0.31641,7.30371,4.02641,1.54558,-3.14159,0
0.32656,7.28987,4.02656,1.58574,-3.14159,0
0.33646,7.27613,4.02672,1.62490,-3.14159,0
0.34613,7.26249,4.02689,1.66313,-3.14159,0
0.35556,7.24893,4.02707,1.70051,-3.14159,0
0.36480,7.23546,4.02725,1.73709,-3.14159,0
0.37383,7.22206,4.02744,1.77291,-3.14159,0
0.38269,7.20874,4.02763,1.80802,-3.14159,0
0.39137,7.19549,4.02783,1.84246,-3.14159,0
0.39989,7.18230,4.02804,1.87627,-3.14159,0
0.40826,7.16917,4.02825,1.90948,-3.14159,0
0.41648,7.15610,4.02847,1.94212,-3.14159,0
0.42456,7.14308,4.02870,1.97423,-3.14159,0
0.43251,7.13010,4.02893,2.00582,-3.14159,0
0.44034,7.11716,4.02917,2.03692,-3.14159,0
0.44805,7.10426,4.02941,2.06755,-3.14159,0
0.45564,7.09139,4.02966,2.09773,-3.14159,0
0.46312,7.07855,4.02991,2.12749,-3.14159,0
0.47050,7.06572,4.03017,2.15683,-3.14159,0
0.47778,7.05292,4.03044,2.18579,-3.14159,0
0.48496,7.04012,4.03071,2.21436,-3.14159,0
0.49205,7.02734,4.03098,2.24257,-3.14159,0
0.49905,7.01455,4.03126,2.27043,-3.14159,0
0.50597,7.00176,4.03154,2.29795,-3.14159,0
0.51280,6.98897,4.03183,2.32515,-3.14159,0
0.51955,6.97616,4.03212,2.35203,-3.14159,0
0.52622,6.96334,4.03242,2.37860,-3.14159,0
0.53282,6.95049,4.03272,2.40489,-3.14159,0
0.53935,6.93762,4.03303,2.43089,-3.14159,0
0.54581,6.92472,4.03334,2.45661,-3.14159,0
0.55220,6.91178,4.03365,2.48207,-3.14159,0
0.55852,6.89880,4.03397,2.50727,-3.14159,0
0.56479,6.88577,4.03429,2.53222,-3.14159,0
0.57099,6.87270,4.03461,2.55692,-3.14159,0
0.57712,6.85957,4.03494,2.58139,-3.14159,0
0.58321,6.84638,4.03527,2.60563,-3.14159,0
0.58923,6.83312,4.03560,2.58139,-3.14159,0
0.59531,6.81979,4.03594,2.55692,-3.14159,0
0.60145,6.80639,4.03627,2.53222,-3.14159,0
0.60765,6.79291,4.03662,2.50727,-3.14159,0
0.61391,6.77935,4.03696,2.48207,-3.14159,0
0.62024,6.76570,4.03731,2.45661,-3.14159,0
0.62663,6.75195,4.03766,2.43089,-3.14159,0
0.63309,6.73811,4.03801,2.40489,-3.14159,0
0.63961,6.72416,4.03836,2.37860,-3.14159,0
0.64621,6.71011,4.03872,2.35203,-3.14159,0
0.65289,6.69594,4.03908,2.32515,-3.14159,0
0.65964,6.68166,4.03944,2.29795,-3.14159,0
0.66647,6.66725,4.03980,2.27043,-3.14159,0
0.67338,6.65272,4.04016,2.24257,-3.14159,0
0.68038,6.63805,4.04052,2.21436,-3.14159,0
0.68747,6.62325,4.04089,2.18579,-3.14159,0
0.69466,6.60830,4.04126,2.15683,-3.14159,0
0.70193,6.59321,4.04162,2.12749,-3.14159,0
0.70931,6.57797,4.04199,2.09773,-3.14159,0
0.71680,6.56258,4.04236,2.06755,-3.14159,0
0.72439,6.54702,4.04273,2.03692,-3.14159,0
0.73210,6.53130,4.04310,2.00582,-3.14159,0
0.73992,6.51540,4.04348,1.97423,-3.14159,0
