time,x_pos,y_pos,velocity,rotation,action
0.00010,7.60137,7.69675,0.00000,-3.14159,0
0.00020,7.60137,7.69675,0.12537,-3.14159,0
0.12488,7.58831,7.69660,0.17730,-3.14052,0
0.21304,7.57521,7.69617,0.21714,-3.13845,0
0.28503,7.56204,7.69545,0.25074,-3.13597,0
0.34736,7.54882,7.69444,0.28033,-3.13325,0
0.40312,7.53555,7.69316,0.30709,-3.13035,0
0.45402,7.52222,7.69159,0.33169,-3.12733,0
0.50115,7.50884,7.68975,0.35460,-3.12422,0
0.54523,7.49541,7.68763,0.37611,-3.12102,0
0.58679,7.48194,7.68525,0.39645,-3.11777,0
0.62622,7.46841,7.68259,0.41580,-3.11446,0
0.66381,7.45483,7.67967,0.43429,-3.11110,0
0.69980,7.44121,7.67648,0.45202,-3.10771,0
0.73438,7.42755,7.67303,0.46909,-3.10427,0
0.76770,7.41384,7.66933,0.48555,-3.10081,0
0.79989,7.40008,7.66537,0.50147,-3.09732,0
0.83106,7.38628,7.66115,0.51691,-3.09380,0
0.86130,7.37244,7.65669,0.53189,-3.09026,0
0.89069,7.35856,7.65197,0.54647,-3.08669,0
0.91929,7.34464,7.64701,0.56066,-3.08311,0
0.94717,7.33068,7.64181,0.57451,-3.07951,0
0.97438,7.31669,7.63637,0.58803,-3.07589,0
1.00096,7.30266,7.63068,0.60125,-3.07226,0
1.02696,7.28859,7.62477,0.61418,-3.06861,0
1.05241,7.27448,7.61862,0.62684,-3.06495,0
1.07735,7.26035,7.61224,0.63926,-3.06127,0
1.10180,7.24618,7.60563,0.65143,-3.05758,0
1.12579,7.23198,7.59879,0.66339,-3.05388,0
1.14935,7.21774,7.59174,0.67513,-3.05017,0
1.17251,7.20348,7.58446,0.68667,-3.04645,0
1.19527,7.18919,7.57696,0.69802,-3.04272,0
1.21766,7.17487,7.56925,0.70919,-3.03898,0
1.23970,7.16053,7.56133,0.72019,-3.03523,0
1.26141,7.14616,7.55320,0.73102,-3.03148,0
