time,x_pos,y_pos,velocity,rotation,action
0.00010,7.60354,7.62524,0.00000,-3.14159,0
0.00020,7.60354,7.62524,0.35481,-3.14159,0
0.04439,7.59026,7.62509,0.50177,-3.14082,0
0.07564,7.57692,7.62466,0.61454,-3.13933,0
0.10115,7.56353,7.62393,0.70961,-3.13755,0
0.12325,7.55007,7.62292,0.79337,-3.13559,0
0.14301,7.53656,7.62162,0.86910,-3.13351,0
0.16105,7.52300,7.62005,0.93873,-3.13134,0
0.17775,7.50938,7.61819,1.00355,-3.12910,0
0.19338,7.49571,7.61606,1.06442,-3.12681,0
0.20811,7.48199,7.61366,1.12200,-3.12447,0
0.22208,7.46821,7.61098,1.17676,-3.12209,0
0.23541,7.45439,7.60804,1.22909,-3.11968,0
0.24816,7.44052,7.60484,1.27927,-3.11724,0
0.26042,7.42661,7.60137,1.32757,-3.11477,0
0.27223,7.41264,7.59764,1.37416,-3.11229,0
0.28364,7.39863,7.59365,1.41923,-3.10978,0
0.29469,7.38458,7.58941,1.46291,-3.10725,0
0.30541,7.37048,7.58492,1.50532,-3.10470,0
0.31582,7.35635,7.58018,1.54657,-3.10214,0
0.32596,7.34217,7.57519,1.58675,-3.09957,0
0.33584,7.32795,7.56996,1.62593,-3.09698,0
0.34549,7.31369,7.56449,1.66419,-3.09438,0
0.35491,7.29940,7.55877,1.70159,-3.09177,0
0.36412,7.28506,7.55282,1.73819,-3.08915,0
0.37314,7.27069,7.54664,1.77403,-3.08652,0
0.38198,7.25629,7.54023,1.80917,-3.08388,0
0.39065,7.24186,7.53359,1.84363,-3.08123,0
0.39915,7.22739,7.52672,1.87746,-3.07857,0
0.40750,7.21289,7.51963,1.91069,-3.07591,0
0.41571,7.19836,7.51232,1.94336,-3.07324,0
0.42378,7.18380,7.50479,1.97548,-3.07056,0
0.43171,7.16921,7.49705,2.00709,-3.06787,0
0.43953,7.15459,7.48909,2.03821,-3.06518,0
0.44722,7.13995,7.48092,2.06886,-3.06248,0
0.45480,7.12529,7.47255,2.09907,-3.05977,0
0.46227,7.11060,7.46397,2.12884,-3.05706,0
0.46963,7.09588,7.45519,2.15821,-3.05435,0
0.47690,7.08115,7.44621,2.18718,-3.05163,0
0.48407,7.06639,7.43703,2.21577,-3.04890,0
0.49114,7.05161,7.42766,2.24400,-3.04617,0
0.49813,7.03682,7.41809,2.27187,-3.04343,0
0.50503,7.02200,7.40834,2.29941,-3.04070,0
0.51185,7.00717,7.39840,2.32662,-3.03795,0
0.51859,6.99233,7.38827,2.35352,-3.03520,0
0.52525,6.97747,7.37797,2.38012,-3.03245,0
0.53184,6.96259,7.36749,2.40642,-3.02970,0
0.53836,6.94771,7.35683,2.43243,-3.02694,0
0.54480,6.93281,7.34599,2.45817,-3.02418,0
0.55118,6.91790,7.33499,2.48365,-3.02141,0
0.55749,6.90298,7.32382,2.50886,-3.01864,0
0.56374,6.88806,7.31248,2.53383,-3.01587,0
0.56993,6.87313,7.30098,2.55855,-3.01309,0
0.57606,6.85819,7.28932,2.58303,-3.01031,0
0.58213,6.84324,7.27750,2.60729,-3.00753,0
0.58814,6.82829,7.26553,2.63132,-3.00475,0
0.59410,6.81334,7.25340,2.65513,-3.00196,0
0.60001,6.79839,7.24113,2.67873,-2.99917,0
0.60586,6.78343,7.22871,2.70213,-2.99638,0
0.61166,6.76848,7.21614,2.72532,-2.99358,0
0.61742,6.75353,7.20343,2.74832,-2.99078,0
0.62312,6.73858,7.19058,2.77113,-2.98798,0
0.62878,6.72363,7.17760,2.79375,-2.98518,0
0.63439,6.70869,7.16448,2.81619,-2.98237,0
0.63996,6.69375,7.15123,2.83846,-2.97957,0
0.64548,6.67882,7.13785,2.86055,-2.97676,0
0.65096,6.66389,7.12434,2.88247,-2.97395,0
0.65640,6.64898,7.11071,2.90422,-2.97113,0
0.66180,6.63407,7.09696,2.92581,-2.96832,0
0.66716,6.61918,7.08309,2.94725,-2.96550,0
0.67248,6.60430,7.06911,2.96853,-2.96268,0
0.67776,6.58943,7.05501,2.98966,-2.95986,0
0.68301,6.57457,7.04080,3.01064,-2.95703,0
0.68822,6.55973,7.02649,3.03147,-2.95421,0
0.69339,6.54490,7.01207,3.05217,-2.95138,0
0.69852,6.53010,6.99754,3.07272,-2.94855,0
0.70363,6.51530,6.98292,3.09314,-2.94572,0
0.70870,6.50053,6.96820,3.11342,-2.94289,0
0.71373,6.48578,6.95338,3.13357,-2.94005,0
0.71874,6.47105,6.93847,3.15359,-2.93722,0
0.72371,6.45635,6.92347,3.17349,-2.93438,0
0.72865,6.44166,6.90839,3.19326,-2.93154,0
0.73356,6.42700,6.89322,3.21291,-2.92870,0
0.73844,6.41237,6.87797,3.23245,-2.92585,0
0.74329,6.39776,6.86264,3.25186,-2.92301,0
0.74811,6.38318,6.84723,3.27116,-2.92017,0
0.75290,6.36863,6.83175,3.29034,-2.91732,0
0.75767,6.35410,6.81620,3.30942,-2.91447,0
0.76241,6.33961,6.80058,3.32838,-2.91162,0
0.76712,6.32515,6.78489,3.34724,-2.90877,0
0.77180,6.31073,6.76914,3.36599,-2.90592,0
0.77646,6.29633,6.75333,3.38464,-2.90306,0
0.78109,6.28197,6.73746,3.40319,-2.90021,0
0.78570,6.26765,6.72154,3.42163,-2.89735,0
0.79028,6.25337,6.70556,3.43998,-2.89449,0
0.79484,6.23912,6.68953,3.45823,-2.89164,0
0.79937,6.22491,6.67346,3.47638,-2.88878,0
0.80388,6.21074,6.65734,3.49444,-2.88591,0
0.80837,6.19662,6.64118,3.51241,-2.88305,0
0.81284,6.18254,6.62497,3.53029,-2.88019,0
0.81728,6.16849,6.60873,3.54807,-2.87732,0
0.82170,6.15450,6.59246,3.56577,-2.87446,0
0.82609,6.14055,6.57615,3.58338,-2.87159,0
0.83047,6.12664,6.55982,3.60090,-2.86872,0
0.83482,6.11279,6.54346,3.61834,-2.86585,0
0.83916,6.09898,6.52707,3.63569,-2.86298,0
0.84347,6.08522,6.51066,3.65296,-2.86011,0
0.84776,6.07151,6.49424,3.67015,-2.85724,0
0.85203,6.05786,6.47779,3.68726,-2.85436,0
0.85629,6.04425,6.46134,3.70429,-2.85149,0
0.86052,6.03070,6.44487,3.72125,-2.84861,0
0.86473,6.01721,6.42839,3.73812,-2.84574,0
0.86893,6.00377,6.41191,3.75492,-2.84286,0
0.87310,5.99039,6.39543,3.74810,-2.83998,0
0.87729,5.97707,6.37894,3.73126,-2.83709,0
0.88149,5.96380,6.36246,3.71436,-2.83416,0
0.88571,5.95060,6.34598,3.69737,-2.83121,0
0.88995,5.93746,6.32951,3.68031,-2.82823,0
0.89421,5.92438,6.31305,3.66316,-2.82522,0
0.89849,5.91136,6.29660,3.64594,-2.82219,0
0.90279,5.89841,6.28016,3.62864,-2.81912,0
