time,x_pos,y_pos,velocity,rotation,action
0.00010,7.57096,7.67424,0.00000,-3.14159,0
0.00020,7.57096,7.67424,0.35479,-3.14159,0
0.04439,7.55774,7.67409,0.50176,-3.14082,0
0.07563,7.54446,7.67365,0.61452,-3.13935,0
0.10114,7.53113,7.67292,0.70959,-3.13758,0
0.12323,7.51775,7.67189,0.79334,-3.13563,0
0.14299,7.50431,7.67058,0.86907,-3.13356,0
0.16103,7.49083,7.66899,0.93870,-3.13140,0
0.17773,7.47730,7.66712,1.00351,-3.12918,0
0.19335,7.46371,7.66497,1.06438,-3.12690,0
0.20808,7.45008,7.66254,1.12196,-3.12457,0
0.22205,7.43640,7.65984,1.17672,-3.12221,0
0.23538,7.42268,7.65686,1.22904,-3.11981,0
0.24813,7.40891,7.65363,1.27923,-3.11738,0
0.26039,7.39510,7.65012,1.32752,-3.11493,0
0.27219,7.38125,7.64635,1.37411,-3.11246,0
0.28360,7.36735,7.64233,1.41918,-3.10997,0
0.29465,7.35342,7.63804,1.46285,-3.10745,0
0.30537,7.33944,7.63350,1.50527,-3.10492,0
0.31578,7.32543,7.62871,1.54651,-3.10238,0
0.32592,7.31138,7.62367,1.58669,-3.09982,0
0.33580,7.29729,7.61838,1.62587,-3.09725,0
0.34544,7.28316,7.61285,1.66413,-3.09466,0
0.35486,7.26900,7.60708,1.70153,-3.09207,0
0.36407,7.25481,7.60107,1.73813,-3.08946,0
0.37309,7.24059,7.59482,1.77397,-3.08685,0
0.38193,7.22633,7.58834,1.80910,-3.08422,0
0.39059,7.21204,7.58162,1.84357,-3.08159,0
0.39910,7.19773,7.57468,1.87740,-3.07895,0
0.40745,7.18338,7.56752,1.91063,-3.07630,0
0.41565,7.16901,7.56013,1.94329,-3.07364,0
0.42372,7.15461,7.55252,1.97541,-3.07098,0
0.43166,7.14019,7.54469,2.00702,-3.06831,0
0.43947,7.12574,7.53664,2.03814,-3.06563,0
0.44716,7.11127,7.52839,2.06879,-3.06295,0
0.45474,7.09677,7.51992,2.09899,-3.06026,0
0.46220,7.08226,7.51125,2.12877,-3.05756,0
0.46957,7.06772,7.50237,2.15813,-3.05486,0
0.47683,7.05316,7.49329,2.18710,-3.05216,0
0.48400,7.03859,7.48401,2.21569,-3.04945,0
0.49108,7.02400,7.47453,2.24392,-3.04674,0
0.49806,7.00939,7.46486,2.27179,-3.04402,0
0.50496,6.99476,7.45500,2.29933,-3.04129,0
0.51178,6.98012,7.44495,2.32654,-3.03857,0
0.51852,6.96547,7.43471,2.35344,-3.03584,0
0.52518,6.95081,7.42429,2.38003,-3.03310,0
0.53177,6.93613,7.41369,2.40633,-3.03036,0
0.53828,6.92145,7.40291,2.43235,-3.02762,0
0.54473,6.90675,7.39195,2.45809,-3.02487,0
0.55110,6.89205,7.38082,2.48356,-3.02212,0
0.55742,6.87734,7.36952,2.50877,-3.01937,0
0.56366,6.86262,7.35806,2.53374,-3.01661,0
0.56985,6.84790,7.34642,2.55846,-3.01385,0
0.57598,6.83318,7.33463,2.58294,-3.01109,0
0.58205,6.81845,7.32267,2.60720,-3.00833,0
0.58806,6.80371,7.31056,2.63123,-3.00556,0
0.59402,6.78898,7.29830,2.65504,-3.00279,0
0.59992,6.77425,7.28588,2.67864,-3.00001,0
0.60578,6.75951,7.27331,2.70203,-2.99724,0
0.61158,6.74478,7.26059,2.72523,-2.99446,0
0.61733,6.73005,7.24773,2.74823,-2.99168,0
0.62303,6.71533,7.23473,2.77103,-2.98889,0
0.62869,6.70061,7.22159,2.79365,-2.98611,0
0.63430,6.68589,7.20832,2.81609,-2.98332,0
0.63987,6.67119,7.19491,2.83836,-2.98053,0
0.64539,6.65649,7.18137,2.86044,-2.97774,0
0.65087,6.64180,7.16770,2.88236,-2.97494,0
0.65631,6.62712,7.15390,2.90412,-2.97214,0
0.66171,6.61244,7.13999,2.92571,-2.96934,0
0.66707,6.59779,7.12595,2.94714,-2.96654,0
0.67239,6.58314,7.11179,2.96842,-2.96374,0
0.67767,6.56851,7.09752,2.98955,-2.96093,0
0.68291,6.55389,7.08314,3.01053,-2.95813,0
0.68812,6.53929,7.06865,3.03136,-2.95532,0
0.69329,6.52471,7.05405,3.05206,-2.95251,0
0.69843,6.51014,7.03934,3.07261,-2.94970,0
0.70353,6.49559,7.02453,3.09303,-2.94688,0
0.70860,6.48107,7.00963,3.11331,-2.94406,0
0.71363,6.46656,6.99462,3.13346,-2.94125,0
0.71864,6.45208,6.97953,3.15348,-2.93843,0
0.72361,6.43761,6.96434,3.17338,-2.93561,0
0.72855,6.42318,6.94906,3.19315,-2.93278,0
0.73346,6.40876,6.93370,3.21280,-2.92996,0
0.73834,6.39438,6.91825,3.23233,-2.92713,0
0.74319,6.38002,6.90272,3.25174,-2.92431,0
0.74801,6.36568,6.88712,3.27104,-2.92148,0
0.75280,6.35138,6.87143,3.29023,-2.91865,0
0.75757,6.33711,6.85568,3.30930,-2.91582,0
0.76230,6.32287,6.83985,3.32827,-2.91298,0
0.76701,6.30866,6.82396,3.34712,-2.91015,0
0.77170,6.29448,6.80800,3.36588,-2.90732,0
0.77635,6.28034,6.79198,3.38452,-2.90448,0
0.78099,6.26623,6.77590,3.40307,-2.90164,0
0.78559,6.25216,6.75976,3.42151,-2.89880,0
0.79017,6.23812,6.74357,3.43986,-2.89596,0
0.79473,6.22412,6.72732,3.45811,-2.89312,0
0.79926,6.21017,6.71103,3.47626,-2.89028,0
0.80377,6.19625,6.69469,3.49432,-2.88743,0
0.80826,6.18237,6.67830,3.51229,-2.88459,0
0.81272,6.16854,6.66188,3.53016,-2.88174,0
0.81716,6.15475,6.64541,3.54794,-2.87889,0
0.82158,6.14100,6.62891,3.56564,-2.87604,0
0.82598,6.12730,6.61238,3.58325,-2.87319,0
0.83035,6.11364,6.59581,3.60077,-2.87034,0
0.83471,6.10003,6.57922,3.61821,-2.86749,0
0.83904,6.08647,6.56260,3.63556,-2.86463,0
0.84335,6.07296,6.54595,3.65283,-2.86178,0
0.84765,6.05950,6.52929,3.67002,-2.85893,0
0.85192,6.04609,6.51261,3.68713,-2.85607,0
0.85617,6.03273,6.49591,3.70416,-2.85321,0
0.86040,6.01942,6.47921,3.72112,-2.85035,0
0.86461,6.00617,6.46249,3.73799,-2.84749,0
0.86881,5.99298,6.44576,3.75479,-2.84463,0
0.87298,5.97984,6.42903,3.76741,-2.84177,0
0.87714,5.96675,6.41230,3.75066,-2.83891,0
0.88132,5.95373,6.39557,3.73384,-2.83601,0
0.88552,5.94076,6.37884,3.71695,-2.83310,0
0.88974,5.92786,6.36212,3.69998,-2.83015,0
0.89398,5.91502,6.34540,3.68293,-2.82718,0
0.89823,5.90224,6.32870,3.66580,-2.82418,0
