time,x_pos,y_pos,velocity,rotation,action
0.00010,7.57108,7.51775,0.00000,-3.14159,0
0.00020,7.57108,7.51775,0.12548,-3.14159,0
0.12511,7.55725,7.51768,0.17745,-3.14020,0
0.21343,7.54346,7.51747,0.21733,-3.13754,0
0.28555,7.52971,7.51711,0.25096,-3.13434,0
0.34800,7.51601,7.51662,0.28058,-3.13082,0
0.40386,7.50234,7.51598,0.30736,-3.12709,0
0.45485,7.48872,7.51521,0.33198,-3.12319,0
0.50207,7.47513,7.51430,0.35491,-3.11917,0
0.54623,7.46159,7.51325,0.37644,-3.11506,0
0.58786,7.44808,7.51207,0.39680,-3.11085,0
0.62736,7.43462,7.51074,0.41616,-3.10658,0
0.66502,7.42120,7.50928,0.43467,-3.10225,0
0.70108,7.40781,7.50769,0.45242,-3.09787,0
0.73572,7.39447,7.50596,0.46950,-3.09344,0
0.76911,7.38117,7.50410,0.48598,-3.08897,0
0.80136,7.36790,7.50211,0.50191,-3.08447,0
0.83259,7.35468,7.49998,0.51736,-3.07993,0
0.86288,7.34149,7.49772,0.53236,-3.07536,0
0.89232,7.32834,7.49533,0.54695,-3.07076,0
0.92098,7.31523,7.49281,0.56116,-3.06614,0
0.94891,7.30216,7.49016,0.57501,-3.06149,0
0.97616,7.28913,7.48737,0.58855,-3.05682,0
1.00280,7.27613,7.48446,0.60177,-3.05214,0
1.02884,7.26318,7.48143,0.61472,-3.04743,0
1.05434,7.25026,7.47826,0.62739,-3.04270,0
1.07932,7.23738,7.47497,0.63982,-3.03796,0
1.10382,7.22453,7.47155,0.65200,-3.03320,0
1.12785,7.21172,7.46801,0.66397,-3.02843,0
1.15146,7.19895,7.46434,0.67572,-3.02364,0
1.17465,7.18622,7.46055,0.68727,-3.01884,0
1.19746,7.17352,7.45663,0.69863,-3.01403,0
1.21989,7.16086,7.45259,0.70981,-3.00921,0
1.24197,7.14824,7.44843,0.72082,-3.00437,0
1.26372,7.13565,7.44415,0.73166,-2.99952,0
1.28514,7.12309,7.43974,0.74234,-2.99466,0
1.30625,7.11058,7.43522,0.75287,-2.98980,0
1.32707,7.09809,7.43057,0.76325,-2.98492,0
1.34761,7.08565,7.42581,0.77350,-2.98003,0
1.36787,7.07323,7.42093,0.78361,-2.97514,0
1.38787,7.06086,7.41592,0.79359,-2.97023,0
1.40762,7.04851,7.41081,0.80345,-2.96532,0
1.42713,7.03621,7.40557,0.81319,-2.96040,0
1.44640,7.02393,7.40022,0.82282,-2.95547,0
1.46545,7.01169,7.39476,0.83233,-2.95054,0
1.48428,6.99949,7.38918,0.84173,-2.94560,0
1.50290,6.98731,7.38349,0.85104,-2.94065,0
1.52132,6.97517,7.37768,0.86024,-2.93569,0
1.53954,6.96307,7.37176,0.86934,-2.93073,0
1.55756,6.95100,7.36573,0.87835,-2.92576,0
1.57541,6.93896,7.35959,0.88727,-2.92079,0
1.59307,6.92695,7.35333,0.89609,-2.91581,0
1.61056,6.91497,7.34697,0.90484,-2.91082,0
1.62789,6.90303,7.34050,0.91350,-2.90583,0
1.64504,6.89112,7.33392,0.92207,-2.90084,0
1.66204,6.87924,7.32723,0.93057,-2.89584,0
1.67888,6.86740,7.32043,0.93899,-2.89083,0
1.69557,6.85559,7.31352,0.94734,-2.88582,0
1.71212,6.84380,7.30651,0.95561,-2.88080,0
1.72852,6.83205,7.29940,0.96382,-2.87578,0
1.74478,6.82033,7.29218,0.97195,-2.87076,0
1.76091,6.80864,7.28485,0.98002,-2.86573,0
1.77690,6.79698,7.27742,0.98802,-2.86069,0
1.79276,6.78535,7.26989,0.99595,-2.85565,0
1.80850,6.77375,7.26226,1.00383,-2.85061,0
1.82411,6.76219,7.25452,1.01164,-2.84557,0
1.83961,6.75065,7.24668,1.01939,-2.84052,0
1.85498,6.73914,7.23875,1.02708,-2.83546,0
1.87024,6.72766,7.23071,1.03472,-2.83040,0
1.88539,6.71621,7.22257,1.04230,-2.82534,0
1.90043,6.70479,7.21434,1.04983,-2.82028,0
1.91536,6.69340,7.20601,1.05730,-2.81521,0
1.93018,6.68204,7.19758,1.06472,-2.81014,0
1.94490,6.67070,7.18905,1.07209,-2.80506,0
1.95952,6.65940,7.18043,1.07941,-2.79998,0
1.97404,6.64812,7.17171,1.08667,-2.79490,0
1.98846,6.63687,7.16289,1.09389,-2.78982,0
2.00279,6.62565,7.15399,1.10107,-2.78473,0
2.01703,6.61445,7.14499,1.10819,-2.77964,0
2.03117,6.60329,7.13590,1.11528,-2.77454,0
2.04522,6.59215,7.12671,1.12231,-2.76945,0
2.05919,6.58104,7.11744,1.12931,-2.76435,0
2.07307,6.56995,7.10807,1.13625,-2.75925,0
2.08686,6.55889,7.09861,1.14316,-2.75414,0
2.10057,6.54786,7.08907,1.15003,-2.74903,0
2.11420,6.53686,7.07943,1.15685,-2.74392,0
2.12775,6.52588,7.06971,1.16364,-2.73881,0
2.14122,6.51493,7.05990,1.17038,-2.73369,0
