time,x_pos,y_pos,velocity,rotation,action
0.00010,7.57149,0.35798,0.00000,-3.14159,0
0.00020,7.57149,0.35798,0.12566,-3.14159,0
0.12493,7.55859,0.35813,0.17771,3.14036,0
0.21313,7.54563,0.35857,0.21765,3.13800,0
0.28514,7.53262,0.35929,0.25132,3.13516,0
0.34750,7.51956,0.36031,0.28099,3.13203,0
0.40328,7.50644,0.36160,0.30780,3.12871,0
0.45420,7.49328,0.36318,0.33247,3.12525,0
0.50135,7.48007,0.36504,0.35542,3.12169,0
0.54544,7.46681,0.36717,0.37698,3.11803,0
0.58702,7.45350,0.36958,0.39737,3.11430,0
0.62646,7.44015,0.37226,0.41677,3.11051,0
0.66407,7.42675,0.37520,0.43530,3.10666,0
0.70008,7.41331,0.37841,0.45307,3.10277,0
0.73467,7.39982,0.38189,0.47018,3.09884,0
0.76800,7.38629,0.38562,0.48668,3.09487,0
0.80021,7.37272,0.38962,0.50264,3.09087,0
0.83139,7.35911,0.39386,0.51811,3.08684,0
0.86164,7.34546,0.39837,0.53313,3.08278,0
0.89104,7.33178,0.40312,0.54774,3.07870,0
0.91966,7.31805,0.40812,0.56197,3.07459,0
0.94755,7.30429,0.41337,0.57585,3.07047,0
0.97476,7.29050,0.41885,0.58940,3.06632,0
1.00136,7.27666,0.42458,0.60265,3.06216,0
1.02736,7.26280,0.43055,0.61561,3.05798,0
1.05282,7.24890,0.43675,0.62830,3.05378,0
1.07777,7.23498,0.44319,0.64074,3.04957,0
1.10223,7.22102,0.44985,0.65295,3.04535,0
1.12623,7.20703,0.45674,0.66493,3.04111,0
1.14981,7.19301,0.46386,0.67670,3.03686,0
1.17297,7.17897,0.47120,0.68827,3.03260,0
1.19574,7.16490,0.47875,0.69965,3.02832,0
1.21814,7.15080,0.48653,0.71084,3.02404,0
1.24019,7.13668,0.49452,0.72186,3.01974,0
1.26190,7.12253,0.50272,0.73272,3.01544,0
1.28329,7.10837,0.51113,0.74342,3.01113,0
1.30438,7.09418,0.51975,0.75396,3.00680,0
1.32517,7.07997,0.52858,0.76436,3.00247,0
1.34567,7.06574,0.53760,0.77462,2.99813,0
1.36590,7.05149,0.54682,0.78475,2.99379,0
1.38588,7.03722,0.55624,0.79475,2.98943,0
1.40560,7.02294,0.56586,0.80462,2.98507,0
1.42508,7.00864,0.57567,0.81437,2.98070,0
1.44432,6.99433,0.58566,0.82401,2.97633,0
1.46334,6.98000,0.59584,0.83354,2.97195,0
1.48215,6.96566,0.60621,0.84296,2.96756,0
1.50074,6.95131,0.61676,0.85227,2.96316,0
1.51913,6.93694,0.62748,0.86148,2.95876,0
1.53733,6.92257,0.63839,0.87060,2.95436,0
1.55533,6.90819,0.64946,0.87962,2.94995,0
1.57315,6.89380,0.66071,0.88855,2.94553,0
1.59079,6.87940,0.67212,0.89739,2.94111,0
1.60825,6.86500,0.68371,0.90615,2.93668,0
1.62555,6.85059,0.69545,0.91482,2.93225,0
1.64268,6.83618,0.70736,0.92341,2.92781,0
1.65965,6.82176,0.71942,0.93192,2.92337,0
1.67647,6.80734,0.73164,0.94036,2.91893,0
1.69314,6.79292,0.74401,0.94871,2.91448,0
1.70966,6.77850,0.75654,0.95700,2.91002,0
1.72604,6.76409,0.76921,0.96522,2.90556,0
1.74228,6.74967,0.78203,0.97336,2.90110,0
1.75838,6.73526,0.79499,0.98144,2.89664,0
1.77435,6.72085,0.80809,0.98945,2.89217,0
1.79019,6.70644,0.82132,0.99740,2.88769,0
1.80590,6.69204,0.83470,1.00528,2.88322,0
1.82150,6.67765,0.84820,1.01311,2.87873,0
1.83697,6.66326,0.86184,1.02087,2.87425,0
1.85232,6.64889,0.87560,1.02857,2.86976,0
1.86756,6.63452,0.88949,1.03622,2.86527,0
1.88268,6.62016,0.90350,1.04381,2.86078,0
1.89770,6.60582,0.91764,1.05135,2.85628,0
1.91261,6.59148,0.93188,1.05883,2.85178,0
1.92741,6.57717,0.94625,1.06626,2.84728,0
1.94211,6.56286,0.96072,1.07364,2.84277,0
1.95671,6.54857,0.97531,1.08097,2.83826,0
1.97121,6.53430,0.99000,1.08825,2.83375,0
1.98561,6.52004,1.00480,1.09548,2.82923,0
1.99992,6.50581,1.01970,1.10267,2.82471,0
2.01413,6.49159,1.03469,1.10980,2.82019,0
2.02825,6.47739,1.04979,1.11689,2.81567,0
2.04229,6.46322,1.06498,1.12394,2.81114,0
