time,x_pos,y_pos,velocity,rotation,action
0.00010,7.57149,0.35798,0.00000,-3.14159,0
0.00020,7.57149,0.35798,0.21765,-3.14159,0
0.07221,7.55859,0.35813,0.30780,3.14051,0
0.12313,7.54563,0.35857,0.37698,3.13845,0
0.16471,7.53262,0.35929,0.43530,3.13596,0
0.20071,7.51956,0.36031,0.48668,3.13323,0
0.23292,7.50644,0.36160,0.53313,3.13032,0
0.26232,7.49328,0.36318,0.57585,3.12730,0
0.28954,7.48007,0.36504,0.61561,3.12418,0
0.31500,7.46681,0.36717,0.65295,3.12098,0
0.33900,7.45350,0.36958,0.68827,3.11772,0
0.36177,7.44015,0.37226,0.72186,3.11440,0
0.38349,7.42675,0.37520,0.75396,3.11104,0
0.40427,7.41331,0.37841,0.78475,3.10763,0
0.42425,7.39982,0.38189,0.81437,3.10420,0
0.44349,7.38629,0.38562,0.84296,3.10072,0
0.46209,7.37272,0.38962,0.87060,3.09723,0
0.48009,7.35911,0.39386,0.89739,3.09370,0
0.49755,7.34546,0.39837,0.92341,3.09015,0
0.51453,7.33178,0.40312,0.94871,3.08658,0
0.53105,7.31805,0.40812,0.97336,3.08299,0
0.54715,7.30429,0.41337,0.99740,3.07938,0
0.56286,7.29050,0.41885,1.02087,3.07576,0
0.57822,7.27666,0.42458,1.04381,3.07212,0
0.59323,7.26280,0.43055,1.06626,3.06846,0
0.60793,7.24890,0.43675,1.08825,3.06479,0
0.62234,7.23498,0.44319,1.10980,3.06111,0
0.63646,7.22102,0.44985,1.13094,3.05741,0
0.65032,7.20703,0.45674,1.15170,3.05371,0
0.66393,7.19301,0.46386,1.17208,3.04999,0
0.67730,7.17897,0.47120,1.19212,3.04626,0
0.69045,7.16490,0.47875,1.21182,3.04252,0
0.70338,7.15080,0.48653,1.23122,3.03878,0
0.71611,7.13668,0.49452,1.25030,3.03502,0
0.72864,7.12253,0.50272,1.26911,3.03126,0
0.74099,7.10837,0.51113,1.28764,3.02748,0
0.75317,7.09418,0.51975,1.30590,3.02370,0
0.76517,7.07997,0.52858,1.32391,3.01992,0
0.77701,7.06574,0.53760,1.34169,3.01612,0
0.78869,7.05149,0.54682,1.35922,3.01232,0
0.80022,7.03722,0.55624,1.37654,3.00851,0
0.81161,7.02294,0.56586,1.39364,3.00470,0
0.82285,7.00864,0.57567,1.41053,3.00088,0
