time,x_pos,y_pos,velocity,rotation,action
0.00010,7.58725,0.50391,0.00000,-3.14159,0
0.00020,7.58725,0.50391,0.35530,-3.14159,0
0.04425,7.57401,0.50406,0.50247,3.14064,0
0.07540,7.56070,0.50450,0.61540,3.13882,0
0.10083,7.54734,0.50522,0.71060,3.13663,0
0.12285,7.53392,0.50623,0.79448,3.13422,0
0.14255,7.52045,0.50752,0.87031,3.13167,0
0.16054,7.50692,0.50909,0.94004,3.12901,0
0.17718,7.49334,0.51094,1.00494,3.12626,0
0.19276,7.47970,0.51306,1.06590,3.12344,0
0.20744,7.46602,0.51545,1.12356,3.12057,0
0.22137,7.45228,0.51811,1.17840,3.11765,0
0.23465,7.43850,0.52104,1.23080,3.11469,0
0.24737,7.42467,0.52424,1.28105,3.11169,0
0.25959,7.41079,0.52769,1.32941,3.10867,0
0.27136,7.39687,0.53140,1.37607,3.10561,0
0.28273,7.38290,0.53537,1.42120,3.10253,0
0.29374,7.36888,0.53960,1.46494,3.09943,0
0.30443,7.35483,0.54407,1.50741,3.09630,0
0.31481,7.34073,0.54879,1.54872,3.09316,0
0.32492,7.32660,0.55376,1.58895,3.09000,0
0.33477,7.31242,0.55897,1.62819,3.08682,0
0.34438,7.29820,0.56442,1.66651,3.08363,0
0.35377,7.28395,0.57011,1.70396,3.08043,0
0.36295,7.26966,0.57603,1.74061,3.07721,0
0.37195,7.25534,0.58219,1.77650,3.07398,0
0.38076,7.24098,0.58857,1.81169,3.07074,0
0.38939,7.22660,0.59519,1.84620,3.06748,0
0.39787,7.21217,0.60202,1.88007,3.06422,0
0.40620,7.19772,0.60908,1.91335,3.06095,0
0.41438,7.18324,0.61636,1.94606,3.05767,0
0.42242,7.16873,0.62386,1.97823,3.05438,0
0.43033,7.15419,0.63157,2.00988,3.05108,0
0.43812,7.13963,0.63949,2.04105,3.04777,0
0.44578,7.12504,0.64762,2.07174,3.04446,0
0.45334,7.11042,0.65596,2.10199,3.04114,0
0.46078,7.09579,0.66450,2.13180,3.03781,0
0.46813,7.08113,0.67324,2.16121,3.03448,0
0.47537,7.06645,0.68218,2.19022,3.03114,0
0.48251,7.05174,0.69132,2.21885,3.02779,0
0.48957,7.03702,0.70065,2.24712,3.02444,0
0.49653,7.02229,0.71017,2.27503,3.02108,0
0.50341,7.00753,0.71988,2.30261,3.01772,0
0.51021,6.99276,0.72977,2.32986,3.01435,0
0.51693,6.97798,0.73985,2.35680,3.01097,0
0.52357,6.96318,0.75010,2.38343,3.00760,0
0.53013,6.94837,0.76053,2.40977,3.00421,0
0.53663,6.93355,0.77114,2.43582,3.00083,0
0.54305,6.91872,0.78192,2.46159,2.99743,0
0.54941,6.90387,0.79287,2.48710,2.99404,0
0.55570,6.88902,0.80399,2.51235,2.99064,0
0.56193,6.87417,0.81527,2.53735,2.98723,0
0.56810,6.85931,0.82672,2.56211,2.98383,0
0.57421,6.84444,0.83832,2.58663,2.98042,0
0.58026,6.82957,0.85008,2.61092,2.97700,0
0.58625,6.81469,0.86199,2.63498,2.97358,0
0.59219,6.79982,0.87406,2.65883,2.97016,0
0.59808,6.78494,0.88627,2.68246,2.96673,0
0.60391,6.77006,0.89863,2.70589,2.96330,0
0.60970,6.75519,0.91113,2.72912,2.95987,0
0.61543,6.74031,0.92378,2.75215,2.95644,0
0.62112,6.72545,0.93656,2.77499,2.95300,0
0.62676,6.71058,0.94948,2.79764,2.94956,0
0.63235,6.69572,0.96253,2.82011,2.94611,0
0.63790,6.68087,0.97571,2.84240,2.94267,0
0.64341,6.66603,0.98902,2.86453,2.93922,0
0.64887,6.65119,1.00245,2.88648,2.93577,0
0.65430,6.63637,1.01601,2.90826,2.93231,0
0.65968,6.62155,1.02968,2.92988,2.92885,0
0.66502,6.60675,1.04348,2.95135,2.92539,0
0.67032,6.59197,1.05739,2.97266,2.92193,0
0.67559,6.57719,1.07141,2.99382,2.91847,0
0.68081,6.56244,1.08554,3.01483,2.91500,0
0.68601,6.54769,1.09977,3.03569,2.91153,0
0.69116,6.53297,1.11411,3.05641,2.90806,0
0.69628,6.51826,1.12856,3.07699,2.90459,0
0.70137,6.50358,1.14310,3.09744,2.90111,0
0.70642,6.48891,1.15773,3.11775,2.89763,0
0.71144,6.47427,1.17246,3.13793,2.89415,0
0.71643,6.45965,1.18729,3.15798,2.89067,0
0.72138,6.44506,1.20220,3.17791,2.88719,0
0.72631,6.43048,1.21719,3.19771,2.88370,0
0.73120,6.41594,1.23227,3.21738,2.88021,0
0.73607,6.40142,1.24743,3.23694,2.87672,0
0.74090,6.38693,1.26267,3.25638,2.87323,0
0.74571,6.37247,1.27799,3.27571,2.86974,0
0.75049,6.35804,1.29337,3.29492,2.86624,0
0.75524,6.34365,1.30883,3.31402,2.86274,0
0.75996,6.32928,1.32435,3.33301,2.85925,0
0.76466,6.31495,1.33994,3.35190,2.85575,0
0.76932,6.30065,1.35559,3.37068,2.85224,0
0.77397,6.28639,1.37131,3.38935,2.84874,0
0.77859,6.27217,1.38707,3.40792,2.84523,0
0.78318,6.25798,1.40290,3.42639,2.84173,0
0.78775,6.24384,1.41877,3.44477,2.83822,0
0.79229,6.22973,1.43469,3.46304,2.83471,0
0.79681,6.21566,1.45066,3.48122,2.83120,0
0.80130,6.20164,1.46668,3.49931,2.82769,0
0.80578,6.18766,1.48273,3.51730,2.82417,0
0.81023,6.17372,1.49883,3.53520,2.82065,0
0.81465,6.15983,1.51496,3.55301,2.81714,0
0.81906,6.14599,1.53112,3.57073,2.81362,0
0.82344,6.13220,1.54732,3.58836,2.81010,0
0.82780,6.11845,1.56354,3.60591,2.80658,0
0.83214,6.10475,1.57979,3.62337,2.80305,0
0.83646,6.09111,1.59606,3.64075,2.79953,0
0.84076,6.07751,1.61235,3.65804,2.79601,0
0.84504,6.06397,1.62866,3.67526,2.79248,0
0.84930,6.05048,1.64498,3.69239,2.78895,0
0.85354,6.03705,1.66132,3.70945,2.78542,0
0.85776,6.02367,1.67767,3.72642,2.78189,0
0.86196,6.01036,1.69402,3.74332,2.77836,0
0.86614,5.99710,1.71038,3.74137,2.77483,0
0.87032,5.98390,1.72674,3.72446,2.77128,0
0.87452,5.97076,1.74310,3.70748,2.76769,0
0.87874,5.95768,1.75946,3.69041,2.76407,0
0.88298,5.94466,1.77581,3.67327,2.76042,0
0.88725,5.93171,1.79215,3.65604,2.75673,0
0.89153,5.91882,1.80849,3.63874,2.75301,0
0.89583,5.90600,1.82480,3.62135,2.74925,0
0.90015,5.89325,1.84111,3.60388,2.74545,0
0.90449,5.88056,1.85739,3.58632,2.74162,0
0.90886,5.86794,1.87365,3.56868,2.73775,0
0.91324,5.85540,1.88989,3.55095,2.73385,0
0.91765,5.84292,1.90610,3.53313,2.72990,0
0.92208,5.83052,1.92228,3.51522,2.72591,0
0.92653,5.81819,1.93843,3.49722,2.72189,0
0.93101,5.80593,1.95454,3.47912,2.71783,0
0.93550,5.79375,1.97062,3.46093,2.71372,0
0.94003,5.78165,1.98666,3.44264,2.70957,0
0.94457,5.76963,2.00265,3.42426,2.70538,0
0.94914,5.75768,2.01860,3.40578,2.70115,0
0.95374,5.74581,2.03451,3.38719,2.69688,0
0.95836,5.73403,2.05036,3.36851,2.69256,0
0.96301,5.72232,2.06616,3.34972,2.68819,0
0.96768,5.71070,2.08190,3.33082,2.68378,0
0.97238,5.69916,2.09759,3.31182,2.67932,0
0.97710,5.68771,2.11321,3.29270,2.67482,0
0.98186,5.67635,2.12877,3.27348,2.67027,0
0.98664,5.66507,2.14427,3.25414,2.66566,0
0.99145,5.65388,2.15969,3.23468,2.66101,0
0.99628,5.64278,2.17505,3.21511,2.65631,0
1.00115,5.63177,2.19033,3.19542,2.65156,0
1.00605,5.62085,2.20553,3.17560,2.64675,0
1.01098,5.61003,2.22066,3.15566,2.64189,0
1.01594,5.59930,2.23570,3.13560,2.63697,0
1.02093,5.58866,2.25066,3.11540,2.63200,0
1.02595,5.57812,2.26553,3.09508,2.62697,0
1.03101,5.56768,2.28032,3.07462,2.62189,0
1.03610,5.55734,2.29501,3.05402,2.61674,0
1.04122,5.54709,2.30960,3.03328,2.61158,0
1.04638,5.53694,2.32410,3.01240,2.60640,0
1.05158,5.52690,2.33850,2.99137,2.60121,0
1.05681,5.51696,2.35280,2.97020,2.59602,0
1.06208,5.50712,2.36699,2.94887,2.59081,0
1.06739,5.49739,2.38107,2.92739,2.58560,0
1.07273,5.48776,2.39504,2.90575,2.58037,0
1.07812,5.47824,2.40890,2.88394,2.57513,0
1.08355,5.46883,2.42264,2.86197,2.56989,0
1.08902,5.45952,2.43626,2.83983,2.56463,0
1.09453,5.45033,2.44977,2.81752,2.55936,0
1.10008,5.44124,2.46315,2.79503,2.55407,0
1.10568,5.43227,2.47640,2.77235,2.54878,0
1.11133,5.42341,2.48952,2.74949,2.54347,0
1.11702,5.41467,2.50252,2.72644,2.53815,0
1.12276,5.40604,2.51538,2.70319,2.53282,0
1.12855,5.39753,2.52810,2.67973,2.52748,0
1.13439,5.38913,2.54068,2.65608,2.52212,0
1.14028,5.38086,2.55312,2.63220,2.51674,0
1.14623,5.37270,2.56542,2.60811,2.51136,0
1.15223,5.36466,2.57757,2.58380,2.50596,0
1.15829,5.35675,2.58956,2.55925,2.50054,0
1.16440,5.34896,2.60141,2.53447,2.49511,0
1.17058,5.34129,2.61310,2.50944,2.48966,0
1.17681,5.33375,2.62464,2.48416,2.48419,0
1.18311,5.32633,2.63601,2.45862,2.47871,0
1.18948,5.31904,2.64722,2.43282,2.47321,0
1.19591,5.31188,2.65827,2.40673,2.46769,0
1.20241,5.30485,2.66914,2.38036,2.46216,0
1.20899,5.29794,2.67985,2.35369,2.45660,0
1.21564,5.29117,2.69038,2.32672,2.45103,0
1.22237,5.28454,2.70074,2.29943,2.44543,0
1.22917,5.27803,2.71091,2.27182,2.43981,0
1.23606,5.27166,2.72091,2.24386,2.43418,0
1.24304,5.26543,2.73072,2.21555,2.42851,0
1.25010,5.25933,2.74035,2.18688,2.42283,0
1.25726,5.25337,2.74979,2.15782,2.41712,0
1.26451,5.24755,2.75903,2.12837,2.41138,0
1.27186,5.24187,2.76808,2.09851,2.40561,0
1.27932,5.23633,2.77694,2.06821,2.39982,0
1.28689,5.23093,2.78559,2.03746,2.39400,0
1.29457,5.22568,2.79404,2.00624,2.38815,0
1.30237,5.22057,2.80229,1.97453,2.38227,0
1.31030,5.21560,2.81033,1.94230,2.37635,0
1.31836,5.21079,2.81816,1.90953,2.37040,0
1.32655,5.20612,2.82578,1.87618,2.36441,0
1.33489,5.20159,2.83318,1.84223,2.35838,0
1.34339,5.19722,2.84036,1.80765,2.35231,0
1.35205,5.19300,2.84732,1.77238,2.34620,0
1.36088,5.18893,2.85406,1.73641,2.34004,0
1.36989,5.18501,2.86058,1.69967,2.33383,0
1.37910,5.18125,2.86686,1.66212,2.32757,0
1.38851,5.17764,2.87292,1.62370,2.32125,0
1.39815,5.17419,2.87874,1.58435,2.31488,0
1.40803,5.17090,2.88433,1.54399,2.30844,0
1.41817,5.16776,2.88967,1.50256,2.30193,0
1.42858,5.16478,2.89478,1.45994,2.29535,0
1.43930,5.16197,2.89964,1.41605,2.28868,0
1.45036,5.15931,2.90425,1.37075,2.28193,0
1.46177,5.15682,2.90861,1.32390,2.27508,0
1.47360,5.15449,2.91273,1.27534,2.26812,0
1.48587,5.15233,2.91658,1.22484,2.26104,0
1.49865,5.15033,2.92018,1.17218,2.25382,0
1.51200,5.14849,2.92353,1.11703,2.24645,0
1.52601,5.14683,2.92660,1.05902,2.23891,0
1.54079,5.14534,2.92942,0.99764,2.23116,0
1.55647,5.14401,2.93196,0.93223,2.22316,0
1.57326,5.14286,2.93424,0.86186,2.21488,0
1.59142,5.14188,2.93624,0.78522,2.20622,0
1.61135,5.14107,2.93797,0.70024,2.19709,0
1.63371,5.14044,2.93941,0.60340,2.18732,0
1.65964,5.13998,2.94058,0.48770,2.17659,0
1.69173,5.13970,2.94147,0.33409,2.16423,0
1.73858,5.13959,2.94206,0.14954,2.14799,0
1.84324,5.13967,2.94237,0.06916,2.11946,0
2.06953,5.13992,2.94239,0.35530,2.09439,0
2.15763,5.14177,2.94067,0.00000,2.09440,4112
2.15773,5.14177,2.94067,0.35530,2.09440,0
2.20345,5.16593,2.91311,0.50247,2.09440,0
2.23578,5.18090,2.89625,0.49677,2.09440,0
2.26848,5.18798,2.88862,0.34719,2.09440,0
2.31527,5.18843,2.88873,0.29096,2.09440,0
2.37110,5.18353,2.89507,0.45923,2.09440,0
2.40647,5.17456,2.90616,0.58063,2.09440,0
2.43445,5.16279,2.92052,0.68071,2.09440,0
2.45831,5.14951,2.93664,0.76786,2.09440,0
2.47947,5.13598,2.95304,0.79448,2.09440,0
2.49991,5.12349,2.96822,0.71060,2.09440,0
2.52277,5.11331,2.98070,0.61540,2.09440,0
2.54917,5.10672,2.98898,0.50247,2.09440,0
2.58150,5.10500,2.99158,0.35530,2.09440,0
2.67294,5.14177,2.95034,0.00000,2.09440,82944
2.67304,5.14177,2.95034,0.35530,2.09440,0
2.71704,5.14739,2.94394,0.50247,2.09835,0
2.74816,5.15302,2.93760,0.61540,2.10590,0
2.77357,5.15867,2.93131,0.71060,2.11498,0
2.79557,5.16434,2.92506,0.79448,2.12497,0
2.81525,5.17003,2.91886,0.87031,2.13557,0
2.83321,5.17574,2.91270,0.94004,2.14662,0
2.84985,5.18146,2.90658,1.00494,2.15802,0
2.86540,5.18720,2.90049,1.06590,2.16971,0
2.88007,5.19296,2.89444,1.12356,2.18162,0
