time,x_pos,y_pos,velocity,rotation,action
0.00010,7.56503,0.34807,0.00000,-3.14159,16
0.00020,7.56503,0.34807,0.35460,-3.14159,0
0.04441,7.55732,0.34821,0.50147,3.14023,0
0.07567,7.54957,0.34864,0.61418,3.13762,0
0.10120,7.54178,0.34934,0.70919,3.13449,0
0.12331,7.53396,0.35033,0.79290,3.13104,0
0.14308,7.52610,0.35159,0.86858,3.12738,0
0.16113,7.51820,0.35312,0.93817,3.12357,0
0.17784,7.51027,0.35492,1.00295,3.11963,0
0.19347,7.50230,0.35700,1.06379,3.11560,0
0.20821,7.49429,0.35933,1.12133,3.11148,0
0.22219,7.48625,0.36194,1.17606,3.10730,0
0.23552,7.47817,0.36480,1.22836,3.10306,0
0.24828,7.47006,0.36792,1.27851,3.09877,0
0.26054,7.46191,0.37130,1.32678,3.09443,0
0.27236,7.45372,0.37493,1.37334,3.09006,0
0.28377,7.44550,0.37881,1.41838,3.08565,0
0.29483,7.43725,0.38294,1.46204,3.08120,0
0.30555,7.42896,0.38732,1.50442,3.07673,0
0.31597,7.42063,0.39194,1.54565,3.07223,0
0.32611,7.41228,0.39681,1.58580,3.06770,0
0.33600,7.40388,0.40191,1.62496,3.06315,0
0.34565,7.39546,0.40725,1.66320,3.05858,0
0.35507,7.38700,0.41282,1.70058,3.05399,0
0.36429,7.37850,0.41863,1.73716,3.04938,0
0.37332,7.36998,0.42467,1.77298,3.04475,0
0.38216,7.36141,0.43093,1.80809,3.04011,0
0.39083,7.35282,0.43741,1.84254,3.03545,0
0.39934,7.34419,0.44412,1.87635,3.03078,0
0.40769,7.33554,0.45105,1.90956,3.02609,0
0.41590,7.32684,0.45820,1.94220,3.02139,0
0.42398,7.31812,0.46556,1.97431,3.01668,0
0.43192,7.30936,0.47313,2.00590,3.01196,0
0.43973,7.30058,0.48092,2.03700,3.00722,0
0.44743,7.29176,0.48891,2.06763,3.00248,0
0.45501,7.28291,0.49710,2.09782,2.99772,0
0.46248,7.27402,0.50550,2.12758,2.99295,0
0.46985,7.26511,0.51410,2.15692,2.98818,0
0.47712,7.25617,0.52290,2.18588,2.98339,0
0.48429,7.24719,0.53189,2.21445,2.97860,0
0.49137,7.23819,0.54107,2.24266,2.97380,0
0.49836,7.22915,0.55045,2.27052,2.96899,0
0.50527,7.22008,0.56001,2.29804,2.96417,0
0.51209,7.21099,0.56976,2.32524,2.95935,0
0.51883,7.20186,0.57969,2.35212,2.95452,0
0.52550,7.19271,0.58981,2.37870,2.94968,0
0.53209,7.18352,0.60010,2.40499,2.94484,0
0.53861,7.17431,0.61057,2.43099,2.93998,0
0.54506,7.16506,0.62121,2.45671,2.93513,0
0.55144,7.15579,0.63202,2.48217,2.93026,0
0.55775,7.14649,0.64300,2.50737,2.92539,0
0.56401,7.13716,0.65415,2.53232,2.92052,0
0.57020,7.12780,0.66546,2.55703,2.91564,0
0.57633,7.11842,0.67693,2.58150,2.91075,0
0.58240,7.10900,0.68856,2.60574,2.90586,0
0.58842,7.09956,0.70035,2.62975,2.90096,0
0.59438,7.09009,0.71229,2.65355,2.89606,0
0.60029,7.08060,0.72438,2.67714,2.89115,0
0.60614,7.07107,0.73662,2.70052,2.88624,0
0.61195,7.06152,0.74901,2.72370,2.88133,0
0.61770,7.05195,0.76154,2.74669,2.87641,0
0.62341,7.04234,0.77421,2.76948,2.87148,0
0.62907,7.03271,0.78703,2.79209,2.86656,0
