time,x_pos,y_pos,velocity,rotation,action
0.00010,7.56503,0.34807,0.00000,-3.14159,16
0.00020,7.56503,0.34807,0.35451,-3.14159,0
0.04434,7.55032,0.35647,0.50135,3.14021,0
0.07556,7.53568,0.36489,0.61403,3.13756,0
0.10105,7.52110,0.37332,0.70902,3.13438,0
0.12312,7.50657,0.38178,0.79270,3.13089,0
0.14286,7.49211,0.39026,0.86836,3.12718,0
0.16088,7.47771,0.39876,0.93794,3.12331,0
0.17757,7.46336,0.40729,1.00270,3.11931,0
0.19318,7.44907,0.41583,1.06352,3.11522,0
0.20789,7.43485,0.42439,1.12105,3.11105,0
0.22185,7.42068,0.43298,1.17577,3.10681,0
0.23516,7.40656,0.44158,1.22805,3.10251,0
0.24790,7.39251,0.45021,1.27820,3.09816,0
0.26015,7.37851,0.45886,1.32645,3.09376,0
0.27195,7.36457,0.46753,1.37300,3.08932,0
0.28334,7.35068,0.47622,1.41803,3.08484,0
0.29438,7.33685,0.48493,1.46167,3.08033,0
0.30509,7.32308,0.49366,1.50405,3.07580,0
0.31549,7.30936,0.50242,1.54526,3.07123,0
0.32562,7.29570,0.51119,1.58541,3.06664,0
0.33549,7.28209,0.51999,1.62456,3.06202,0
0.34512,7.26854,0.52881,1.66279,3.05739,0
0.35454,7.25504,0.53765,1.70016,3.05273,0
0.36374,7.24159,0.54651,1.73673,3.04806,0
0.37275,7.22820,0.55540,1.77254,3.04336,0
0.38158,7.21487,0.56431,1.80764,3.03865,0
0.39024,7.20158,0.57323,1.84208,3.03393,0
0.39873,7.18835,0.58219,1.87588,3.02919,0
0.40708,7.17517,0.59116,1.90908,3.02443,0
0.41527,7.16204,0.60016,1.94172,3.01967,0
0.42333,7.14896,0.60917,1.97382,3.01489,0
0.43126,7.13594,0.61821,2.00540,3.01009,0
0.43907,7.12296,0.62728,2.03649,3.00529,0
0.44675,7.11004,0.63636,2.06712,3.00048,0
0.45432,7.09717,0.64547,2.09730,2.99565,0
0.46178,7.08434,0.65460,2.12705,2.99082,0
0.46914,7.07157,0.66375,2.15639,2.98597,0
0.47640,7.05885,0.67293,2.18533,2.98112,0
0.48356,7.04617,0.68213,2.21390,2.97626,0
0.49063,7.03354,0.69135,2.24211,2.97139,0
0.49761,7.02097,0.70059,2.26996,2.96651,0
0.50450,7.00844,0.70986,2.29748,2.96163,0
0.51131,6.99596,0.71915,2.32467,2.95673,0
0.51805,6.98352,0.72847,2.35154,2.95183,0
0.52470,6.97114,0.73780,2.37811,2.94692,0
0.53128,6.95880,0.74716,2.40439,2.94201,0
0.53779,6.94651,0.75655,2.43039,2.93709,0
0.54423,6.93426,0.76595,2.45610,2.93216,0
0.55060,6.92206,0.77539,2.48156,2.92723,0
0.55691,6.90990,0.78484,2.50675,2.92229,0
0.56315,6.89779,0.79432,2.53169,2.91734,0
0.56933,6.88573,0.80382,2.55639,2.91239,0
