time,x_pos,y_pos,velocity,rotation,action
0.00010,7.57147,0.51778,0.00000,-3.14159,0
0.00020,7.57147,0.51778,0.12538,-3.14159,0
0.12502,7.55803,0.51786,0.17731,3.14022,0
0.21328,7.54461,0.51809,0.21716,3.13760,0
0.28534,7.53122,0.51848,0.25076,3.13445,0
0.34775,7.51785,0.51901,0.28036,3.13098,0
0.40357,7.50451,0.51971,0.30712,3.12730,0
0.45453,7.49120,0.52055,0.33172,3.12346,0
0.50170,7.47791,0.52154,0.35463,3.11950,0
0.54583,7.46464,0.52269,0.37614,3.11544,0
0.58744,7.45140,0.52398,0.39649,3.11130,0
0.62691,7.43818,0.52542,0.41584,3.10710,0
0.66454,7.42499,0.52701,0.43433,3.10283,0
0.70057,7.41182,0.52874,0.45206,3.09851,0
0.73519,7.39868,0.53062,0.46913,3.09415,0
0.76855,7.38556,0.53264,0.48559,3.08974,0
0.80078,7.37247,0.53481,0.50152,3.08530,0
0.83198,7.35940,0.53713,0.51695,3.08083,0
0.86226,7.34635,0.53958,0.53194,3.07633,0
0.89168,7.33334,0.54217,0.54652,3.07180,0
0.92031,7.32034,0.54491,0.56072,3.06724,0
0.94822,7.30737,0.54779,0.57456,3.06266,0
0.97546,7.29443,0.55080,0.58808,3.05806,0
1.00207,7.28151,0.55395,0.60130,3.05344,0
1.02810,7.26861,0.55725,0.61423,3.04880,0
1.05357,7.25574,0.56067,0.62690,3.04415,0
1.07854,7.24289,0.56424,0.63931,3.03947,0
1.10302,7.23007,0.56793,0.65149,3.03478,0
1.12704,7.21728,0.57176,0.66345,3.03008,0
1.15063,7.20450,0.57573,0.67519,3.02536,0
1.17380,7.19176,0.57983,0.68673,3.02063,0
1.19659,7.17903,0.58406,0.69809,3.01589,0
1.21901,7.16634,0.58842,0.70926,3.01114,0
1.24108,7.15366,0.59291,0.72025,3.00637,0
1.26280,7.14101,0.59752,0.73108,3.00159,0
1.28421,7.12839,0.60227,0.74176,2.99681,0
1.30531,7.11579,0.60715,0.75228,2.99201,0
1.32611,7.10321,0.61215,0.76266,2.98720,0
1.34663,7.09066,0.61727,0.77289,2.98239,0
1.36688,7.07813,0.62253,0.78300,2.97757,0
1.38687,7.06563,0.62790,0.79297,2.97273,0
1.40660,7.05316,0.63340,0.80282,2.96789,0
1.42609,7.04070,0.63902,0.81255,2.96304,0
1.44535,7.02828,0.64477,0.82217,2.95819,0
1.46439,7.01587,0.65063,0.83168,2.95333,0
1.48321,7.00349,0.65661,0.84107,2.94846,0
1.50181,6.99114,0.66272,0.85037,2.94358,0
1.52022,6.97881,0.66894,0.85956,2.93870,0
1.53842,6.96650,0.67528,0.86866,2.93381,0
1.55644,6.95422,0.68173,0.87766,2.92891,0
1.57427,6.94196,0.68831,0.88657,2.92401,0
1.59192,6.92973,0.69499,0.89539,2.91910,0
1.60940,6.91752,0.70179,0.90413,2.91419,0
1.62671,6.90534,0.70871,0.91278,2.90927,0
1.64385,6.89318,0.71573,0.92135,2.90435,0
1.66084,6.88104,0.72287,0.92984,2.89942,0
1.67767,6.86893,0.73012,0.93826,2.89449,0
1.69435,6.85685,0.73748,0.94660,2.88955,0
1.71088,6.84479,0.74495,0.95486,2.88461,0
1.72727,6.83275,0.75253,0.96306,2.87966,0
1.74352,6.82074,0.76021,0.97119,2.87471,0
1.75963,6.80875,0.76801,0.97925,2.86975,0
1.77562,6.79678,0.77590,0.98724,2.86479,0
1.79147,6.78484,0.78391,0.99517,2.85983,0
1.80719,6.77293,0.79201,1.00304,2.85486,0
1.82280,6.76104,0.80022,1.01084,2.84989,0
1.83828,6.74917,0.80854,1.01859,2.84491,0
1.85364,6.73733,0.81695,1.02628,2.83993,0
1.86889,6.72551,0.82547,1.03391,2.83494,0
1.88403,6.71371,0.83408,1.04148,2.82996,0
1.89905,6.70194,0.84280,1.04900,2.82497,0
1.91397,6.69020,0.85161,1.05647,2.81997,0
1.92878,6.67848,0.86053,1.06388,2.81497,0
1.94349,6.66678,0.86953,1.07125,2.80997,0
1.95810,6.65511,0.87864,1.07856,2.80497,0
1.97261,6.64346,0.88784,1.08582,2.79996,0
1.98703,6.63183,0.89713,1.09304,2.79495,0
2.00134,6.62023,0.90652,1.10020,2.78994,0
2.01557,6.60866,0.91600,1.10733,2.78492,0
2.02970,6.59711,0.92557,1.11440,2.77990,0
2.04374,6.58558,0.93524,1.12143,2.77488,0
2.05770,6.57408,0.94499,1.12842,2.76985,0
2.07157,6.56260,0.95483,1.13536,2.76482,0
2.08535,6.55114,0.96476,1.14227,2.75979,0
2.09905,6.53971,0.97478,1.14913,2.75476,0
2.11267,6.52830,0.98489,1.15595,2.74972,0
2.12621,6.51692,0.99508,1.16273,2.74468,0
2.13967,6.50556,1.00536,1.16947,2.73964,0
2.15305,6.49423,1.01572,1.17617,2.73460,0
2.16636,6.48292,1.02617,1.18283,2.72955,0
2.17959,6.47163,1.03670,1.18946,2.72450,0
2.19274,6.46037,1.04731,1.19605,2.71945,0
2.20583,6.44913,1.05800,1.20260,2.71440,0
2.21884,6.43792,1.06877,1.20912,2.70935,0
2.23178,6.42673,1.07962,1.21560,2.70429,0
