time,x_pos,y_pos,velocity,rotation,action
0.00010,7.57500,4.02500,0.00000,-3.14159,16
0.00020,7.57500,4.02500,0.35460,-3.14159,0
0.04443,7.56004,4.02501,0.50148,-3.14159,0
0.07571,7.54517,4.02503,0.61419,-3.14159,0
0.10125,7.53037,4.02506,0.70920,-3.14159,0
0.12336,7.51565,4.02511,0.79291,-3.14159,0
0.14314,7.50101,4.02517,0.86859,-3.14159,0
0.16120,7.48644,4.02524,0.93819,-3.14159,0
0.17792,7.47194,4.02533,1.00297,-3.14159,0
0.19356,7.45751,4.02542,1.06381,-3.14159,0
0.20830,7.44314,4.02553,1.12135,-3.14159,0
0.22229,7.42884,4.02566,1.17608,-3.14159,0
0.23562,7.41459,4.02579,1.22838,-3.14159,0
0.24839,7.40041,4.02593,1.27854,-3.14159,0
0.26066,7.38628,4.02609,1.32680,-3.14159,0
0.27248,7.37221,4.02626,1.37337,-3.14159,0
0.28390,7.35818,4.02644,1.41841,-3.14159,0
0.29496,7.34421,4.02663,1.46206,-3.14159,0
0.30569,7.33028,4.02683,1.50445,-3.14159,0
0.31611,7.31640,4.02704,1.54567,-3.14159,0
0.32626,7.30255,4.02726,1.58583,-3.14159,0
0.33615,7.28875,4.02749,1.62499,-3.14159,0
0.34580,7.27498,4.02774,1.66323,-3.14159,0
0.35523,7.26125,4.02799,1.70061,-3.14159,0
0.36446,7.24755,4.02825,1.73719,-3.14159,0
0.37349,7.23388,4.02852,1.77301,-3.14159,0
0.38233,7.22023,4.02880,1.80812,-3.14159,0
0.39101,7.20661,4.02909,1.84257,-3.14159,0
0.39952,7.19302,4.02939,1.87638,-3.14159,0
0.40788,7.17944,4.02969,1.90959,-3.14159,0
0.41609,7.16588,4.03001,1.94224,-3.14159,0
0.42417,7.15233,4.03033,1.97434,-3.14159,0
0.43211,7.13880,4.03066,2.00593,-3.14159,0
0.43993,7.12528,4.03100,2.03703,-3.14159,0
0.44763,7.11177,4.03135,2.06767,-3.14159,0
0.45522,7.09826,4.03170,2.09785,-3.14159,0
0.46269,7.08475,4.03206,2.12761,-3.14159,0
0.47007,7.07125,4.03243,2.15696,-3.14159,0
0.47734,7.05774,4.03280,2.18591,-3.14159,0
0.48451,7.04423,4.03319,2.21449,-3.14159,0
0.49159,7.03071,4.03358,2.24270,-3.14159,0
0.49859,7.01719,4.03397,2.27056,-3.14159,0
0.50550,7.00365,4.03437,2.29808,-3.14159,0
0.51232,6.99010,4.03478,2.32528,-3.14159,0
0.51907,6.97653,4.03519,2.35216,-3.14159,0
0.52574,6.96294,4.03561,2.37874,-3.14159,0
0.53233,6.94934,4.03604,2.40503,-3.14159,0
0.53885,6.93571,4.03647,2.43103,-3.14159,0
0.54530,6.92205,4.03690,2.45675,-3.14159,0
0.55169,6.90837,4.03734,2.48221,-3.14159,0
0.55801,6.89465,4.03778,2.50741,-3.14159,0
0.56426,6.88091,4.03823,2.53236,-3.14159,0
0.57045,6.86712,4.03868,2.55707,-3.14159,0
0.57659,6.85330,4.03914,2.58154,-3.14159,0
0.58266,6.83944,4.03960,2.60578,-3.14159,0
0.58868,6.82554,4.04007,2.62980,-3.14159,0
0.59465,6.81159,4.04053,2.65360,-3.14159,0
0.60056,6.79760,4.04101,2.67719,-3.14159,0
0.60642,6.78355,4.04148,2.70057,-3.14159,0
0.61222,6.76945,4.04196,2.72375,-3.14159,0
0.61798,6.75530,4.04244,2.72375,-3.14159,0
0.62374,6.74109,4.04292,2.70057,-3.14159,0
0.62955,6.72682,4.04341,2.67719,-3.14159,0
0.63541,6.71249,4.04390,2.65360,-3.14159,0
0.64132,6.69810,4.04438,2.62980,-3.14159,0
0.64728,6.68364,4.04488,2.60578,-3.14159,0
0.65330,6.66911,4.04537,2.58154,-3.14159,0
0.65938,6.65451,4.04586,2.55707,-3.14159,0
0.66551,6.63983,4.04636,2.53236,-3.14159,0
0.67171,6.62508,4.04686,2.50741,-3.14159,0
0.67796,6.61025,4.04736,2.48221,-3.14159,0
0.68428,6.59534,4.04785,2.45675,-3.14159,0
0.69066,6.58035,4.04835,2.43103,-3.14159,0
0.69712,6.56527,4.04885,2.40503,-3.14159,0
0.70364,6.55010,4.04935,2.37874,-3.14159,0
0.71023,6.53484,4.04985,2.35216,-3.14159,0
0.71690,6.51949,4.05035,2.32528,-3.14159,0
0.72364,6.50404,4.05085,2.29808,-3.14159,0
0.73047,6.48849,4.05135,2.27056,-3.14159,0
