time,x_pos,y_pos,velocity,rotation,action
0.00010,7.57500,4.02500,0.00000,-3.14159,0
0.00020,7.57500,4.02500,0.35504,-3.14159,0
0.04421,7.55998,4.02500,0.50210,-3.14159,0
0.07533,7.54494,4.02500,0.61494,-3.14159,0
0.10074,7.52986,4.02501,0.71007,-3.14159,0
0.12274,7.51475,4.02502,0.79388,-3.14159,0
0.14242,7.49962,4.02502,0.86966,-3.14159,0
0.16039,7.48446,4.02504,0.93934,-3.14159,0
0.17703,7.46926,4.02505,1.00419,-3.14159,0
0.19259,7.45404,4.02506,1.06511,-3.14159,0
0.20726,7.43880,4.02508,1.12272,-3.14159,0
0.22117,7.42352,4.02510,1.17752,-3.14159,0
0.23444,7.40822,4.02512,1.22988,-3.14159,0
0.24715,7.39290,4.02514,1.28010,-3.14159,0
0.25935,7.37755,4.02516,1.32842,-3.14159,0
0.27111,7.36218,4.02519,1.37505,-3.14159,0
0.28248,7.34678,4.02521,1.42014,-3.14159,0
0.29348,7.33136,4.02524,1.46385,-3.14159,0
0.30415,7.31591,4.02527,1.50629,-3.14159,0
0.31453,7.30044,4.02530,1.54757,-3.14159,0
0.32462,7.28495,4.02534,1.58777,-3.14159,0
0.33446,7.26944,4.02537,1.62698,-3.14159,0
0.34407,7.25391,4.02541,1.66527,-3.14159,0
0.35345,7.23836,4.02544,1.70269,-3.14159,0
0.36263,7.22279,4.02548,1.73931,-3.14159,0
0.37161,7.20720,4.02552,1.77518,-3.14159,0
0.38041,7.19159,4.02556,1.81033,-3.14159,0
0.38904,7.17596,4.02560,1.84482,-3.14159,0
0.39751,7.16032,4.02565,1.87867,-3.14159,0
0.40583,7.14466,4.02569,1.91193,-3.14159,0
0.41400,7.12898,4.02573,1.94461,-3.14159,0
0.42204,7.11328,4.02578,1.97676,-3.14159,0
0.42994,7.09757,4.02583,2.00839,-3.14159,0
0.43772,7.08184,4.02588,2.03953,-3.14159,0
0.44538,7.06610,4.02593,2.07020,-3.14159,0
0.45293,7.05035,4.02598,2.10042,-3.14159,0
0.46037,7.03458,4.02603,2.13021,-3.14159,0
0.46771,7.01880,4.02608,2.15960,-3.14159,0
0.47494,7.00301,4.02613,2.18859,-3.14159,0
0.48208,6.98720,4.02619,2.21720,-3.14159,0
0.48913,6.97138,4.02624,2.24544,-3.14159,0
0.49609,6.95555,4.02630,2.27334,-3.14159,0
