time,x_pos,y_pos,velocity,rotation,action
0.00010,7.57500,4.02500,0.00000,-3.14159,16
0.00020,7.57500,4.02500,0.35464,-3.14159,0
0.04448,7.55782,4.02501,0.50154,-3.14159,0
0.07579,7.54088,4.02504,0.61425,-3.14159,0
0.10136,7.52418,4.02509,0.70928,-3.14159,0
0.12350,7.50771,4.02516,0.79300,-3.14159,0
0.14330,7.49147,4.02525,0.86869,-3.14159,0
0.16138,7.47545,4.02535,0.93829,-3.14159,0
0.17811,7.45963,4.02548,1.00307,-3.14159,0
0.19377,7.44403,4.02562,1.06392,-3.14159,0
0.20853,7.42863,4.02578,1.12147,-3.14159,0
0.22253,7.41342,4.02596,1.17621,-3.14159,0
0.23588,7.39840,4.02615,1.22851,-3.14159,0
0.24867,7.38356,4.02636,1.27867,-3.14159,0
0.26095,7.36889,4.02659,1.32694,-3.14159,0
0.27278,7.35440,4.02683,1.37351,-3.14159,0
0.28421,7.34006,4.02709,1.41856,-3.14159,0
0.29528,7.32588,4.02736,1.46222,-3.14159,0
0.30602,7.31186,4.02765,1.50461,-3.14159,0
0.31646,7.29797,4.02796,1.54584,-3.14159,0
0.32662,7.28422,4.02827,1.58600,-3.14159,0
0.33652,7.27060,4.02861,1.62516,-3.14159,0
0.34618,7.25711,4.02895,1.66341,-3.14159,0
0.35562,7.24373,4.02931,1.70079,-3.14159,0
0.36486,7.23047,4.02968,1.73737,-3.14159,0
0.37390,7.21731,4.03007,1.77320,-3.14159,0
0.38275,7.20424,4.03046,1.80832,-3.14159,0
0.39144,7.19128,4.03087,1.84276,-3.14159,0
0.39996,7.17839,4.03129,1.87658,-3.14159,0
0.40833,7.16559,4.03173,1.90979,-3.14159,0
0.41655,7.15286,4.03217,1.94244,-3.14159,0
0.42463,7.14020,4.03262,1.97455,-3.14159,0
0.43259,7.12760,4.03309,2.00615,-3.14159,0
0.44041,7.11505,4.03356,2.03725,-3.14159,0
0.44812,7.10255,4.03405,2.06789,-3.14159,0
0.45572,7.09009,4.03454,2.09808,-3.14159,0
0.46320,7.07767,4.03504,2.12784,-3.14159,0
0.47058,7.06527,4.03555,2.15719,-3.14159,0
0.47786,7.05290,4.03607,2.18615,-3.14159,0
0.48504,7.04054,4.03660,2.21473,-3.14159,0
0.49213,7.02820,4.03714,2.24294,-3.14159,0
0.49914,7.01586,4.03768,2.27080,-3.14159,0
0.50605,7.00351,4.03823,2.29833,-3.14159,0
0.51288,6.99116,4.03879,2.32553,-3.14159,0
0.51964,6.97879,4.03935,2.35241,-3.14159,0
0.52631,6.96639,4.03992,2.37900,-3.14159,0
0.53291,6.95398,4.04050,2.40528,-3.14159,0
0.53944,6.94152,4.04108,2.43129,-3.14159,0
0.54590,6.92902,4.04166,2.45702,-3.14159,0
0.55229,6.91648,4.04226,2.48248,-3.14159,0
0.55862,6.90388,4.04285,2.50768,-3.14159,0
0.56488,6.89123,4.04345,2.53264,-3.14159,0
0.57108,6.87851,4.04405,2.53264,-3.14159,0
0.57728,6.86571,4.04466,2.50768,-3.14159,0
0.58354,6.85284,4.04527,2.48248,-3.14159,0
0.58987,6.83988,4.04589,2.45702,-3.14159,0
0.59626,6.82682,4.04650,2.43129,-3.14159,0
0.60272,6.81367,4.04712,2.40528,-3.14159,0
0.60925,6.80042,4.04774,2.37900,-3.14159,0
0.61585,6.78705,4.04836,2.35241,-3.14159,0
0.62252,6.77357,4.04899,2.32553,-3.14159,0
0.62928,6.75997,4.04961,2.29833,-3.14159,0
0.63611,6.74623,4.05023,2.27080,-3.14159,0
0.64303,6.73236,4.05086,2.24294,-3.14159,0
0.65003,6.71834,4.05148,2.21473,-3.14159,0
0.65712,6.70418,4.05211,2.18615,-3.14159,0
0.66430,6.68986,4.05273,2.15719,-3.14159,0
0.67158,6.67538,4.05335,2.12784,-3.14159,0
0.67896,6.66073,4.05398,2.09808,-3.14159,0
0.68645,6.64591,4.05459,2.06789,-3.14159,0
0.69404,6.63091,4.05521,2.03725,-3.14159,0
0.70175,6.61572,4.05583,2.00615,-3.14159,0
0.70958,6.60034,4.05644,1.97455,-3.14159,0
0.71753,6.58475,4.05705,1.94244,-3.14159,0
0.72561,6.56896,4.05766,1.90979,-3.14159,0
0.73384,6.55296,4.05826,1.87658,-3.14159,0
