time,x_pos,y_pos,velocity,rotation,action
0.00010,7.60137,7.69675,0.00000,-3.14159,0
0.00020,7.60137,7.69675,0.21737,-3.14159,0
0.07234,7.58802,7.69668,0.30741,-3.14028,0
0.12335,7.57470,7.69646,0.37650,-3.13778,0
0.16500,7.56142,7.69609,0.43474,-3.13477,0
0.20107,7.54816,7.69558,0.48606,-3.13146,0
0.23333,7.53494,7.69492,0.53245,-3.12794,0
0.26278,7.52176,7.69412,0.57511,-3.12428,0
0.29005,7.50860,7.69317,0.61482,-3.12050,0
0.31555,7.49548,7.69209,0.65211,-3.11662,0
0.33960,7.48239,7.69086,0.68739,-3.11267,0
0.36241,7.46933,7.68948,0.72094,-3.10865,0
0.38416,7.45631,7.68797,0.75300,-3.10458,0
0.40499,7.44331,7.68632,0.78374,-3.10045,0
0.42499,7.43035,7.68453,0.81333,-3.09629,0
0.44427,7.41742,7.68260,0.84187,-3.09208,0
0.46290,7.40452,7.68054,0.86948,-3.08784,0
0.48094,7.39165,7.67833,0.89624,-3.08357,0
0.49843,7.37881,7.67599,0.92223,-3.07927,0
0.51544,7.36600,7.67352,0.94750,-3.07495,0
0.53199,7.35323,7.67091,0.97211,-3.07060,0
0.54812,7.34049,7.66816,0.99612,-3.06623,0
0.56386,7.32777,7.66528,1.01956,-3.06184,0
0.57924,7.31509,7.66227,1.04248,-3.05743,0
0.59428,7.30244,7.65913,1.06490,-3.05300,0
0.60901,7.28981,7.65585,1.08686,-3.04855,0
0.62343,7.27722,7.65245,1.10838,-3.04409,0
0.63758,7.26466,7.64891,1.12949,-3.03961,0
0.65146,7.25213,7.64525,1.15022,-3.03512,0
0.66510,7.23963,7.64146,1.17058,-3.03062,0
0.67849,7.22716,7.63754,1.19059,-3.02610,0
0.69166,7.21471,7.63349,1.21027,-3.02157,0
0.70462,7.20230,7.62931,1.22964,-3.01704,0
0.71737,7.18992,7.62502,1.24870,-3.01249,0
0.72993,7.17756,7.62059,1.26748,-3.00793,0
0.74230,7.16524,7.61604,1.28599,-3.00336,0
0.75450,7.15294,7.61137,1.30423,-2.99878,0
0.76652,7.14068,7.60658,1.32222,-2.99419,0
0.77838,7.12844,7.60166,1.33997,-2.98959,0
0.79008,7.11623,7.59662,1.35748,-2.98498,0
0.80163,7.10405,7.59146,1.37478,-2.98037,0
0.81304,7.09190,7.58618,1.39185,-2.97575,0
0.82431,7.07977,7.58078,1.40873,-2.97112,0
0.83544,7.06768,7.57527,1.42540,-2.96649,0
0.84644,7.05561,7.56963,1.44188,-2.96184,0
0.85731,7.04358,7.56388,1.45817,-2.95719,0
0.86807,7.03156,7.55801,1.47428,-2.95254,0
0.87870,7.01958,7.55203,1.49022,-2.94788,0
0.88923,7.00763,7.54593,1.50599,-2.94321,0
0.89964,6.99570,7.53972,1.52160,-2.93853,0
0.90994,6.98380,7.53339,1.53705,-2.93386,0
0.92015,6.97193,7.52696,1.55234,-2.92917,0
0.93025,6.96008,7.52040,1.56749,-2.92448,0
0.94025,6.94826,7.51374,1.58249,-2.91978,0
0.95016,6.93647,7.50697,1.59735,-2.91508,0
0.95998,6.92471,7.50008,1.61207,-2.91038,0
0.96971,6.91297,7.49309,1.62666,-2.90567,0
0.97935,6.90126,7.48599,1.64112,-2.90095,0
0.98890,6.88957,7.47878,1.65545,-2.89624,0
0.99837,6.87792,7.47147,1.66966,-2.89151,0
1.00776,6.86628,7.46404,1.68375,-2.88679,0
1.01708,6.85468,7.45651,1.69772,-2.88205,0
1.02631,6.84310,7.44888,1.71158,-2.87732,0
1.03548,6.83155,7.44114,1.72533,-2.87258,0
1.04456,6.82002,7.43330,1.73897,-2.86783,0
1.05358,6.80852,7.42536,1.75250,-2.86309,0
1.06253,6.79704,7.41731,1.76593,-2.85834,0
