time,x_pos,y_pos,velocity,rotation,action
0.00010,7.56503,0.34807,0.00000,-3.14159,16
0.00020,7.56503,0.34807,0.35449,-3.14159,0
0.04433,7.55722,0.34818,0.50132,3.14021,0
0.07553,7.54932,0.34851,0.61399,3.13758,0
0.10101,7.54133,0.34907,0.70897,3.13442,0
0.12308,7.53324,0.34984,0.79266,3.13094,0
0.14281,7.52506,0.35083,0.86831,3.12724,0
0.16083,7.51680,0.35204,0.93788,3.12339,0
0.17751,7.50844,0.35346,1.00264,3.11942,0
0.19311,7.49999,0.35509,1.06346,3.11535,0
0.20782,7.49146,0.35693,1.12099,3.11120,0
0.22177,7.48284,0.35898,1.17570,3.10698,0
0.23508,7.47413,0.36124,1.22798,3.10269,0
0.24782,7.46534,0.36371,1.27812,3.09836,0
0.26006,7.45646,0.36638,1.32637,3.09399,0
0.27185,7.44750,0.36925,1.37292,3.08957,0
0.28325,7.43846,0.37232,1.41795,3.08511,0
0.29428,7.42934,0.37559,1.46159,3.08063,0
0.30498,7.42014,0.37906,1.50396,3.07611,0
0.31538,7.41085,0.38273,1.54517,3.07157,0
0.32551,7.40149,0.38659,1.58531,3.06700,0
0.33538,7.39205,0.39064,1.62446,3.06240,0
0.34501,7.38254,0.39488,1.66269,3.05779,0
0.35441,7.37295,0.39931,1.70006,3.05315,0
0.36362,7.36328,0.40393,1.73662,3.04850,0
0.37262,7.35354,0.40874,1.77243,3.04383,0
0.38145,7.34373,0.41373,1.80754,3.03914,0
0.39010,7.33385,0.41890,1.84197,3.03444,0
0.39860,7.32389,0.42426,1.87577,3.02972,0
0.40694,7.31387,0.42979,1.90897,3.02499,0
0.41513,7.30377,0.43551,1.94160,3.02025,0
0.42319,7.29361,0.44139,1.97370,3.01549,0
0.43111,7.28338,0.44746,2.00528,3.01072,0
0.43892,7.27308,0.45369,2.03637,3.00594,0
0.44660,7.26272,0.46010,2.06700,3.00115,0
0.45417,7.25229,0.46668,2.09717,2.99635,0
0.46162,7.24180,0.47343,2.12692,2.99154,0
0.46898,7.23125,0.48034,2.15626,2.98672,0
0.47623,7.22063,0.48741,2.18520,2.98189,0
0.48339,7.20996,0.49465,2.21377,2.97705,0
0.49046,7.19922,0.50206,2.24197,2.97220,0
0.49744,7.18843,0.50962,2.26982,2.96735,0
0.50433,7.17757,0.51734,2.29734,2.96248,0
