time,x_pos,y_pos,velocity,rotation,action
0.00010,7.60354,4.06458,0.00000,-3.14159,16
0.00020,7.60354,4.06458,0.35467,-3.14159,0
0.04458,7.59176,4.06498,0.50158,-3.14159,0
0.07596,7.57981,4.06534,0.61431,-3.14159,0
0.10159,7.56769,4.06567,0.70934,-3.14159,0
0.12378,7.55541,4.06597,0.79307,-3.14159,0
0.14363,7.54297,4.06624,0.86876,-3.14159,0
0.16174,7.53037,4.06647,0.93837,-3.14159,0
0.17852,7.51761,4.06667,1.00316,-3.14159,0
0.19421,7.50470,4.06683,1.06401,-3.14159,0
0.20900,7.49165,4.06697,1.12157,-3.14159,0
0.22304,7.47844,4.06708,1.17631,-3.14159,0
0.23642,7.46509,4.06715,1.22862,-3.14159,0
0.24923,7.45159,4.06720,1.27878,-3.14159,0
0.26154,7.43796,4.06722,1.32706,-3.14159,0
0.27340,7.42419,4.06721,1.37363,-3.14159,0
0.28486,7.41028,4.06718,1.41868,-3.14159,0
0.29596,7.39624,4.06711,1.46235,-3.14159,0
0.30672,7.38207,4.06703,1.50474,-3.14159,0
0.31718,7.36778,4.06691,1.54597,-3.14159,0
0.32736,7.35336,4.06677,1.58614,-3.14159,0
0.33729,7.33882,4.06661,1.62531,-3.14159,0
0.34697,7.32416,4.06642,1.66355,-3.14159,0
0.35643,7.30939,4.06621,1.70094,-3.14159,0
0.36569,7.29450,4.06598,1.73752,-3.14159,0
0.37475,7.27950,4.06573,1.77335,-3.14159,0
0.38362,7.26439,4.06545,1.80847,-3.14159,0
0.39233,7.24918,4.06516,1.84292,-3.14159,0
0.40087,7.23386,4.06484,1.87674,-3.14159,0
0.40926,7.21844,4.06451,1.90996,-3.14159,0
0.41750,7.20292,4.06416,1.94261,-3.14159,0
0.42560,7.18731,4.06379,1.97472,-3.14159,0
0.43357,7.17161,4.06340,2.00632,-3.14159,0
0.44142,7.15582,4.06299,2.03743,-3.14159,0
0.44914,7.13994,4.06257,2.06807,-3.14159,0
0.45675,7.12397,4.06213,2.09826,-3.14159,0
0.46426,7.10792,4.06168,2.12802,-3.14159,0
0.47165,7.09180,4.06122,2.15738,-3.14159,0
0.47895,7.07559,4.06074,2.18634,-3.14159,0
0.48615,7.05931,4.06024,2.21492,-3.14159,0
0.49325,7.04296,4.05974,2.24313,-3.14159,0
0.50027,7.02654,4.05922,2.27100,-3.14159,0
0.50720,7.01006,4.05869,2.29853,-3.14159,0
0.51405,6.99351,4.05815,2.32573,-3.14159,0
0.52082,6.97690,4.05760,2.35262,-3.14159,0
0.52751,6.96023,4.05704,2.37920,-3.14159,0
0.53413,6.94350,4.05647,2.40549,-3.14159,0
0.54067,6.92672,4.05590,2.43150,-3.14159,0
0.54714,6.90989,4.05531,2.45723,-3.14159,0
0.55355,6.89302,4.05472,2.48270,-3.14159,0
0.55989,6.87610,4.05412,2.50790,-3.14159,0
0.56617,6.85913,4.05352,2.53286,-3.14159,0
0.57238,6.84212,4.05291,2.55757,-3.14159,0
0.57853,6.82508,4.05230,2.58204,-3.14159,0
0.58463,6.80800,4.05168,2.60629,-3.14159,0
0.59067,6.79089,4.05106,2.63031,-3.14159,0
0.59666,6.77375,4.05044,2.65411,-3.14159,0
0.60259,6.75659,4.04981,2.67771,-3.14159,0
0.60846,6.73940,4.04919,2.70109,-3.14159,0
0.61429,6.72218,4.04856,2.67771,-3.14159,0
0.62017,6.70495,4.04793,2.65411,-3.14159,0
0.62610,6.68770,4.04730,2.63031,-3.14159,0
0.63209,6.67044,4.04667,2.60629,-3.14159,0
0.63812,6.65316,4.04605,2.58204,-3.14159,0
0.64422,6.63588,4.04543,2.55757,-3.14159,0
0.65038,6.61859,4.04481,2.53286,-3.14159,0
0.65659,6.60130,4.04419,2.50790,-3.14159,0
0.66287,6.58401,4.04357,2.48270,-3.14159,0
0.66921,6.56672,4.04297,2.45723,-3.14159,0
0.67561,6.54943,4.04236,2.43150,-3.14159,0
0.68209,6.53215,4.04177,2.40549,-3.14159,0
0.68863,6.51488,4.04117,2.37920,-3.14159,0
0.69525,6.49762,4.04059,2.35262,-3.14159,0
0.70194,6.48038,4.04001,2.32573,-3.14159,0
0.70870,6.46316,4.03945,2.29853,-3.14159,0
0.71555,6.44595,4.03889,2.27100,-3.14159,0
0.72248,6.42877,4.03834,2.24313,-3.14159,0
0.72950,6.41161,4.03780,2.21492,-3.14159,0
0.73661,6.39448,4.03727,2.18634,-3.14159,0
0.74381,6.37739,4.03675,2.15738,-3.14159,0
0.75110,6.36032,4.03624,2.12802,-3.14159,0
0.75850,6.34329,4.03575,2.09826,-3.14159,0
0.76600,6.32630,4.03527,2.06807,-3.14159,0
0.77361,6.30936,4.03480,2.03743,-3.14159,0
0.78134,6.29245,4.03435,2.00632,-3.14159,0
0.78919,6.27559,4.03392,1.97472,-3.14159,0
0.79716,6.25878,4.03349,1.94261,-3.14159,0
0.80526,6.24203,4.03309,1.90996,-3.14159,0
0.81350,6.22532,4.03270,1.87674,-3.14159,0
0.82189,6.20868,4.03233,1.84292,-3.14159,0
0.83043,6.19209,4.03198,1.80847,-3.14159,0
0.83913,6.17556,4.03164,1.77335,-3.14159,0
0.84801,6.15910,4.03133,1.73752,-3.14159,0
0.85707,6.14271,4.03103,1.70094,-3.14159,0
0.86632,6.12639,4.03076,1.66355,-3.14159,0
0.87578,6.11014,4.03050,1.62531,-3.14159,0
0.88547,6.09397,4.03027,1.58614,-3.14159,0
0.89539,6.07787,4.03006,1.54597,-3.14159,0
0.90558,6.06185,4.02988,1.50474,-3.14159,0
0.91604,6.04592,4.02971,1.46235,-3.14159,0
0.92680,6.03007,4.02958,1.41868,-3.14159,0
0.93790,6.01432,4.02946,1.37363,-3.14159,0
0.94935,5.99865,4.02937,1.32706,-3.14159,0
0.96122,5.98308,4.02931,1.27878,-3.14159,0
0.97352,5.96760,4.02927,1.22862,-3.14159,0
0.98634,5.95222,4.02927,1.17631,-3.14159,0
0.99972,5.93694,4.02929,1.12157,-3.14159,0
1.01375,5.92177,4.02933,1.06401,-3.14159,0
1.02855,5.90670,4.02941,1.00316,-3.14159,0
1.04424,5.89175,4.02952,0.93837,-3.14159,0
1.06101,5.87690,4.02965,0.86876,-3.14159,0
1.07913,5.86217,4.02982,0.79307,-3.14159,0
1.09898,5.84756,4.03002,0.70934,-3.14159,0
1.12117,5.83307,4.03025,0.61431,-3.14159,0
1.14679,5.81870,4.03051,0.50158,-3.14159,0
1.17817,5.80446,4.03081,0.35467,-3.14159,0
1.26694,5.76250,4.03191,0.00000,-3.14159,36929
1.26704,5.76250,4.03191,0.35467,-3.14159,0
1.31114,5.77176,4.01565,0.50158,-3.14103,0
1.34233,5.78087,3.99943,0.61431,-3.13995,0
1.36780,5.78983,3.98327,0.70934,-3.13866,0
1.38985,5.79865,3.96717,0.79307,-3.13724,0
1.40957,5.80731,3.95112,0.86876,-3.13573,0
1.42758,5.81584,3.93512,0.93837,-3.13415,0
1.44425,5.82422,3.91917,1.00316,-3.13253,0
1.45985,5.83245,3.90328,1.06401,-3.13086,0
1.47455,5.84054,3.88744,1.12157,-3.12916,0
1.48849,5.84848,3.87165,1.17631,-3.12744,0
1.50179,5.85628,3.85592,1.22862,-3.12569,0
1.51453,5.86394,3.84024,1.27878,-3.12392,0
1.52676,5.87145,3.82461,1.32706,-3.12213,0
1.53855,5.87882,3.80903,1.37363,-3.12032,0
1.54993,5.88605,3.79351,1.41868,-3.11850,0
1.56096,5.89313,3.77804,1.46235,-3.11667,0
1.57166,5.90007,3.76262,1.50474,-3.11482,0
1.58205,5.90688,3.74725,1.54597,-3.11296,0
1.59217,5.91354,3.73194,1.58614,-3.11109,0
1.60204,5.92006,3.71667,1.62531,-3.10921,0
1.61166,5.92644,3.70146,1.66355,-3.10733,0
1.62106,5.93268,3.68631,1.70094,-3.10543,0
1.63026,5.93878,3.67120,1.73752,-3.10353,0
1.63926,5.94474,3.65615,1.77335,-3.10162,0
1.64809,5.95057,3.64114,1.80847,-3.09970,0
1.65674,5.95625,3.62619,1.84292,-3.09778,0
1.66522,5.96180,3.61129,1.87674,-3.09585,0
1.67356,5.96721,3.59645,1.90996,-3.09392,0
1.68175,5.97249,3.58165,1.94261,-3.09198,0
1.68980,5.97762,3.56691,1.97472,-3.09003,0
1.69772,5.98263,3.55221,2.00632,-3.08808,0
1.70552,5.98749,3.53757,2.03743,-3.08613,0
1.71320,5.99222,3.52298,2.06807,-3.08417,0
1.72076,5.99682,3.50844,2.09826,-3.08221,0
1.72822,6.00128,3.49396,2.12802,-3.08024,0
1.73557,6.00560,3.47952,2.15738,-3.07827,0
1.74282,6.00979,3.46514,2.18634,-3.07629,0
1.74998,6.01385,3.45080,2.21492,-3.07431,0
1.75704,6.01778,3.43652,2.24313,-3.07233,0
1.76401,6.02157,3.42229,2.27100,-3.07035,0
1.77090,6.02523,3.40810,2.29853,-3.06836,0
1.77771,6.02876,3.39397,2.32573,-3.06637,0
1.78443,6.03216,3.37989,2.35262,-3.06437,0
1.79108,6.03542,3.36586,2.37920,-3.06238,0
1.79766,6.03856,3.35188,2.40549,-3.06038,0
1.80416,6.04156,3.33795,2.43150,-3.05837,0
1.81059,6.04444,3.32407,2.45723,-3.05637,0
1.81696,6.04718,3.31025,2.48270,-3.05436,0
1.82326,6.04980,3.29647,2.50790,-3.05235,0
1.82950,6.05229,3.28274,2.53286,-3.05034,0
1.83567,6.05464,3.26906,2.55757,-3.04832,0
1.84179,6.05688,3.25544,2.58204,-3.04631,0
1.84785,6.05898,3.24186,2.60629,-3.04429,0
