time,x_pos,y_pos,velocity,rotation,action
0.00010,7.57500,4.02500,0.00000,-3.14159,0
0.00020,7.57500,4.02500,0.33407,-3.14159,0
0.04710,7.55836,4.02496,0.47244,-3.14159,0
0.08027,7.54179,4.02485,0.57862,-3.14159,0
0.10734,7.52528,4.02466,0.66813,-3.14159,0
0.13079,7.50883,4.02440,0.74700,-3.14159,0
0.15177,7.49244,4.02406,0.81829,-3.14159,0
0.17092,7.47610,4.02366,0.88386,-3.14159,0
0.18864,7.45982,4.02319,0.94488,-3.14159,0
0.20523,7.44360,4.02265,1.00220,-3.14159,0
0.22086,7.42743,4.02205,1.05641,-3.14159,0
0.23569,7.41131,4.02137,1.10798,-3.14159,0
0.24983,7.39524,4.02064,1.15724,-3.14159,0
0.26337,7.37923,4.01985,1.20450,-3.14159,0
0.27638,7.36326,4.01899,1.24997,-3.14159,0
0.28892,7.34734,4.01808,1.29384,-3.14159,0
0.30103,7.33147,4.01711,1.33627,-3.14159,0
0.31275,7.31564,4.01608,1.37739,-3.14159,0
0.32413,7.29986,4.01500,1.41733,-3.14159,0
0.33518,7.28412,4.01386,1.45617,-3.14159,0
0.34594,7.26842,4.01268,1.49399,-3.14159,0
0.35643,7.25276,4.01144,1.53089,-3.14159,0
0.36666,7.23714,4.01015,1.56691,-3.14159,0
0.37666,7.22156,4.00882,1.60213,-3.14159,0
0.38644,7.20602,4.00744,1.63659,-3.14159,0
0.39602,7.19051,4.00601,1.67034,-3.14159,0
0.40540,7.17504,4.00454,1.70342,-3.14159,0
0.41459,7.15960,4.00303,1.73586,-3.14159,0
0.42362,7.14419,4.00148,1.76772,-3.14159,0
0.43248,7.12881,3.99989,1.79901,-3.14159,0
0.44119,7.11346,3.99826,1.82976,-3.14159,0
0.44976,7.09814,3.99660,1.86001,-3.14159,0
0.45818,7.08285,3.99490,1.88977,-3.14159,0
0.46647,7.06759,3.99316,1.91907,-3.14159,0
0.47464,7.05234,3.99140,1.94793,-3.14159,0
0.48268,7.03713,3.98960,1.97637,-3.14159,0
0.49061,7.02193,3.98778,2.00440,-3.14159,0
0.49842,7.00676,3.98592,2.03205,-3.14159,0
0.50613,6.99160,3.98404,2.05933,-3.14159,0
0.51374,6.97647,3.98214,2.08625,-3.14159,0
0.52125,6.96135,3.98021,2.11283,-3.14159,0
0.52867,6.94625,3.97826,2.13907,-3.14159,0
0.53599,6.93116,3.97629,2.16500,-3.14159,0
0.54323,6.91609,3.97430,2.19062,-3.14159,0
0.55038,6.90103,3.97229,2.21595,-3.14159,0
0.55745,6.88598,3.97026,2.24099,-3.14159,0
0.56444,6.87095,3.96822,2.26575,-3.14159,0
0.57136,6.85592,3.96616,2.29025,-3.14159,0
0.57820,6.84090,3.96410,2.31449,-3.14159,0
0.58497,6.82588,3.96202,2.33847,-3.14159,0
