time,x_pos,y_pos,velocity,rotation,action
0.00010,7.57500,4.02500,0.00000,-3.14159,16
0.00020,7.57500,4.02500,0.35469,-3.14159,0
0.04433,7.55901,4.02501,0.50161,-3.14159,0
0.07554,7.54317,4.02505,0.61435,-3.14159,0
0.10102,7.52748,4.02511,0.70939,-3.14159,0
0.12308,7.51195,4.02519,0.79312,-3.14159,0
0.14282,7.49655,4.02530,0.86882,-3.14159,0
0.16084,7.48129,4.02543,0.93843,-3.14159,0
0.17752,7.46617,4.02558,1.00323,-3.14159,0
0.19312,7.45118,4.02575,1.06408,-3.14159,0
0.20783,7.43632,4.02595,1.12164,-3.14159,0
0.22179,7.42158,4.02616,1.17639,-3.14159,0
0.23510,7.40695,4.02640,1.22870,-3.14159,0
0.24784,7.39245,4.02666,1.27887,-3.14159,0
0.26008,7.37805,4.02694,1.32714,-3.14159,0
0.27187,7.36376,4.02723,1.37373,-3.14159,0
0.28327,7.34957,4.02755,1.41878,-3.14159,0
0.29430,7.33548,4.02788,1.46244,-3.14159,0
0.30500,7.32149,4.02823,1.50484,-3.14159,0
0.31540,7.30758,4.02860,1.54608,-3.14159,0
0.32553,7.29376,4.02899,1.58624,-3.14159,0
0.33540,7.28002,4.02940,1.62541,-3.14159,0
0.34503,7.26637,4.02982,1.66366,-3.14159,0
0.35444,7.25278,4.03026,1.70105,-3.14159,0
0.36364,7.23927,4.03071,1.73764,-3.14159,0
0.37265,7.22582,4.03118,1.77347,-3.14159,0
0.38147,7.21243,4.03167,1.80859,-3.14159,0
0.39013,7.19910,4.03217,1.84305,-3.14159,0
0.39862,7.18583,4.03268,1.87687,-3.14159,0
0.40696,7.17260,4.03321,1.91009,-3.14159,0
0.41516,7.15942,4.03376,1.94274,-3.14159,0
0.42322,7.14628,4.03431,1.97485,-3.14159,0
0.43114,7.13318,4.03488,2.00645,-3.14159,0
0.43894,7.12012,4.03546,2.03756,-3.14159,0
0.44663,7.10708,4.03605,2.06821,-3.14159,0
0.45419,7.09406,4.03666,2.09840,-3.14159,0
0.46165,7.08107,4.03728,2.12817,-3.14159,0
0.46901,7.06810,4.03790,2.15752,-3.14159,0
0.47626,7.05514,4.03854,2.18648,-3.14159,0
0.48342,7.04218,4.03919,2.21506,-3.14159,0
0.49049,7.02924,4.03985,2.24328,-3.14159,0
0.49747,7.01629,4.04051,2.27115,-3.14159,0
0.50436,7.00334,4.04119,2.29868,-3.14159,0
0.51117,6.99038,4.04188,2.32589,-3.14159,0
0.51790,6.97741,4.04257,2.35278,-3.14159,0
0.52455,6.96443,4.04327,2.37936,-3.14159,0
0.53113,6.95143,4.04398,2.40565,-3.14159,0
0.53764,6.93840,4.04469,2.43166,-3.14159,0
0.54408,6.92535,4.04542,2.45739,-3.14159,0
0.55045,6.91226,4.04614,2.48286,-3.14159,0
0.55675,6.89914,4.04688,2.50807,-3.14159,0
0.56299,6.88598,4.04762,2.53302,-3.14159,0
0.56917,6.87277,4.04836,2.55774,-3.14159,0
