time,x_pos,y_pos,velocity,rotation,action
0.00010,7.57500,4.02500,0.00000,-3.14159,16
0.00020,7.57500,4.02500,0.35459,-3.14159,0
0.04443,7.56004,4.02501,0.50146,-3.14159,0
0.07571,7.54517,4.02503,0.61417,-3.14159,0
0.10125,7.53037,4.02506,0.70918,-3.14159,0
0.12337,7.51565,4.02511,0.79288,-3.14159,0
0.14315,7.50101,4.02517,0.86856,-3.14159,0
0.16121,7.48644,4.02524,0.93815,-3.14159,0
0.17792,7.47194,4.02533,1.00293,-3.14159,0
0.19356,7.45751,4.02542,1.06377,-3.14159,0
0.20831,7.44314,4.02553,1.12131,-3.14159,0
0.22230,7.42884,4.02566,1.17604,-3.14159,0
0.23563,7.41459,4.02579,1.22833,-3.14159,0
0.24840,7.40041,4.02593,1.27849,-3.14159,0
0.26067,7.38628,4.02609,1.32675,-3.14159,0
0.27249,7.37221,4.02626,1.37332,-3.14159,0
0.28391,7.35818,4.02644,1.41836,-3.14159,0
0.29497,7.34421,4.02663,1.46201,-3.14159,0
0.30570,7.33028,4.02683,1.50439,-3.14159,0
0.31613,7.31640,4.02704,1.54562,-3.14159,0
0.32627,7.30255,4.02726,1.58577,-3.14159,0
0.33616,7.28875,4.02749,1.62493,-3.14159,0
0.34582,7.27498,4.02774,1.66317,-3.14159,0
0.35525,7.26125,4.02799,1.70055,-3.14159,0
0.36447,7.24755,4.02825,1.73712,-3.14159,0
0.37350,7.23388,4.02852,1.77294,-3.14159,0
0.38235,7.22023,4.02880,1.80806,-3.14159,0
0.39102,7.20661,4.02909,1.84250,-3.14159,0
0.39953,7.19302,4.02939,1.87631,-3.14159,0
0.40789,7.17944,4.02969,1.90952,-3.14159,0
0.41611,7.16588,4.03001,1.94216,-3.14159,0
0.42418,7.15233,4.03033,1.97427,-3.14159,0
0.43213,7.13880,4.03066,2.00586,-3.14159,0
0.43995,7.12528,4.03100,2.03696,-3.14159,0
0.44765,7.11177,4.03135,2.06759,-3.14159,0
0.45523,7.09826,4.03170,2.09778,-3.14159,0
0.46271,7.08475,4.03206,2.12753,-3.14159,0
0.47008,7.07125,4.03243,2.15688,-3.14159,0
0.47735,7.05774,4.03280,2.18583,-3.14159,0
0.48453,7.04423,4.03319,2.21441,-3.14159,0
0.49161,7.03071,4.03358,2.24262,-3.14159,0
0.49861,7.01719,4.03397,2.27048,-3.14159,0
0.50552,7.00365,4.03437,2.29800,-3.14159,0
0.51234,6.99010,4.03478,2.32519,-3.14159,0
0.51909,6.97653,4.03519,2.35208,-3.14159,0
0.52575,6.96294,4.03561,2.37865,-3.14159,0
0.53235,6.94934,4.03604,2.40494,-3.14159,0
0.53887,6.93571,4.03647,2.43094,-3.14159,0
0.54532,6.92205,4.03690,2.45666,-3.14159,0
0.55171,6.90837,4.03734,2.48212,-3.14159,0
0.55803,6.89465,4.03778,2.50732,-3.14159,0
0.56428,6.88091,4.03823,2.53227,-3.14159,0
0.57048,6.86712,4.03868,2.55698,-3.14159,0
0.57661,6.85330,4.03914,2.58145,-3.14159,0
0.58269,6.83944,4.03960,2.60568,-3.14159,0
