time,x_pos,y_pos,velocity,rotation,action
0.00010,7.58401,7.57893,0.00000,-3.14159,16
0.00020,7.58401,7.57893,0.35462,-3.14159,0
0.04433,7.57364,7.56756,0.50150,-3.14010,0
0.07554,7.56328,7.55621,0.61421,-3.13725,0
0.10102,7.55291,7.54488,0.70923,-3.13383,0
0.12309,7.54254,7.53357,0.79295,-3.13006,0
0.14283,7.53217,7.52228,0.86863,-3.12606,0
0.16085,7.52179,7.51100,0.93823,-3.12190,0
0.17753,7.51142,7.49975,1.00301,-3.11760,0
0.19313,7.50104,7.48851,1.06385,-3.11319,0
0.20784,7.49065,7.47729,1.12140,-3.10869,0
0.22180,7.48027,7.46609,1.17613,-3.10413,0
0.23511,7.46988,7.45491,1.22843,-3.09949,0
0.24785,7.45949,7.44374,1.27859,-3.09480,0
0.26009,7.44910,7.43259,1.32685,-3.09007,0
0.27188,7.43871,7.42146,1.37343,-3.08528,0
0.28328,7.42831,7.41035,1.41847,-3.08046,0
0.29431,7.41791,7.39925,1.46212,-3.07561,0
0.30502,7.40751,7.38817,1.50451,-3.07072,0
0.31542,7.39710,7.37710,1.54574,-3.06580,0
0.32555,7.38669,7.36605,1.58589,-3.06085,0
0.33541,7.37628,7.35502,1.62506,-3.05588,0
0.34505,7.36586,7.34400,1.66330,-3.05089,0
0.35446,7.35544,7.33300,1.70068,-3.04587,0
0.36366,7.34502,7.32201,1.73726,-3.04084,0
0.37267,7.33459,7.31104,1.77308,-3.03578,0
0.38149,7.32416,7.30008,1.80820,-3.03071,0
0.39015,7.31372,7.28914,1.84264,-3.02562,0
0.39864,7.30328,7.27821,1.87646,-3.02051,0
0.40698,7.29284,7.26729,1.90967,-3.01539,0
0.41518,7.28239,7.25639,1.94232,-3.01026,0
0.42324,7.27194,7.24550,1.97442,-3.00511,0
0.43116,7.26149,7.23463,2.00602,-2.99995,0
0.43897,7.25102,7.22377,2.03712,-2.99477,0
0.44665,7.24056,7.21292,2.06775,-2.98959,0
0.45422,7.23009,7.20209,2.09794,-2.98439,0
0.46168,7.21962,7.19126,2.12770,-2.97918,0
0.46903,7.20914,7.18045,2.15705,-2.97397,0
0.47629,7.19866,7.16966,2.18601,-2.96874,0
0.48345,7.18817,7.15887,2.21458,-2.96350,0
0.49052,7.17767,7.14809,2.24279,-2.95826,0
0.49749,7.16718,7.13733,2.27066,-2.95300,0
0.50439,7.15667,7.12658,2.29818,-2.94774,0
0.51120,7.14616,7.11584,2.32538,-2.94247,0
0.51793,7.13565,7.10511,2.35226,-2.93719,0
0.52458,7.12513,7.09439,2.37884,-2.93190,0
0.53116,7.11460,7.08368,2.40513,-2.92661,0
0.53767,7.10407,7.07298,2.43113,-2.92131,0
0.54411,7.09354,7.06230,2.45686,-2.91600,0
0.55048,7.08300,7.05162,2.48232,-2.91068,0
0.55678,7.07245,7.04095,2.50752,-2.90536,0
0.56302,7.06189,7.03029,2.53247,-2.90004,0
0.56920,7.05133,7.01964,2.55718,-2.89470,0
0.57532,7.04077,7.00900,2.58165,-2.88936,0
0.58139,7.03019,6.99836,2.60589,-2.88402,0
0.58739,7.01962,6.98774,2.62991,-2.87867,0
0.59334,7.00903,6.97712,2.65371,-2.87331,0
0.59924,6.99844,6.96652,2.67730,-2.86795,0
0.60509,6.98784,6.95592,2.70068,-2.86259,0
0.61088,6.97724,6.94532,2.72386,-2.85722,0
0.61663,6.96662,6.93474,2.74685,-2.85184,0
0.62233,6.95601,6.92416,2.76965,-2.84646,0
0.62798,6.94538,6.91359,2.79226,-2.84108,0
0.63358,6.93475,6.90303,2.81468,-2.83569,0
0.63914,6.92411,6.89247,2.83694,-2.83029,0
0.64466,6.91346,6.88192,2.85901,-2.82489,0
0.65013,6.90281,6.87137,2.88092,-2.81949,0
0.65557,6.89215,6.86083,2.90266,-2.81409,0
0.66096,6.88148,6.85030,2.92425,-2.80868,0
0.66631,6.87080,6.83977,2.94567,-2.80326,0
0.67162,6.86012,6.82925,2.96694,-2.79784,0
0.67690,6.84943,6.81873,2.98806,-2.79242,0
0.68214,6.83873,6.80822,3.00902,-2.78700,0
0.68734,6.82802,6.79771,3.02985,-2.78157,0
0.69250,6.81731,6.78721,3.05053,-2.77613,0
0.69763,6.80659,6.77671,3.07107,-2.77070,0
0.70273,6.79586,6.76621,3.09148,-2.76526,0
0.70779,6.78512,6.75572,3.11175,-2.75982,0
