time,x_pos,y_pos,velocity,rotation,action
0.00010,7.58401,7.57893,0.00000,-3.14159,0
0.00020,7.58401,7.57893,0.35484,-3.14159,0
0.04436,7.57850,7.57275,0.50182,-3.14009,0
0.07558,7.57287,7.56646,0.61460,-3.13721,0
0.10108,7.56712,7.56007,0.70968,-3.13375,0
0.12316,7.56126,7.55359,0.79345,-3.12994,0
0.14291,7.55529,7.54700,0.86918,-3.12590,0
0.16093,7.54920,7.54032,0.93882,-3.12169,0
0.17763,7.54300,7.53354,1.00364,-3.11735,0
0.19324,7.53669,7.52666,1.06452,-3.11289,0
0.20796,7.53027,7.51969,1.12210,-3.10835,0
0.22192,7.52374,7.51262,1.17687,-3.10374,0
0.23524,7.51710,7.50546,1.22920,-3.09906,0
0.24798,7.51035,7.49821,1.27940,-3.09432,0
0.26023,7.50350,7.49086,1.32769,-3.08953,0
0.27203,7.49654,7.48343,1.37429,-3.08470,0
0.28343,7.48947,7.47590,1.41936,-3.07983,0
0.29447,7.48230,7.46828,1.46305,-3.07492,0
0.30518,7.47503,7.46058,1.50546,-3.06998,0
0.31559,7.46766,7.45278,1.54671,-3.06501,0
0.32572,7.46018,7.44490,1.58690,-3.06002,0
0.33560,7.45260,7.43693,1.62608,-3.05499,0
0.34523,7.44493,7.42888,1.66435,-3.04995,0
0.35465,7.43715,7.42074,1.70176,-3.04488,0
0.36386,7.42928,7.41251,1.73836,-3.03979,0
0.37287,7.42131,7.40421,1.77420,-3.03468,0
0.38170,7.41325,7.39582,1.80934,-3.02956,0
0.39036,7.40509,7.38735,1.84381,-3.02442,0
0.39886,7.39683,7.37879,1.87764,-3.01926,0
0.40721,7.38848,7.37016,1.91087,-3.01408,0
0.41541,7.38004,7.36145,1.94354,-3.00889,0
0.42347,7.37151,7.35266,1.97567,-3.00369,0
0.43140,7.36288,7.34379,2.00728,-2.99848,0
0.43921,7.35417,7.33485,2.03840,-2.99325,0
0.44689,7.34537,7.32582,2.06906,-2.98801,0
0.45447,7.33648,7.31673,2.09927,-2.98276,0
0.46193,7.32750,7.30755,2.12904,-2.97750,0
0.46929,7.31843,7.29831,2.15841,-2.97223,0
0.47655,7.30928,7.28899,2.18738,-2.96694,0
0.48371,7.30005,7.27960,2.21598,-2.96165,0
0.49078,7.29073,7.27014,2.24421,-2.95635,0
0.49777,7.28133,7.26061,2.27209,-2.95104,0
0.50466,7.27185,7.25100,2.29963,-2.94573,0
0.51148,7.26229,7.24133,2.32685,-2.94040,0
0.51821,7.25264,7.23159,2.35375,-2.93507,0
0.52487,7.24292,7.22178,2.38034,-2.92972,0
0.53145,7.23312,7.21191,2.40665,-2.92438,0
0.53796,7.22324,7.20197,2.43266,-2.91902,0
0.54440,7.21328,7.19197,2.45841,-2.91366,0
0.55078,7.20325,7.18190,2.48388,-2.90829,0
0.55709,7.19315,7.17176,2.50910,-2.90291,0
0.56333,7.18297,7.16157,2.53407,-2.89753,0
