time,x_pos,y_pos,velocity,rotation,action
0.00010,7.56503,0.34807,0.00000,-3.14159,16
0.00020,7.56503,0.34807,0.35464,-3.14159,0
0.04441,7.55732,0.34821,0.50153,3.14023,0
0.07567,7.54957,0.34864,0.61425,3.13762,0
0.10119,7.54178,0.34934,0.70928,3.13449,0
0.12329,7.53396,0.35033,0.79299,3.13104,0
0.14306,7.52610,0.35159,0.86868,3.12738,0
0.16111,7.51820,0.35312,0.93828,3.12357,0
0.17782,7.51027,0.35492,1.00307,3.11963,0
0.19345,7.50230,0.35700,1.06391,3.11560,0
0.20818,7.49429,0.35933,1.12146,3.11148,0
0.22216,7.48625,0.36194,1.17620,3.10730,0
0.23549,7.47817,0.36480,1.22850,3.10306,0
0.24825,7.47006,0.36792,1.27866,3.09877,0
0.26051,7.46191,0.37130,1.32693,3.09444,0
0.27233,7.45372,0.37493,1.37351,3.09006,0
0.28374,7.44550,0.37881,1.41855,3.08565,0
0.29479,7.43725,0.38294,1.46221,3.08120,0
0.30551,7.42896,0.38732,1.50460,3.07673,0
0.31593,7.42063,0.39194,1.54583,3.07223,0
0.32608,7.41228,0.39681,1.58599,3.06770,0
0.33596,7.40388,0.40191,1.62515,3.06315,0
0.34561,7.39546,0.40725,1.66340,3.05858,0
0.35503,7.38700,0.41282,1.70078,3.05399,0
0.36425,7.37850,0.41863,1.73736,3.04938,0
0.37327,7.36998,0.42467,1.77319,3.04475,0
0.38212,7.36141,0.43093,1.80830,3.04011,0
0.39079,7.35282,0.43741,1.84275,3.03545,0
0.39929,7.34419,0.44412,1.87657,3.03078,0
0.40765,7.33554,0.45105,1.90978,3.02609,0
0.41586,7.32684,0.45820,1.94243,3.02139,0
0.42393,7.31812,0.46556,1.97454,3.01668,0
0.43187,7.30936,0.47313,2.00613,3.01196,0
0.43968,7.30058,0.48092,2.03724,3.00722,0
0.44738,7.29176,0.48891,2.06787,3.00248,0
0.45496,7.28291,0.49710,2.09806,2.99772,0
0.46243,7.27402,0.50550,2.12783,2.99295,0
0.46980,7.26511,0.51410,2.15718,2.98818,0
0.47707,7.25617,0.52290,2.18613,2.98339,0
0.48424,7.24719,0.53189,2.21471,2.97860,0
0.49132,7.23819,0.54107,2.24293,2.97380,0
0.49831,7.22915,0.55045,2.27079,2.96899,0
0.50521,7.22008,0.56001,2.29831,2.96417,0
0.51203,7.21099,0.56976,2.32551,2.95935,0
0.51877,7.20186,0.57969,2.35240,2.95452,0
0.52544,7.19271,0.58981,2.37898,2.94968,0
0.53203,7.18352,0.60010,2.40527,2.94484,0
0.53854,7.17431,0.61057,2.43127,2.93998,0
0.54499,7.16506,0.62121,2.45700,2.93513,0
0.55137,7.15579,0.63202,2.48246,2.93026,0
0.55769,7.14649,0.64300,2.50767,2.92539,0
0.56394,7.13716,0.65415,2.53262,2.92052,0
0.57013,7.12780,0.66546,2.55733,2.91564,0
0.57626,7.11842,0.67693,2.58180,2.91075,0
0.58233,7.10900,0.68856,2.60604,2.90586,0
0.58835,7.09956,0.70035,2.63006,2.90096,0
0.59431,7.09009,0.71229,2.65387,2.89606,0
0.60022,7.08060,0.72438,2.67746,2.89116,0
0.60607,7.07107,0.73662,2.70084,2.88624,0
0.61188,7.06152,0.74901,2.72402,2.88133,0
0.61763,7.05195,0.76154,2.74701,2.87641,0
0.62334,7.04234,0.77421,2.76981,2.87148,0
0.62900,7.03271,0.78703,2.79242,2.86656,0
0.63461,7.02305,0.79998,2.81485,2.86162,0
0.64018,7.01337,0.81306,2.83710,2.85669,0
0.64571,7.00367,0.82628,2.85918,2.85175,0
0.65119,6.99393,0.83963,2.88109,2.84680,0
0.65663,6.98417,0.85310,2.90283,2.84185,0
0.66203,6.97439,0.86670,2.92442,2.83690,0
0.66739,6.96458,0.88042,2.94584,2.83195,0
0.67272,6.95474,0.89426,2.96711,2.82699,0
0.67800,6.94488,0.90822,2.98823,2.82203,0
0.68325,6.93500,0.92230,3.00920,2.81706,0
0.68846,6.92509,0.93648,3.03003,2.81209,0
0.69363,6.91516,0.95078,3.05071,2.80712,0
0.69877,6.90520,0.96518,3.07125,2.80215,0
0.70387,6.89522,0.97969,3.09166,2.79717,0
0.70895,6.88522,0.99430,3.11193,2.79219,0
0.71398,6.87519,1.00902,3.13207,2.78720,0
0.71899,6.86514,1.02383,3.15209,2.78222,0
0.72396,6.85507,1.03873,3.17198,2.77723,0
0.72890,6.84497,1.05373,3.19174,2.77223,0
0.73382,6.83486,1.06882,3.21138,2.76724,0
