time,x_pos,y_pos,velocity,rotation,action
0.00010,7.57096,0.45491,0.00000,-3.14159,16
0.00020,7.57096,0.45491,0.35466,-3.14159,0
0.04442,7.56308,0.45506,0.50156,3.14019,0
0.07569,7.55516,0.45548,0.61428,3.13753,0
0.10122,7.54720,0.45619,0.70931,3.13432,0
0.12333,7.53920,0.45717,0.79303,3.13078,0
0.14311,7.53116,0.45843,0.86872,3.12704,0
0.16117,7.52308,0.45997,0.93833,3.12313,0
0.17788,7.51496,0.46177,1.00312,3.11910,0
0.19351,7.50681,0.46385,1.06397,3.11497,0
0.20826,7.49862,0.46619,1.12152,3.11076,0
0.22224,7.49038,0.46879,1.17626,3.10647,0
0.23557,7.48212,0.47165,1.22856,3.10213,0
0.24834,7.47381,0.47477,1.27873,3.09774,0
0.26060,7.46546,0.47815,1.32700,3.09330,0
0.27242,7.45708,0.48178,1.37357,3.08881,0
0.28384,7.44866,0.48567,1.41862,3.08430,0
0.29490,7.44020,0.48980,1.46228,3.07974,0
0.30562,7.43171,0.49417,1.50467,3.07516,0
0.31605,7.42318,0.49879,1.54591,3.07055,0
0.32619,7.41461,0.50365,1.58607,3.06591,0
0.33608,7.40601,0.50875,1.62523,3.06126,0
0.34573,7.39737,0.51409,1.66348,3.05657,0
0.35516,7.38870,0.51966,1.70087,3.05187,0
0.36438,7.37999,0.52546,1.73745,3.04715,0
0.37341,7.37124,0.53149,1.77328,3.04241,0
0.38225,7.36246,0.53774,1.80839,3.03766,0
0.39092,7.35364,0.54422,1.84284,3.03289,0
0.39943,7.34480,0.55092,1.87666,3.02810,0
0.40779,7.33591,0.55784,1.90988,3.02330,0
0.41600,7.32699,0.56497,1.94253,3.01849,0
0.42408,7.31804,0.57232,1.97464,3.01366,0
0.43202,7.30905,0.57988,2.00623,3.00882,0
0.43984,7.30003,0.58765,2.03734,3.00397,0
0.44753,7.29098,0.59562,2.06798,2.99911,0
0.45512,7.28189,0.60380,2.09817,2.99424,0
0.46259,7.27277,0.61217,2.12793,2.98936,0
0.46996,7.26362,0.62075,2.15728,2.98447,0
0.47723,7.25443,0.62952,2.18624,2.97957,0
0.48441,7.24522,0.63849,2.21482,2.97466,0
0.49149,7.23596,0.64765,2.24304,2.96975,0
0.49848,7.22668,0.65699,2.27090,2.96482,0
0.50539,7.21737,0.66653,2.29843,2.95989,0
0.51221,7.20802,0.67624,2.32563,2.95495,0
0.51895,7.19865,0.68614,2.35252,2.95000,0
0.52562,7.18924,0.69622,2.37910,2.94504,0
0.53221,7.17980,0.70647,2.40539,2.94008,0
0.53873,7.17033,0.71690,2.43139,2.93511,0
0.54518,7.16083,0.72749,2.45712,2.93014,0
0.55157,7.15130,0.73826,2.48259,2.92516,0
0.55788,7.14174,0.74919,2.50779,2.92017,0
0.56414,7.13215,0.76029,2.53274,2.91518,0
0.57033,7.12253,0.77155,2.55745,2.91018,0
0.57646,7.11288,0.78296,2.58193,2.90517,0
0.58254,7.10320,0.79454,2.60617,2.90016,0
0.58856,7.09349,0.80626,2.63019,2.89515,0
0.59452,7.08375,0.81814,2.65400,2.89013,0
0.60043,7.07399,0.83017,2.67759,2.88510,0
0.60629,7.06419,0.84234,2.70097,2.88007,0
0.61209,7.05437,0.85466,2.72416,2.87504,0
0.61785,7.04452,0.86712,2.74715,2.87000,0
0.62356,7.03464,0.87971,2.76995,2.86496,0
0.62922,7.02473,0.89245,2.79256,2.85991,0
0.63484,7.01480,0.90531,2.81499,2.85486,0
0.64041,7.00484,0.91831,2.83724,2.84980,0
0.64594,6.99485,0.93144,2.85932,2.84474,0
0.65142,6.98484,0.94469,2.88123,2.83968,0
0.65686,6.97480,0.95807,2.90298,2.83461,0
0.66227,6.96473,0.97157,2.92456,2.82954,0
0.66763,6.95464,0.98519,2.94599,2.82447,0
0.67295,6.94452,0.99893,2.96726,2.81939,0
0.67824,6.93437,1.01277,2.98838,2.81431,0
0.68349,6.92420,1.02673,3.00935,2.80922,0
0.68870,6.91401,1.04080,3.03018,2.80413,0
0.69387,6.90378,1.05498,3.05086,2.79904,0
0.69902,6.89354,1.06926,3.07140,2.79394,0
0.70412,6.88327,1.08364,3.09181,2.78885,0
0.70919,6.87297,1.09812,3.11209,2.78374,0
0.71423,6.86265,1.11270,3.13223,2.77864,0
0.71924,6.85231,1.12737,3.15224,2.77353,0
0.72422,6.84194,1.14213,3.17213,2.76842,0
0.72916,6.83155,1.15698,3.19190,2.76331,0
0.73407,6.82113,1.17192,3.21154,2.75819,0
0.73896,6.81069,1.18695,3.23106,2.75307,0
0.74381,6.80023,1.20205,3.25047,2.74795,0
0.74864,6.78975,1.21723,3.26976,2.74283,0
0.75343,6.77924,1.23249,3.28894,2.73770,0
0.75820,6.76871,1.24783,3.30800,2.73257,0
0.76294,6.75816,1.26323,3.32696,2.72744,0
0.76766,6.74759,1.27871,3.34581,2.72230,0
0.77234,6.73699,1.29425,3.36455,2.71717,0
0.77701,6.72638,1.30985,3.38320,2.71203,0
0.78164,6.71574,1.32552,3.40173,2.70689,0
0.78625,6.70508,1.34125,3.42017,2.70174,0
0.79084,6.69440,1.35703,3.43851,2.69660,0
0.79540,6.68370,1.37287,3.45675,2.69145,0
0.79994,6.67298,1.38876,3.47490,2.68630,0
0.80445,6.66223,1.40469,3.49295,2.68114,0
0.80894,6.65147,1.42068,3.51091,2.67599,0
0.81341,6.64069,1.43671,3.52878,2.67083,0
0.81785,6.62989,1.45278,3.54655,2.66567,0
0.82227,6.61906,1.46889,3.56424,2.66051,0
0.82667,6.60822,1.48504,3.58184,2.65535,0
0.83105,6.59736,1.50122,3.59936,2.65018,0
0.83541,6.58648,1.51743,3.61679,2.64502,0
0.83975,6.57559,1.53367,3.63414,2.63985,0
0.84406,6.56467,1.54994,3.65140,2.63468,0
0.84836,6.55374,1.56623,3.66858,2.62950,0
0.85263,6.54278,1.58255,3.68569,2.62433,0
0.85689,6.53181,1.59888,3.70271,2.61915,0
0.86112,6.52083,1.61524,3.71966,2.61399,0
0.86534,6.50982,1.63160,3.73653,2.60887,0
0.86954,6.49880,1.64798,3.75332,2.60381,0
0.87372,6.48776,1.66437,3.77004,2.59879,0
0.87788,6.47670,1.68076,3.78668,2.59381,0
0.88202,6.46563,1.69716,3.77004,2.58889,0
0.88618,6.45454,1.71356,3.75332,2.58396,0
0.89036,6.44343,1.72996,3.73653,2.57904,0
0.89455,6.43231,1.74636,3.71966,2.57412,0
0.89877,6.42118,1.76275,3.70271,2.56921,0
0.90301,6.41002,1.77913,3.68569,2.56430,0
0.90726,6.39885,1.79550,3.66858,2.55939,0
0.91154,6.38767,1.81186,3.65140,2.55448,0
0.91583,6.37647,1.82821,3.63414,2.54958,0
0.92015,6.36526,1.84453,3.61679,2.54468,0
0.92448,6.35403,1.86084,3.59936,2.53979,0
0.92884,6.34279,1.87712,3.58184,2.53489,0
0.93322,6.33153,1.89338,3.56424,2.53000,0
0.93762,6.32026,1.90960,3.54655,2.52512,0
0.94204,6.30898,1.92580,3.52878,2.52023,0
0.94649,6.29768,1.94197,3.51091,2.51535,0
0.95095,6.28637,1.95810,3.49295,2.51048,0
0.95544,6.27505,1.97419,3.47490,2.50561,0
0.95996,6.26371,1.99024,3.45675,2.50074,0
0.96449,6.25236,2.00625,3.43851,2.49587,0
0.96906,6.24100,2.02221,3.42017,2.49101,0
0.97364,6.22963,2.03813,3.40173,2.48615,0
0.97825,6.21824,2.05400,3.38320,2.48130,0
0.98289,6.20684,2.06981,3.36455,2.47645,0
0.98755,6.19543,2.08556,3.34581,2.47160,0
0.99224,6.18401,2.10126,3.32696,2.46676,0
0.99695,6.17258,2.11690,3.30800,2.46192,0
1.00169,6.16114,2.13248,3.28894,2.45709,0
1.00646,6.14968,2.14799,3.26976,2.45226,0
1.01126,6.13822,2.16343,3.25047,2.44744,0
1.01608,6.12674,2.17880,3.23106,2.44262,0
1.02094,6.11526,2.19410,3.21154,2.43780,0
1.02582,6.10376,2.20933,3.19190,2.43299,0
1.03073,6.09226,2.22447,3.17213,2.42818,0
1.03568,6.08074,2.23954,3.15224,2.42338,0
1.04065,6.06922,2.25452,3.13223,2.41858,0
1.04566,6.05769,2.26942,3.11209,2.41379,0
1.05070,6.04615,2.28423,3.09181,2.40900,0
1.05577,6.03460,2.29895,3.07140,2.40422,0
1.06088,6.02304,2.31358,3.05086,2.39944,0
1.06602,6.01147,2.32811,3.03018,2.39467,0
1.07119,5.99989,2.34255,3.00935,2.38990,0
1.07641,5.98831,2.35688,2.98838,2.38514,0
1.08165,5.97672,2.37111,2.96726,2.38039,0
1.08694,5.96512,2.38524,2.94599,2.37564,0
1.09226,5.95352,2.39926,2.92456,2.37090,0
1.09763,5.94190,2.41317,2.90298,2.36616,0
1.10303,5.93028,2.42696,2.88123,2.36143,0
1.10847,5.91866,2.44064,2.85932,2.35670,0
1.11396,5.90703,2.45421,2.83724,2.35198,0
1.11949,5.89539,2.46765,2.81499,2.34727,0
1.12506,5.88374,2.48097,2.79256,2.34257,0
1.13067,5.87209,2.49416,2.76995,2.33787,0
1.13634,5.86043,2.50723,2.74715,2.33318,0
1.14204,5.84877,2.52017,2.72416,2.32849,0
1.14780,5.83711,2.53298,2.70097,2.32382,0
1.15361,5.82543,2.54565,2.67759,2.31915,0
