time,x_pos,y_pos,velocity,rotation,action
0.00010,7.57149,0.35798,0.00000,-3.14159,0
0.00020,7.57149,0.35798,0.21728,-3.14159,0
0.07232,7.55894,0.35807,0.30728,3.14036,0
0.12332,7.54641,0.35831,0.37634,3.13800,0
0.16496,7.53390,0.35873,0.43456,3.13516,0
0.20102,7.52140,0.35931,0.48585,3.13204,0
0.23328,7.50891,0.36005,0.53222,3.12872,0
0.26272,7.49644,0.36095,0.57486,3.12526,0
0.28998,7.48398,0.36201,0.61456,3.12170,0
0.31548,7.47154,0.36323,0.65183,3.11804,0
0.33952,7.45912,0.36461,0.68709,3.11432,0
0.36233,7.44670,0.36615,0.72063,3.11053,0
0.38408,7.43431,0.36785,0.75267,3.10669,0
0.40490,7.42193,0.36971,0.78341,3.10280,0
0.42490,7.40956,0.37171,0.81298,3.09887,0
0.44417,7.39721,0.37388,0.84151,3.09490,0
0.46280,7.38488,0.37620,0.86911,3.09091,0
0.48083,7.37256,0.37866,0.89586,3.08688,0
0.49832,7.36025,0.38129,0.92183,3.08283,0
0.51532,7.34796,0.38406,0.94709,3.07875,0
0.53187,7.33569,0.38698,0.97170,3.07465,0
0.54799,7.32343,0.39005,0.99569,3.07052,0
0.56373,7.31119,0.39327,1.01912,3.06638,0
0.57911,7.29896,0.39663,1.04203,3.06222,0
0.59415,7.28675,0.40014,1.06444,3.05805,0
0.60887,7.27456,0.40380,1.08639,3.05385,0
0.62329,7.26238,0.40760,1.10791,3.04965,0
0.63744,7.25022,0.41155,1.12901,3.04542,0
0.65132,7.23807,0.41563,1.14973,3.04119,0
0.66495,7.22594,0.41986,1.17008,3.03694,0
0.67834,7.21382,0.42423,1.19008,3.03268,0
0.69151,7.20172,0.42874,1.20975,3.02841,0
0.70446,7.18964,0.43338,1.22911,3.02413,0
0.71721,7.17757,0.43817,1.24817,3.01984,0
0.72977,7.16553,0.44309,1.26694,3.01554,0
0.74214,7.15349,0.44814,1.28543,3.01123,0
0.75433,7.14147,0.45333,1.30367,3.00691,0
0.76635,7.12947,0.45866,1.32165,3.00259,0
0.77820,7.11749,0.46412,1.33939,2.99825,0
0.78990,7.10552,0.46971,1.35690,2.99391,0
0.80145,7.09357,0.47543,1.37419,2.98956,0
0.81286,7.08163,0.48128,1.39126,2.98520,0
0.82412,7.06971,0.48726,1.40812,2.98084,0
0.83525,7.05781,0.49337,1.42479,2.97646,0
0.84625,7.04593,0.49961,1.44126,2.97209,0
0.85712,7.03406,0.50597,1.45755,2.96770,0
0.86787,7.02221,0.51246,1.47365,2.96331,0
0.87851,7.01037,0.51907,1.48958,2.95892,0
0.88903,6.99856,0.52581,1.50535,2.95451,0
0.89944,6.98676,0.53267,1.52095,2.95011,0
0.90974,6.97497,0.53965,1.53639,2.94569,0
0.91994,6.96321,0.54675,1.55168,2.94128,0
0.93004,6.95146,0.55397,1.56681,2.93685,0
0.94004,6.93973,0.56131,1.58181,2.93243,0
0.94995,6.92801,0.56877,1.59666,2.92799,0
0.95976,6.91632,0.57635,1.61138,2.92356,0
0.96949,6.90464,0.58404,1.62596,2.91911,0
0.97912,6.89298,0.59185,1.64041,2.91467,0
0.98868,6.88133,0.59977,1.65474,2.91022,0
