time,x_pos,y_pos,velocity,rotation,action
0.00010,7.56438,7.40000,0.00000,-3.14159,0
0.00020,7.56438,7.40000,0.21804,-3.14159,0
0.07198,7.55869,7.39968,0.30836,-3.14159,0
0.12274,7.55201,7.39937,0.37766,-3.14159,0
0.16419,7.54438,7.39906,0.43609,-3.14159,0
0.20008,7.53583,7.39876,0.48756,-3.14159,0
0.23218,7.52638,7.39847,0.53410,-3.14159,0
0.26149,7.51606,7.39819,0.57689,-3.14159,0
0.28862,7.50490,7.39792,0.61672,-3.14159,0
0.31400,7.49293,7.39766,0.65413,-3.14159,0
0.33793,7.48017,7.39740,0.68952,-3.14159,0
0.36063,7.46666,7.39715,0.72317,-3.14159,0
0.38227,7.45241,7.39691,0.75533,-3.14159,0
0.40299,7.43747,7.39668,0.78617,-3.14159,0
0.42290,7.42185,7.39645,0.81585,-3.14159,0
0.44209,7.40560,7.39624,0.84448,-3.14159,0
0.46062,7.38872,7.39603,0.87218,-3.14159,0
0.47857,7.37126,7.39583,0.89902,-3.14159,0
0.49598,7.35323,7.39563,0.92509,-3.14159,0
0.51290,7.33468,7.39545,0.95044,-3.14159,0
0.52937,7.31562,7.39527,0.97513,-3.14159,0
0.54542,7.29608,7.39510,0.99921,-3.14159,0
0.56108,7.27610,7.39494,1.02272,-3.14159,0
0.57639,7.25569,7.39479,1.04571,-3.14159,0
0.59136,7.23490,7.39465,1.06820,-3.14159,0
0.60601,7.21374,7.39451,1.09022,-3.14159,0
0.62037,7.19224,7.39438,1.11181,-3.14159,0
0.63444,7.17044,7.39426,1.13299,-3.14159,0
0.64826,7.14835,7.39415,1.15378,-3.14159,0
0.66183,7.12602,7.39404,1.17421,-3.14159,0
0.67516,7.10346,7.39395,1.19428,-3.14159,0
0.68826,7.08071,7.39386,1.21402,-3.14159,0
0.70115,7.05779,7.39378,1.23345,-3.14159,0
0.71384,7.03473,7.39371,1.25257,-3.14159,0
0.72634,7.01156,7.39364,1.27141,-3.14159,0
0.73865,6.98830,7.39359,1.28997,-3.14159,0
0.75079,6.96499,7.39354,1.30827,-3.14159,0
0.76275,6.94165,7.39350,1.32631,-3.14159,0
0.77455,6.91832,7.39347,1.34412,-3.14159,0
0.78620,6.89501,7.39344,1.35628,-3.14159,0
0.79774,6.87176,7.39343,1.33864,-3.14159,0
0.80943,6.84859,7.39342,1.32076,-3.14159,0
0.82128,6.82554,7.39342,1.30264,-3.14159,0
0.83330,6.80263,7.39343,1.28426,-3.14159,0
0.84548,6.77989,7.39344,1.26561,-3.14159,0
0.85785,6.75734,7.39347,1.24669,-3.14159,0
0.87041,6.73502,7.39350,1.22747,-3.14159,0
0.88316,6.71296,7.39354,1.20795,-3.14159,0
0.89611,6.69117,7.39359,1.18811,-3.14159,0
0.90929,6.66969,7.39364,1.16793,-3.14159,0
0.92269,6.64856,7.39371,1.14740,-3.14159,0
0.93633,6.62778,7.39378,1.12649,-3.14159,0
0.95023,6.60741,7.39386,1.10518,-3.14159,0
0.96439,6.58745,7.39395,1.08346,-3.14159,0
0.97884,6.56794,7.39404,1.06129,-3.14159,0
0.99358,6.54891,7.39415,1.03865,-3.14159,0
1.00865,6.53039,7.39426,1.01551,-3.14159,0
1.02407,6.51240,7.39438,0.99182,-3.14159,0
1.03985,6.49497,7.39451,0.96756,-3.14159,0
1.05602,6.47813,7.39465,0.94267,-3.14159,0
1.07263,6.46191,7.39479,0.91710,-3.14159,0
1.08970,6.44634,7.39494,0.89081,-3.14159,0
1.10727,6.43144,7.39510,0.86371,-3.14159,0
1.12539,6.41724,7.39527,0.83573,-3.14159,0
1.14412,6.40377,7.39545,0.80679,-3.14159,0
1.16352,6.39106,7.39563,0.77677,-3.14159,0
1.18367,6.37914,7.39583,0.74553,-3.14159,0
1.20466,6.36803,7.39603,0.71294,-3.14159,0
1.22662,6.35776,7.39624,0.67877,-3.14159,0
1.24968,6.34837,7.39645,0.64280,-3.14159,0
1.27403,6.33987,7.39668,0.60469,-3.14159,0
1.29991,6.33230,7.39691,0.56401,-3.14159,0
1.32766,6.32569,7.39715,0.52015,-3.14159,0
1.35775,6.32005,7.39740,0.47225,-3.14159,0
1.39090,6.31543,7.39766,0.41889,-3.14159,0
1.42826,6.31185,7.39792,0.35767,-3.14159,0
1.47203,6.30933,7.39819,0.28352,-3.14159,0
1.52723,6.30791,7.39848,0.18122,-3.14159,0
1.61360,6.30761,7.39876,0.09409,-3.14159,0
1.77995,6.30846,7.39906,0.00000,-3.14159,0
