time,x_pos,y_pos,velocity,rotation,action
0.00010,2.00000,0.00000,0.00000,0.00000,0
0.00020,2.00000,0.00000,0.30739,0.00000,0
0.05103,2.01181,-0.00000,0.43471,0.00704,0
0.08697,2.02380,-0.00000,0.53241,0.02049,0
0.11632,2.03597,-0.00000,0.61478,0.03667,0
0.14174,2.04831,-0.00000,0.68734,0.05447,0
0.16447,2.06082,-0.00000,0.75295,0.07335,0
0.18522,2.07351,-0.00000,0.81328,0.09304,0
0.20443,2.08635,-0.00000,0.86943,0.11336,0
0.22241,2.09937,-0.00000,0.92217,0.13417,0
0.23935,2.11254,-0.00000,0.97205,0.15540,0
0.25542,2.12587,-0.00000,1.01949,0.17699,0
0.27075,2.13935,-0.00000,1.06483,0.19887,0
0.28542,2.15298,-0.00000,1.10831,0.22102,0
0.29952,2.16677,-0.00000,1.15015,0.24340,0
0.31311,2.18070,-0.00000,1.19051,0.26599,0
0.32623,2.19477,-0.00000,1.22956,0.28877,0
0.33894,2.20898,-0.00000,1.26740,0.31171,0
0.35127,2.22333,-0.00000,1.30414,0.33480,0
0.36325,2.23782,-0.00000,1.33988,0.35804,0
0.37491,2.25244,-0.00000,1.37469,0.38140,0
0.38628,2.26718,-0.00000,1.40863,0.40489,0
0.39737,2.28205,-0.00000,1.44178,0.42848,0
0.40821,2.29705,-0.00000,1.47419,0.45218,0
0.41881,2.31216,-0.00000,1.50589,0.47597,0
0.42918,2.32739,-0.00000,1.53695,0.49985,0
0.43935,2.34274,-0.00000,1.56738,0.52382,0
0.44932,2.35820,-0.00000,1.59724,0.54786,0
0.45910,2.37376,-0.00000,1.62655,0.57198,0
0.46871,2.38943,-0.00000,1.65534,0.59618,0
0.47814,2.40521,-0.00000,1.68364,0.62044,0
0.48742,2.42109,-0.00000,1.71147,0.64476,0
0.49655,2.43706,-0.00000,1.73886,0.66914,0
0.50554,2.45312,-0.00000,1.76582,0.69359,0
0.51439,2.46928,-0.00000,1.79237,0.71808,0
0.52311,2.48553,-0.00000,1.81854,0.74263,0
0.53170,2.50186,-0.00000,1.84434,0.76723,0
