time,x_pos,y_pos,velocity,rotation,action
0,2.23,0,0,1.5708,0
0.0396846,2.24608,-6.9075e-12,0.395376,1.5708,0
0.0677458,2.26212,-2.75269e-11,0.559146,1.5708,0
0.0906577,2.2781,-6.17036e-11,0.684811,1.5708,0
0.1105,2.29404,-1.09283e-10,0.790752,1.5708,0
0.128247,2.30994,-1.7011e-10,0.884087,1.5708,0
0.144449,2.32578,-2.44031e-10,0.968469,1.5708,0
0.159448,2.34159,-3.3089e-10,1.04607,1.5708,0
0.173479,2.35735,-4.30533e-10,1.11829,1.5708,0
0.186707,2.37306,-5.42806e-10,1.18613,1.5708,0
0.199256,2.38873,-6.67554e-10,1.25029,1.5708,0
0.211221,2.40436,-8.04621e-10,1.31131,1.5708,0
0.222677,2.41995,-9.53854e-10,1.36962,1.5708,0
0.233684,2.43549,-1.1151e-09,1.42555,1.5708,0
0.24429,2.45099,-1.2882e-09,1.47936,1.5708,0
0.254537,2.46645,-1.473e-09,1.53128,1.5708,0
0.264458,2.48187,-1.66935e-09,1.5815,1.5708,0
0.274083,2.49725,-1.87709e-09,1.63018,1.5708,0
0.283436,2.51259,-2.09607e-09,1.67744,1.5708,0
0.292541,2.52789,-2.32613e-09,1.7234,1.5708,0
0.301414,2.54315,-2.56712e-09,1.76817,1.5708,0
0.310074,2.55838,-2.81888e-09,1.81184,1.5708,0
0.318535,2.57357,-3.08126e-09,1.85448,1.5708,0
0.32681,2.58872,-3.35411e-09,1.89616,1.5708,0
0.33491,2.60383,-3.63727e-09,1.93694,1.5708,0
0.342847,2.61891,-3.93058e-09,1.97688,1.5708,0
0.35063,2.63395,-4.23389e-09,2.01603,1.5708,0
0.358267,2.64895,-4.54705e-09,2.05443,1.5708,0
0.365767,2.66393,-4.86989e-09,2.09213,1.5708,0
0.373136,2.67886,-5.20228e-09,2.12916,1.5708,0
0.380382,2.69377,-5.54405e-09,2.16556,1.5708,0
0.387509,2.70864,-5.89504e-09,2.20136,1.5708,0
0.394524,2.72348,-6.25511e-09,2.23658,1.5708,0
0.401433,2.73828,-6.62409e-09,2.27126,1.5708,0
0.408239,2.75306,-7.00184e-09,2.30542,1.5708,0
0.414946,2.7678,-7.38819e-09,2.33908,1.5708,0
0.421561,2.78252,-7.783e-09,2.37226,1.5708,0
0.428085,2.7972,-8.18611e-09,2.40498,1.5708,0
0.434522,2.81185,-8.59737e-09,2.43726,1.5708,0
0.440877,2.82648,-9.01661e-09,2.46912,1.5708,0
0.447152,2.84107,-9.44369e-09,2.50058,1.5708,0
0.453349,2.85564,-9.87845e-09,2.53164,1.5708,0
0.459473,2.87018,-1.03207e-08,2.56233,1.5708,0
0.465525,2.8847,-1.07704e-08,2.59265,1.5708,0
0.471507,2.89918,-1.12273e-08,2.62263,1.5708,0
0.477423,2.91364,-1.16912e-08,2.65226,1.5708,0
0.483274,2.92808,-1.21621e-08,2.68157,1.5708,0
0.489063,2.94249,-1.26397e-08,2.71056,1.5708,0
0.494791,2.95688,-1.31238e-08,2.73924,1.5708,0
0.50046,2.97124,-1.36145e-08,2.76763,1.5708,0
0.506072,2.98558,-1.41114e-08,2.79573,1.5708,0
0.511629,2.99989,-1.46145e-08,2.82355,1.5708,0
0.517133,3.01419,-1.51235e-08,2.8511,1.5708,0
0.522584,3.02846,-1.56384e-08,2.87838,1.5708,0
0.527984,3.04271,-1.61589e-08,2.90541,1.5708,0
0.533335,3.05693,-1.6685e-08,2.93219,1.5708,0
0.538638,3.07114,-1.72164e-08,2.95872,1.5708,0
0.543895,3.08533,-1.7753e-08,2.98502,1.5708,0
0.549105,3.0995,-1.82947e-08,3.01109,1.5708,0
0.554272,3.11365,-1.88412e-08,3.03694,1.5708,0
0.559395,3.12778,-1.93926e-08,3.06257,1.5708,0
0.564476,3.14189,-1.99485e-08,3.08798,1.5708,0
0.569516,3.15599,-2.05088e-08,3.11319,1.5708,0
0.574516,3.17007,-2.10734e-08,3.1382,1.5708,0
0.579476,3.18413,-2.16421e-08,3.16301,1.5708,0
0.584399,3.19817,-2.22148e-08,3.18762,1.5708,0
0.589284,3.2122,-2.27914e-08,3.21205,1.5708,0
0.594132,3.22622,-2.33715e-08,3.23629,1.5708,0
0.598944,3.24022,-2.39552e-08,3.26035,1.5708,0
0.603722,3.25421,-2.45423e-08,3.28424,1.5708,0
0.608465,3.26818,-2.51325e-08,3.30795,1.5708,0
0.613175,3.28214,-2.57258e-08,3.3315,1.5708,0
0.617852,3.29609,-2.63219e-08,3.35488,1.5708,0
0.622496,3.31003,-2.69208e-08,3.37809,1.5708,0
0.627109,3.32395,-2.75223e-08,3.40115,1.5708,0
0.631692,3.33787,-2.81262e-08,3.42406,1.5708,0
0.636244,3.35177,-2.87323e-08,3.44681,1.5708,0
0.640767,3.36566,-2.93406e-08,3.46941,1.5708,0
0.64526,3.37955,-2.99508e-08,3.49186,1.5708,0
0.649725,3.39342,-3.05629e-08,3.51418,1.5708,0
