time,x_pos,y_pos,velocity,rotation,action
0.00010,0.00000,0.00000,0.00000,0.00000,0
0.00020,0.00000,0.00000,0.21685,0.00000,0
0.07226,0.00943,-0.00000,0.30667,0.00000,0
0.12321,0.01898,-0.00000,0.37559,0.00000,0
0.16481,0.02865,-0.00000,0.43369,0.00000,0
0.20084,0.03843,-0.00000,0.48488,0.00000,0
0.23306,0.04832,-0.00000,0.53116,0.00000,0
0.26248,0.05833,-0.00000,0.57372,0.00000,0
0.28971,0.06845,-0.00000,0.61333,0.00000,0
0.31519,0.07869,-0.00000,0.65054,0.00000,0
0.33921,0.08903,-0.00000,0.68573,0.00000,0
0.36199,0.09949,-0.00000,0.71920,0.00000,0
0.38372,0.11005,-0.00000,0.75117,0.00000,0
0.40452,0.12073,-0.00000,0.78185,0.00000,0
0.42450,0.13151,-0.00000,0.81136,0.00000,0
0.44376,0.14240,-0.00000,0.83984,0.00000,0
0.46237,0.15340,-0.00000,0.86738,0.00000,0
0.48038,0.16450,-0.00000,0.89408,0.00000,0
0.49786,0.17571,-0.00000,0.92000,0.00000,0
0.51484,0.18702,-0.00000,0.94521,0.00000,0
0.53137,0.19844,-0.00000,0.96976,0.00000,0
0.54748,0.20996,-0.00000,0.99371,0.00000,0
0.56321,0.22158,-0.00000,1.01710,0.00000,0
0.57857,0.23331,-0.00000,1.03995,0.00000,0
0.59359,0.24514,-0.00000,1.06232,0.00000,0
0.60830,0.25706,-0.00000,1.08423,0.00000,0
0.62271,0.26909,-0.00000,1.10570,0.00000,0
0.63684,0.28121,-0.00000,1.12676,0.00000,0
0.65071,0.29344,-0.00000,1.14744,0.00000,0
0.66433,0.30576,-0.00000,1.16775,0.00000,0
0.67771,0.31818,-0.00000,1.18771,0.00000,0
0.69087,0.33069,-0.00000,1.20734,0.00000,0
0.70381,0.34330,-0.00000,1.22666,0.00000,0
0.71654,0.35600,-0.00000,1.24568,0.00000,0
0.72909,0.36880,-0.00000,1.26442,0.00000,0
0.74145,0.38169,-0.00000,1.28288,0.00000,0
