time,x_pos,y_pos,velocity,rotation,action
0.00010,0.00000,0.00000,0.00000,0.00000,0
0.00020,0.00000,0.00000,0.21800,0.00000,0
0.07187,0.01868,-0.00000,0.30830,0.00000,0
0.12255,0.03721,-0.00000,0.37759,0.00000,0
0.16394,0.05560,-0.00000,0.43600,0.00000,0
0.19977,0.07385,-0.00000,0.48747,0.00000,0
0.23183,0.09197,-0.00000,0.53399,0.00000,0
0.26109,0.10995,-0.00000,0.57678,0.00000,0
0.28818,0.12779,-0.00000,0.61660,0.00000,0
0.31352,0.14551,-0.00000,0.65401,0.00000,0
0.33741,0.16310,-0.00000,0.68938,0.00000,0
0.36007,0.18056,-0.00000,0.72303,0.00000,0
0.38168,0.19790,-0.00000,0.75518,0.00000,0
0.40237,0.21511,-0.00000,0.78602,0.00000,0
0.42225,0.23221,-0.00000,0.81569,0.00000,0
0.44141,0.24919,-0.00000,0.84432,0.00000,0
0.45991,0.26606,-0.00000,0.87201,0.00000,0
0.47783,0.28281,-0.00000,0.89884,0.00000,0
0.49522,0.29946,-0.00000,0.92490,0.00000,0
0.51211,0.31599,-0.00000,0.95025,0.00000,0
0.52855,0.33243,-0.00000,0.97493,0.00000,0
0.54458,0.34875,-0.00000,0.99901,0.00000,0
0.56022,0.36498,-0.00000,1.02252,0.00000,0
0.57550,0.38111,-0.00000,1.04550,0.00000,0
0.59045,0.39715,-0.00000,1.06799,0.00000,0
0.60508,0.41309,-0.00000,1.09001,0.00000,0
0.61941,0.42893,-0.00000,1.11160,0.00000,0
0.63347,0.44469,-0.00000,1.13277,0.00000,0
0.64726,0.46036,-0.00000,1.15356,0.00000,0
0.66081,0.47595,-0.00000,1.17398,0.00000,0
0.67412,0.49146,-0.00000,1.19404,0.00000,0
0.68720,0.50688,-0.00000,1.21378,0.00000,0
0.70008,0.52223,-0.00000,1.23320,0.00000,0
0.71275,0.53750,-0.00000,1.25232,0.00000,0
0.72522,0.55270,-0.00000,1.27116,0.00000,0
0.73751,0.56783,-0.00000,1.28972,0.00000,0
0.74963,0.58288,-0.00000,1.30801,0.00000,0
0.76157,0.59788,-0.00000,1.32605,0.00000,0
0.77336,0.61280,-0.00000,1.34385,0.00000,0
0.78498,0.62767,-0.00000,1.36142,0.00000,0
0.79646,0.64248,-0.00000,1.37876,0.00000,0
0.80779,0.65723,-0.00000,1.39589,0.00000,0
0.81899,0.67192,-0.00000,1.41281,0.00000,0
0.83005,0.68656,-0.00000,1.42953,0.00000,0
0.84098,0.70115,-0.00000,1.44606,0.00000,0
